Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,71.358448,[205  38] ; [185 179],[156.12850082  86.87149918] ; [233.87149918 130.12850082],1
p7,1,0.0,67.695017,[210  30] ; [199 159],[164.14715719  75.85284281] ; [244.85284281 113.14715719],1
p3,1,0.0,40.833642,[168  75] ; [156 209],[129.49342105 113.50657895] ; [194.50657895 170.49342105],1
p8,1,0.0,39.003493,[177  66] ; [171 191],[139.77520661 103.22479339] ; [208.22479339 153.77520661],1
p5,1,0.0,25.736553,[ 53 191] ; [ 27 334],[ 32.26446281 211.73553719] ; [ 47.73553719 313.26446281],1
s7,1,1.2e-05,19.109339,[153  81] ; [165 186],[127.2 106.8] ; [190.8 160.2],1
n4,1,1.6e-05,18.61002,[216  28] ; [271  94],[195.11986864  48.88013136] ; [291.88013136  73.11986864],1
s5,1,5.6e-05,16.223805,[111 122] ; [110 243],[ 87.87201365 145.12798635] ; [133.12798635 219.87201365],1
s8,1,0.000119,14.813585,[145  97] ; [160 204],[121.79867987 120.20132013] ; [183.20132013 180.79867987],1
s2,1,0.000471,12.226802,[152  90] ; [175 187],[131.01655629 110.98344371] ; [195.98344371 166.01655629],1
v1,1,0.000476,12.206672,[161  80] ; [185 168],[140.38047138 100.61952862] ; [205.61952862 147.38047138],1
p1,1,0.001498,10.080714,[ 32 211] ; [ 21 344],[ 21.18256579 221.81743421] ; [ 31.81743421 333.18256579],0
n5,1,0.001664,9.88714,[206  37] ; [268  94],[190.38347107  52.61652893] ; [283.61652893  78.38347107],0
s6,1,0.003115,8.738688,[188  50] ; [246 116],[172.15333333  65.84666667] ; [261.84666667 100.15333333],0
p12,1,0.003301,8.633295,[ 35 208] ; [ 26 340],[ 24.33990148 218.66009852] ; [ 36.66009852 329.33990148],0
n6,1,0.003491,8.531023,[222  19] ; [305  58],[210.27649007  30.72350993] ; [316.72350993  46.27649007],0
p2,1,0.008439,6.937847,[223  21] ; [306  58],[212.29605263  31.70394737] ; [316.70394737  47.29605263],0
u1,1,0.008699,6.883681,[ 65 179] ; [ 65 301],[ 52. 192.] ; [ 78. 288.],0
d2,1,0.01125,6.425361,[140 103] ; [172 193],[124.69736842 118.30263158] ; [187.30263158 177.69736842],0
a4,1,0.011869,6.330345,[136 108] ; [165 199],[120.79605263 123.20394737] ; [180.20394737 183.79605263],0
a1,1,0.012374,6.25641,[ 16 228] ; [  9 357],[ 10. 234.] ; [ 15. 351.],0
b2,1,0.013938,6.045926,[73 82] ; [ 74 141],[61.58108108 93.41891892] ; [ 85.41891892 129.58108108],0
b3,1,0.013938,6.045926,[73 82] ; [ 74 141],[61.58108108 93.41891892] ; [ 85.41891892 129.58108108],0
d1,1,0.045661,3.994052,[168  76] ; [223 143],[156.4  87.6] ; [234.6 131.4],0
