Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.329393,[82 29] ; [ 3 22],[69.375 41.625] ; [15.625  9.375],1
r1,1,7.3e-05,15.720422,[81 29] ; [ 8 17],[72.51851852 37.48148148] ; [16.48148148  8.51851852],1
v4,1,0.000428,12.406282,[89 20] ; [12 13],[82.15671642 26.84328358] ; [18.84328358  6.15671642],1
r3,1,0.000976,10.872251,[91 19] ; [13 12],[84.74074074 25.25925926] ; [19.25925926  5.74074074],1
d3,1,0.007431,7.165659,[67 42] ; [ 8 17],[61.00746269 47.99253731] ; [13.99253731 11.00746269],0
a6,1,0.011122,6.44576,[74 36] ; [10 15],[68.44444444 41.55555556] ; [15.55555556  9.44444444],0
d1,1,0.011331,6.41264,[48 63] ; [ 4 21],[42.44117647 68.55882353] ; [ 9.55882353 15.44117647],0
b1,1,0.01857,5.541516,[51 60] ; [18  7],[56.31617647 54.68382353] ; [12.68382353 12.31617647],0
u3,1,0.020325,5.383748,[22 16] ; [2 9],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
d5,1,0.02828,4.810909,[78 32] ; [12 13],[73.33333333 36.66666667] ; [16.66666667  8.33333333],0
p2,1,0.028397,4.803817,[69 39] ; [10 15],[64.15037594 43.84962406] ; [14.84962406 10.15037594],0
v3,1,0.042227,4.126096,[28 75] ; [ 2 23],[24.140625 78.859375] ; [ 5.859375 19.140625],0
p9,1,0.042823,4.102361,[65 43] ; [ 9 15],[60.54545455 47.45454545] ; [13.45454545 10.54545455],0
s2,1,0.049273,3.866026,[35 76] ; [ 3 22],[31.01470588 79.98529412] ; [ 6.98529412 18.01470588],0
d2,1,0.115467,2.47775,[45 65] ; [ 6 19],[41.55555556 68.44444444] ; [ 9.44444444 15.55555556],0
a5,1,0.135102,2.232878,[67 44] ; [11 14],[63.66176471 47.33823529] ; [14.33823529 10.66176471],0
p10,1,0.150473,2.06745,[53 54] ; [ 8 16],[49.82442748 57.17557252] ; [11.17557252 12.82442748],0
p3,1,0.153852,2.033639,[34 75] ; [ 4 20],[31.14285714 77.85714286] ; [ 6.85714286 17.14285714],0
p7,1,0.172972,1.856994,[43 62] ; [14 11],[46.03846154 58.96153846] ; [10.96153846 14.03846154],0
n4,1,0.176252,1.828944,[61 50] ; [10 15],[57.94852941 53.05147059] ; [13.05147059 11.94852941],0
s4,1,0.20944,1.57529,[12 99] ; [ 5 20],[13.875 97.125] ; [ 3.125 21.875],0
s6,1,0.219139,1.51,[41 70] ; [ 6 19],[38.36029412 72.63970588] ; [ 8.63970588 16.36029412],0
p12,1,0.258615,1.276158,[  1 106] ; [ 1 24],[  1.62121212 105.37878788] ; [ 0.37878788 24.62121212],0
s3,1,0.258665,1.275888,[51 60] ; [ 8 16],[48.51111111 62.48888889] ; [10.48888889 13.51111111],0
b5,1,0.295258,1.095488,[66 45] ; [12 13],[63.66176471 47.33823529] ; [14.33823529 10.66176471],0
a1,1,0.324431,0.971001,[  7 104] ; [ 3 22],[  8.16176471 102.83823529] ; [ 1.83823529 23.16176471],0
a8,1,0.334978,0.929559,[ 7 98] ; [ 3 21],[ 8.13953488 96.86046512] ; [ 1.86046512 22.13953488],0
d4,1,0.400032,0.70823,[79 30] ; [16  9],[77.2761194 31.7238806] ; [17.7238806  7.2761194],0
n2,1,0.405783,0.691122,[26 13] ; [7 6],[24.75 14.25] ; [8.25 4.75],0
