Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,127.330916,[238  16] ; [25 48],[204.28746177  49.71253823] ; [58.71253823 14.28746177],1
p11,1,0.0,44.129004,[215  40] ; [37 41],[192.97297297  62.02702703] ; [59.02702703 18.97297297],1
p2,1,0.0,38.727943,[224  30] ; [44 34],[205.03614458  48.96385542] ; [62.96385542 15.03614458],1
p4,1,3e-06,21.538809,[164  91] ; [27 51],[146.26126126 108.73873874] ; [44.73873874 33.26126126],1
p8,1,0.000396,12.55124,[141 113] ; [25 52],[127.3836858 126.6163142] ; [38.6163142 38.3836858],1
p7,1,0.000618,11.721376,[158  93] ; [32 46],[144.95440729 106.04559271] ; [45.04559271 32.95440729],1
s8,1,0.00072,11.435683,[112 143] ; [17 59],[ 99.38066465 155.61933535] ; [29.61933535 46.38066465],1
s2,1,0.001104,10.643972,[133 121] ; [24 53],[120.47734139 133.52265861] ; [36.52265861 40.47734139],0
r2,1,0.002524,9.122766,[238  15] ; [64 13],[231.53333333  21.46666667] ; [70.46666667  6.53333333],0
n4,1,0.002953,8.836183,[205  50] ; [50 28],[195.27027027  59.72972973] ; [59.72972973 18.27027027],0
s6,1,0.0031,8.747529,[173  75] ; [39 37],[162.27160494  85.72839506] ; [49.72839506 26.27160494],0
v1,1,0.003181,8.700818,[105 145] ; [18 59],[ 94.03669725 155.96330275] ; [28.96330275 48.03669725],0
s5,1,0.003287,8.640955,[ 90 157] ; [14 62],[ 79.52941176 167.47058824] ; [24.47058824 51.52941176],0
v4,1,0.003796,8.378797,[245  10] ; [68 10],[239.68468468  15.31531532] ; [73.31531532  4.68468468],0
r3,1,0.004735,7.977998,[237  16] ; [65 13],[230.83383686  22.16616314] ; [71.16616314  6.83383686],0
s7,1,0.005992,7.552826,[124 121] ; [24 50],[113.6677116 131.3322884] ; [34.3322884 39.6677116],0
p6,1,0.007711,7.099357,[ 98 156] ; [17 60],[ 88.24773414 165.75226586] ; [26.75226586 50.24773414],0
p3,1,0.008481,6.928937,[124 129] ; [25 53],[113.88821752 139.11178248] ; [35.11178248 42.88821752],0
a5,1,0.00903,6.816836,[181  74] ; [43 35],[171.53153153  83.46846847] ; [52.46846847 25.53153153],0
a7,1,0.014541,5.97128,[175  79] ; [42 36],[166.01807229  87.98192771] ; [50.98192771 27.01807229],0
a3,1,0.016188,5.782301,[175  79] ; [41 35],[166.25454545  87.74545455] ; [49.74545455 26.25454545],0
u2,1,0.020408,5.376626,[46 33] ; [13 24],[40.18103448 38.81896552] ; [18.81896552 18.18103448],0
d5,1,0.024875,5.032545,[200  53] ; [52 26],[192.6163142  60.3836858] ; [59.3836858 18.6163142],0
n5,1,0.024918,5.029552,[207  48] ; [54 24],[199.86486486  55.13513514] ; [61.13513514 16.86486486],0
r4,1,0.029589,4.73299,[227  28] ; [62 16],[221.30630631  33.69369369] ; [67.69369369 10.30630631],0
a6,1,0.032546,4.569481,[162  93] ; [39 39],[153.91891892 101.08108108] ; [47.08108108 30.91891892],0
n3,1,0.033618,4.514019,[46 15] ; [16 14],[41.56043956 19.43956044] ; [20.43956044  9.56043956],0
d4,1,0.050269,3.832459,[200  54] ; [53 25],[193.56024096  60.43975904] ; [59.43975904 18.56024096],0
s3,1,0.054879,3.685758,[140 113] ; [33 44],[132.63333333 120.36666667] ; [40.36666667 36.63333333],0
d1,1,0.091181,2.853402,[139 116] ; [34 44],[132.47747748 122.52252252] ; [40.52252252 37.47747748],0
s1,1,0.116361,2.465626,[  9 245] ; [ 6 71],[ 11.51057402 242.48942598] ; [ 3.48942598 73.51057402],0
d3,1,0.116372,2.465487,[165  89] ; [43 35],[159.13253012  94.86746988] ; [48.86746988 29.13253012],0
p12,1,0.140308,2.174579,[ 18 235] ; [ 2 76],[ 15.28700906 237.71299094] ; [ 4.71299094 73.28700906],0
r1,1,0.199493,1.646083,[188  67] ; [51 26],[183.56927711  71.43072289] ; [55.43072289 21.56927711],0
u4,1,0.206718,1.594263,[  2 253] ; [ 2 76],[  3.06306306 251.93693694] ; [ 0.93693694 77.06306306],0
b1,1,0.275321,1.190043,[100 155] ; [36 42],[104.14414414 150.85585586] ; [31.85585586 46.14414414],0
p5,1,0.285657,1.13998,[ 34 217] ; [ 7 71],[ 31.27963526 219.72036474] ; [ 9.72036474 68.27963526],0
a1,1,0.302763,1.061983,[  7 248] ; [ 4 74],[  8.42342342 246.57657658] ; [ 2.57657658 75.42342342],0
a4,1,0.328587,0.954459,[110 145] ; [28 48],[106.3141994 148.6858006] ; [31.6858006 44.3141994],0
s4,1,0.329849,0.949489,[ 56 195] ; [13 63],[ 52.96330275 198.03669725] ; [16.03669725 59.96330275],0
n2,1,0.332434,0.939394,[46 16] ; [20 11],[44. 18.] ; [22.  9.],0
a2,1,0.362431,0.829451,[ 51 204] ; [12 66],[ 48.24324324 206.75675676] ; [14.75675676 63.24324324],0
b5,1,0.371435,0.798858,[149 106] ; [50 28],[152.38738739 102.61261261] ; [46.61261261 31.38738739],0
b2,1,0.582391,0.302384,[56 90] ; [17 33],[54.37755102 91.62244898] ; [18.62244898 31.37755102],0
b3,1,0.582391,0.302384,[56 90] ; [17 33],[54.37755102 91.62244898] ; [18.62244898 31.37755102],0
u3,1,0.756668,0.096013,[43 36] ; [19 18],[42.22413793 36.77586207] ; [19.77586207 17.22413793],0
v3,1,0.774876,0.081798,[ 48 204] ; [16 62],[ 48.87272727 203.12727273] ; [15.12727273 62.87272727],0
d2,1,0.786,0.073717,[111 143] ; [35 42],[112.03625378 141.96374622] ; [33.96374622 43.03625378],0
a8,1,0.833088,0.044413,[ 28 208] ; [ 8 65],[ 27.49514563 208.50485437] ; [ 8.50485437 64.49514563],0
u1,1,0.861552,0.030415,[ 38 217] ; [11 67],[ 37.52252252 217.47747748] ; [11.47747748 66.52252252],0
b4,1,0.882426,0.021873,[143 112] ; [43 35],[142.43243243 112.56756757] ; [43.56756757 34.43243243],0
n1,1,0.898793,0.016176,[26 36] ; [13 17],[26.2826087 35.7173913] ; [12.7173913 17.2826087],0
p1,1,0.932415,0.007192,[ 24 231] ; [ 7 70],[ 23.81024096 231.18975904] ; [ 7.18975904 69.81024096],0
