Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.008902,6.842396,[ 9 21] ; [18 10],[13.96551724 16.03448276] ; [13.03448276 14.96551724],0
d5,1,0.016172,5.784066,[12 18] ; [20  8],[16.55172414 13.44827586] ; [15.44827586 12.55172414],0
a6,1,0.01841,5.556689,[10 20] ; [18 10],[14.48275862 15.51724138] ; [13.51724138 14.48275862],0
d3,1,0.036707,4.363942,[10 20] ; [17 11],[13.96551724 16.03448276] ; [13.03448276 14.96551724],0
d4,1,0.086221,2.943544,[16 14] ; [21  7],[19.13793103 10.86206897] ; [17.86206897 10.13793103],0
a4,1,0.106875,2.599836,[ 6 24] ; [11 17],[ 8.79310345 21.20689655] ; [ 8.20689655 19.79310345],0
n3,1,0.133348,2.253089,[5 8] ; [7 3],[6.7826087 6.2173913] ; [5.2173913 4.7826087],0
s2,1,0.151552,2.056557,[ 9 21] ; [ 4 24],[ 6.72413793 23.27586207] ; [ 6.27586207 21.72413793],0
s5,1,0.155913,2.013429,[ 6 24] ; [ 2 26],[ 4.13793103 25.86206897] ; [ 3.86206897 24.13793103],0
u3,1,0.15789,1.994317,[ 2 15] ; [4 8],[ 3.51724138 13.48275862] ; [2.48275862 9.51724138],0
p11,1,0.177574,1.817811,[14 16] ; [18 10],[16.55172414 13.44827586] ; [15.44827586 12.55172414],0
d1,1,0.180889,1.790306,[ 6 24] ; [10 18],[ 8.27586207 21.72413793] ; [ 7.72413793 20.27586207],0
p1,1,0.185627,1.751986,[ 4 26] ; [ 1 27],[ 2.5862069 27.4137931] ; [ 2.4137931 25.5862069],0
r3,1,0.187084,1.740433,[16 14] ; [19  8],[18.42105263 11.57894737] ; [16.57894737 10.42105263],0
v2,1,0.188311,1.730779,[ 8 21] ; [12 15],[10.35714286 18.64285714] ; [ 9.64285714 17.35714286],0
n4,1,0.191702,1.70449,[18 12] ; [12 16],[15.51724138 14.48275862] ; [14.48275862 13.51724138],0
a8,1,0.224213,1.477204,[ 2 25] ; [ 5 22],[ 3.5 23.5] ; [ 3.5 23.5],0
p6,1,0.226556,1.462352,[ 3 26] ; [ 6 21],[ 4.66071429 24.33928571] ; [ 4.33928571 22.66071429],0
a3,1,0.22979,1.442159,[13 17] ; [16 11],[15.26315789 14.73684211] ; [13.73684211 13.26315789],0
p10,1,0.235533,1.407132,[10 19] ; [14 14],[12.21052632 16.78947368] ; [11.78947368 16.21052632],0
p8,1,0.258822,1.275049,[ 7 23] ; [10 17],[ 8.94736842 21.05263158] ; [ 8.05263158 18.94736842],0
p12,1,0.267642,1.228792,[ 1 29] ; [ 3 25],[ 2.06896552 27.93103448] ; [ 1.93103448 26.06896552],0
a1,1,0.341052,0.906471,[ 2 28] ; [ 4 24],[ 3.10344828 26.89655172] ; [ 2.89655172 25.10344828],0
n6,1,0.358621,0.842716,[18 11] ; [14 14],[16.28070175 12.71929825] ; [15.71929825 12.28070175],0
u2,1,0.36249,0.829248,[ 7 10] ; [7 5],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
v4,1,0.397393,0.7162,[16 14] ; [18 10],[17.5862069 12.4137931] ; [16.4137931 11.5862069],0
n1,1,0.399557,0.709658,[ 2 11] ; [3 7],[ 2.82608696 10.17391304] ; [2.17391304 7.82608696],0
b5,1,0.412279,0.672218,[15 15] ; [17 11],[16.55172414 13.44827586] ; [15.44827586 12.55172414],0
p9,1,0.422382,0.643678,[13 15] ; [16 12],[14.5 13.5] ; [14.5 13.5],0
n5,1,0.455083,0.557961,[20 10] ; [16 12],[18.62068966 11.37931034] ; [17.37931034 10.62068966],0
n2,1,0.509903,0.434266,[6 7] ; [6 4],[6.7826087 6.2173913] ; [5.2173913 4.7826087],0
s7,1,0.515095,0.423704,[ 5 22] ; [ 3 22],[ 4.15384615 22.84615385] ; [ 3.84615385 21.15384615],0
p5,1,0.546558,0.36352,[ 5 25] ; [ 3 24],[ 4.21052632 25.78947368] ; [ 3.78947368 23.21052632],0
