Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,54.067588,[72  6] ; [ 7 24],[56.53211009 21.46788991] ; [22.46788991  8.53211009],1
s6,1,9e-06,19.671432,[71  5] ; [18 13],[63.21495327 12.78504673] ; [25.78504673  5.21495327],1
s7,1,0.000115,14.875948,[52 24] ; [ 9 23],[42.92592593 33.07407407] ; [18.07407407 13.92592593],1
s8,1,0.001829,9.713544,[45 33] ; [ 8 24],[37.58181818 40.41818182] ; [15.41818182 16.58181818],0
r2,1,0.010907,6.480382,[76  1] ; [28  4],[73.46788991  3.53211009] ; [30.53211009  1.46788991],0
s5,1,0.010935,6.475887,[39 30] ; [ 9 22],[33.12 35.88] ; [14.88 16.12],0
a6,1,0.02009,5.404063,[61 17] ; [18 14],[56.01818182 21.98181818] ; [22.98181818  9.01818182],0
d2,1,0.035631,4.414693,[39 39] ; [ 9 23],[34.03636364 43.96363636] ; [13.96363636 18.03636364],0
p2,1,0.03768,4.319429,[67 11] ; [22 10],[63.10909091 14.89090909] ; [25.89090909  6.10909091],0
p3,1,0.055316,3.672543,[40 38] ; [10 22],[35.45454545 42.54545455] ; [14.54545455 17.45454545],0
a2,1,0.060072,3.535395,[23 55] ; [ 4 28],[19.14545455 58.85454545] ; [ 7.85454545 24.14545455],0
u3,1,0.06092,3.512149,[17  6] ; [5 7],[14.45714286  8.54285714] ; [7.54285714 4.45714286],0
b1,1,0.077136,3.124231,[28 50] ; [ 6 26],[24.10909091 53.89090909] ; [ 9.89090909 22.10909091],0
a4,1,0.080686,3.051036,[36 42] ; [ 9 23],[31.90909091 46.09090909] ; [13.09090909 18.90909091],0
r3,1,0.099254,2.717487,[73  3] ; [28  4],[71.07407407  4.92592593] ; [29.92592593  2.07407407],0
r1,1,0.124939,2.354282,[62 16] ; [21 11],[58.85454545 19.14545455] ; [24.14545455  7.85454545],0
p7,1,0.150875,2.063385,[48 26] ; [16 16],[44.67924528 29.32075472] ; [19.32075472 12.67924528],0
u2,1,0.190732,1.711957,[11 12] ; [3 9],[ 9.2 13.8] ; [4.8 7.2],0
b3,1,0.197703,1.659259,[ 7 29] ; [ 7 13],[ 9. 27.] ; [ 5. 15.],0
b2,1,0.197703,1.659259,[ 7 29] ; [ 7 13],[ 9. 27.] ; [ 5. 15.],0
v1,1,0.201896,1.628604,[33 44] ; [18 14],[36.02752294 40.97247706] ; [14.97247706 17.02752294],0
n5,1,0.204014,1.6134,[56 22] ; [19 13],[53.18181818 24.81818182] ; [21.81818182 10.18181818],0
n3,1,0.2113,1.5625,[14  2] ; [6 3],[12.8  3.2] ; [7.2 1.8],0
n1,1,0.2113,1.5625,[ 2 14] ; [3 6],[ 3.2 12.8] ; [1.8 7.2],0
d1,1,0.214195,1.542845,[49 29] ; [16 16],[46.09090909 31.90909091] ; [18.90909091 13.09090909],0
r4,1,0.224757,1.473739,[70  8] ; [26  6],[68.07272727  9.92727273] ; [27.92727273  4.07272727],0
p4,1,0.229351,1.444883,[51 27] ; [17 15],[48.21818182 29.78181818] ; [19.78181818 12.21818182],0
p9,1,0.245316,1.349784,[68  8] ; [26  6],[66.14814815  9.85185185] ; [27.85185185  4.14814815],0
u1,1,0.25491,1.296192,[20 58] ; [ 5 27],[17.72727273 60.27272727] ; [ 7.27272727 24.72727273],0
d4,1,0.316925,1.001593,[67 11] ; [25  7],[65.23636364 12.76363636] ; [26.76363636  5.23636364],0
d5,1,0.401066,0.705128,[64 14] ; [24  8],[62.4 15.6] ; [25.6  6.4],0
p11,1,0.412511,0.671551,[55 23] ; [20 12],[53.18181818 24.81818182] ; [21.81818182 10.18181818],0
a3,1,0.412511,0.671551,[55 23] ; [20 12],[53.18181818 24.81818182] ; [21.81818182 10.18181818],0
p12,1,0.490747,0.474888,[ 5 73] ; [ 1 31],[ 4.25454545 73.74545455] ; [ 1.74545455 30.25454545],0
a8,1,0.501277,0.452232,[ 5 67] ; [ 1 28],[ 4.27722772 67.72277228] ; [ 1.72277228 27.27722772],0
a1,1,0.511142,0.431728,[ 1 77] ; [ 1 31],[ 1.41818182 76.58181818] ; [ 0.58181818 31.41818182],0
p8,1,0.649625,0.206373,[38 38] ; [14 17],[36.93457944 39.06542056] ; [15.06542056 15.93457944],0
n6,1,0.678591,0.171716,[65 12] ; [28  4],[65.69724771 11.30275229] ; [27.30275229  4.69724771],0
b5,1,0.680465,0.169602,[59 19] ; [23  9],[58.14545455 19.85454545] ; [23.85454545  8.14545455],0
n4,1,0.735494,0.114127,[49 29] ; [19 13],[48.21818182 29.78181818] ; [19.78181818 12.21818182],0
p10,1,0.748641,0.102676,[63 14] ; [27  5],[63.57798165 13.42201835] ; [26.42201835  5.57798165],0
a5,1,0.749462,0.101984,[56 22] ; [22 10],[55.30909091 22.69090909] ; [22.69090909  9.30909091],0
p5,1,0.769948,0.085523,[ 6 72] ; [ 3 29],[ 6.38181818 71.61818182] ; [ 2.61818182 29.38181818],0
p6,1,0.829857,0.046176,[33 44] ; [13 19],[32.49541284 44.50458716] ; [13.50458716 18.49541284],0
v2,1,0.849689,0.035916,[39 36] ; [16 16],[38.55140187 36.44859813] ; [16.44859813 15.55140187],0
v4,1,0.8697,0.026909,[76  2] ; [31  1],[75.87272727  2.12727273] ; [31.12727273  0.87272727],0
n2,1,0.875956,0.024366,[12  4] ; [7 2],[12.16  3.84] ; [6.84 2.16],0
v3,1,0.876396,0.024193,[21 56] ; [ 8 23],[20.67592593 56.32407407] ; [ 8.32407407 22.67592593],0
d3,1,0.921169,0.009793,[64 14] ; [26  6],[63.81818182 14.18181818] ; [26.18181818  5.81818182],0
b4,1,0.924889,0.008888,[48 30] ; [20 12],[48.21818182 29.78181818] ; [19.78181818 12.21818182],0
p1,1,0.975052,0.000978,[ 5 73] ; [ 2 30],[ 4.96363636 73.03636364] ; [ 2.03636364 29.96363636],0
