Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,96.586235,[154   3] ; [70 74],[116.8372093  40.1627907] ; [107.1627907  36.8372093],1
d4,1,0.0,86.10383,[153   3] ; [76 69],[118.68438538  37.31561462] ; [110.31561462  34.68438538],1
d2,1,0.0,83.966034,[108  48] ; [ 24 120],[68.64 87.36] ; [63.36 80.64],1
d3,1,0.0,70.938014,[135  22] ; [56 87],[99.95666667 57.04333333] ; [91.04333333 51.95666667],1
a2,1,0.0,29.03557,[ 46 111] ; [  8 137],[ 28.07284768 128.92715232] ; [ 25.92715232 119.07284768],1
a5,1,0.0,26.075226,[124  33] ; [74 71],[102.93377483  54.06622517] ; [95.06622517 49.93377483],1
a4,1,2.3e-05,17.916457,[82 75] ; [ 41 104],[63.94370861 93.05629139] ; [59.05629139 85.94370861],1
a6,1,3.2e-05,17.28314,[122  35] ; [80 65],[105.01324503  51.98675497] ; [96.98675497 48.01324503],1
u1,1,6.2e-05,16.028603,[ 28 129] ; [  5 140],[ 17.15562914 139.84437086] ; [ 15.84437086 129.15562914],1
r1,1,0.000172,14.111897,[128  28] ; [91 54],[113.50166113  42.49833887] ; [105.49833887  39.50166113],1
a7,1,0.0002,13.832265,[123  33] ; [85 59],[108.16  47.84] ; [99.84 44.16],1
n4,1,0.000898,11.026884,[121  36] ; [86 59],[107.61258278  49.38741722] ; [99.38741722 45.61258278],1
a3,1,0.000899,11.025732,[119  37] ; [84 60],[105.56  50.44] ; [97.44 46.56],1
v2,1,0.001436,10.158883,[94 59] ; [59 79],[80.44329897 72.55670103] ; [72.55670103 65.44329897],0
p8,1,0.002529,9.119701,[84 70] ; [53 90],[71.03703704 82.96296296] ; [65.96296296 77.03703704],0
n6,1,0.002862,8.893568,[132  25] ; [101  44],[121.12913907  35.87086093] ; [111.87086093  33.12913907],0
s8,1,0.007708,7.099997,[ 41 116] ; [ 20 125],[ 31.71192053 125.28807947] ; [ 29.28807947 115.71192053],0
v3,1,0.008029,7.027086,[63 85] ; [ 39 102],[52.23529412 95.76470588] ; [49.76470588 91.23529412],0
