Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.7e-05,18.4682,[36 20] ; [ 92 182],[21.72121212 34.27878788] ; [106.27878788 167.72121212],1
s6,1,0.0001,15.145746,[41 14] ; [125 148],[27.83536585 27.16463415] ; [138.16463415 134.83536585],1
s5,1,0.000268,13.28188,[22 31] ; [ 50 218],[11.88785047 41.11214953] ; [ 60.11214953 207.88785047],1
n4,1,0.003683,8.434093,[27 30] ; [186  89],[36.56927711 20.43072289] ; [176.43072289  98.56927711],0
s3,1,0.011182,6.436204,[35 21] ; [119 152],[26.37308869 29.62691131] ; [127.62691131 143.37308869],0
a2,1,0.018028,5.593398,[ 3 54] ; [ 49 227],[ 8.9009009 48.0990991] ; [ 43.0990991 232.9009009],0
s7,1,0.020914,5.333951,[26 30] ; [ 80 183],[18.60815047 37.39184953] ; [ 87.39184953 175.60815047],0
r1,1,0.044036,4.055183,[34 23] ; [200  74],[40.29607251 16.70392749] ; [193.70392749  80.29607251],0
u3,1,0.052622,3.755882,[17 10] ; [42 58],[12.54330709 14.45669291] ; [46.45669291 53.54330709],0
a8,1,0.077324,3.120265,[ 3 47] ; [ 40 219],[ 6.9579288 43.0420712] ; [ 36.0420712 222.9579288],0
a3,1,0.093278,2.81687,[30 27] ; [176  97],[35.58181818 21.41818182] ; [170.41818182 102.58181818],0
a4,1,0.095653,2.776563,[15 42] ; [104 170],[20.49244713 36.50755287] ; [ 98.50755287 175.49244713],0
a6,1,0.096148,2.768303,[30 27] ; [177  98],[35.53915663 21.46084337] ; [171.46084337 103.53915663],0
d1,1,0.096982,2.754492,[20 37] ; [130 146],[25.67567568 31.32432432] ; [124.32432432 151.67567568],0
a5,1,0.100848,2.692078,[28 29] ; [168 108],[33.54954955 23.45045045] ; [162.45045045 113.54954955],0
d2,1,0.114953,2.484766,[17 40] ; [112 161],[22.28181818 34.71818182] ; [106.71818182 166.28181818],0
b2,1,0.12203,2.391067,[ 5 20] ; [54 97],[ 8.38068182 16.61931818] ; [ 50.61931818 100.38068182],0
b3,1,0.12203,2.391067,[ 5 20] ; [54 97],[ 8.38068182 16.61931818] ; [ 50.61931818 100.38068182],0
p10,1,0.131746,2.271813,[41 14] ; [174  98],[36.16207951 18.83792049] ; [178.83792049  93.16207951],0
b4,1,0.133062,2.256408,[29 28] ; [170 106],[34.06306306 22.93693694] ; [164.93693694 111.06306306],0
d3,1,0.156985,2.003032,[38 18] ; [158 116],[33.26060606 22.73939394] ; [162.73939394 111.26060606],0
b1,1,0.168838,1.893228,[16 41] ; [104 172],[20.54054054 36.45945946] ; [ 99.45945946 176.54054054],0
n5,1,0.215347,1.535113,[32 25] ; [177  96],[36.1 20.9] ; [172.9 100.1],0
a1,1,0.23688,1.399066,[ 1 56] ; [ 15 261],[ 2.73873874 54.26126126] ; [ 13.26126126 262.73873874],0
s8,1,0.245371,1.34947,[19 38] ; [ 71 204],[15.45180723 41.54819277] ; [ 74.54819277 200.45180723],0
p6,1,0.248114,1.333895,[ 5 50] ; [ 41 232],[ 7.71341463 47.28658537] ; [ 38.28658537 234.71341463],0
p9,1,0.273378,1.19972,[42 12] ; [188  79],[38.69158879 15.30841121] ; [191.30841121  75.69158879],0
v4,1,0.275488,1.189215,[51  5] ; [232  39],[48.4648318  7.5351682] ; [234.5351682  36.4648318],0
v3,1,0.306077,1.047527,[13 43] ; [ 79 184],[16.15047022 39.84952978] ; [ 75.84952978 187.15047022],0
v1,1,0.321446,0.983052,[18 39] ; [103 164],[21.28703704 35.71296296] ; [ 99.71296296 167.28703704],0
p11,1,0.354505,0.857265,[35 22] ; [187  89],[38. 19.] ; [184.  92.],0
u1,1,0.381881,0.764637,[ 4 53] ; [ 30 246],[ 5.81981982 51.18018018] ; [ 28.18018018 247.81981982],0
n1,1,0.387237,0.7476,[ 6 16] ; [37 63],[ 7.75409836 14.24590164] ; [35.24590164 64.75409836],0
d5,1,0.404308,0.695475,[37 19] ; [197  78],[39.58912387 16.41087613] ; [194.41087613  80.58912387],0
d4,1,0.404999,0.693435,[40 17] ; [206  67],[42.49090909 14.50909091] ; [203.50909091  69.49090909],0
b5,1,0.501778,0.451173,[37 20] ; [166 110],[34.74774775 22.25225225] ; [168.25225225 107.74774775],0
p8,1,0.524888,0.404279,[13 41] ; [ 77 195],[14.90797546 39.09202454] ; [ 75.09202454 196.90797546],0
n3,1,0.624149,0.240079,[15  7] ; [62 37],[14.  8.] ; [63. 36.],0
r3,1,0.657252,0.196879,[48  8] ; [239  33],[49.  7.] ; [238.  34.],0
p7,1,0.663056,0.189832,[18 35] ; [ 98 166],[19.39432177 33.60567823] ; [ 96.60567823 167.39432177],0
v2,1,0.729329,0.119728,[25 28] ; [115 143],[23.8585209 29.1414791] ; [116.1414791 141.8585209],0
n6,1,0.734212,0.115279,[43 14] ; [200  73],[41.97272727 15.02727273] ; [201.02727273  71.97272727],0
p12,1,0.753356,0.098732,[ 3 53] ; [ 12 261],[ 2.55319149 53.44680851] ; [ 12.44680851 260.55319149],0
p1,1,0.762545,0.091289,[ 2 55] ; [ 12 261],[ 2.41818182 54.58181818] ; [ 11.58181818 261.41818182],0
r2,1,0.80923,0.058284,[50  6] ; [238  32],[49.47239264  6.52760736] ; [238.52760736  31.47239264],0
p2,1,0.853934,0.033893,[37 20] ; [182  93],[37.59939759 19.40060241] ; [181.40060241  93.59939759],0
r4,1,0.858165,0.031937,[44 13] ; [210  66],[43.47747748 13.52252252] ; [210.52252252  65.47747748],0
a7,1,0.875363,0.024602,[37 19] ; [184  90],[37.5030303 18.4969697] ; [183.4969697  90.5030303],0
s1,1,0.883872,0.021334,[ 2 53] ; [ 11 260],[ 2.19325153 52.80674847] ; [ 10.80674847 260.19325153],0
u2,1,0.901252,0.015396,[14 13] ; [50 49],[13.71428571 13.28571429] ; [50.28571429 48.71428571],0
n2,1,0.967433,0.001667,[15  7] ; [70 32],[15.08064516  6.91935484] ; [69.91935484 32.08064516],0
