Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.1e-05,19.312986,[ 8 77] ; [18 24],[17.4015748 67.5984252] ; [ 8.5984252 33.4015748],1
p8,1,0.000158,14.277558,[11 74] ; [18 24],[19.40944882 65.59055118] ; [ 9.59055118 32.40944882],1
p3,1,0.004948,7.898464,[22 63] ; [21 20],[29.00793651 55.99206349] ; [13.99206349 27.00793651],0
a2,1,0.006271,7.470707,[24 61] ; [ 3 39],[18.07086614 66.92913386] ; [ 8.92913386 33.07086614],0
a8,1,0.019172,5.485714,[ 6 74] ; [ 9 31],[10. 70.] ; [ 5. 35.],0
r3,1,0.02881,4.778932,[72 13] ; [41  1],[75.62992126  9.37007874] ; [37.37007874  4.62992126],0
p10,1,0.035531,4.419454,[43 40] ; [30 12],[48.472 34.528] ; [24.528 17.472],0
s3,1,0.042735,4.10586,[35 47] ; [26 16],[40.33870968 41.66129032] ; [20.66129032 21.33870968],0
v1,1,0.044435,4.039969,[28 55] ; [22 20],[33.2 49.8] ; [16.8 25.2],0
p11,1,0.063809,3.435494,[44 41] ; [29 13],[48.85826772 36.14173228] ; [24.14173228 17.85826772],0
s2,1,0.0653,3.39738,[33 50] ; [24 18],[37.848 45.152] ; [19.152 22.848],0
v2,1,0.073635,3.200072,[37 43] ; [26 15],[41.65289256 38.34710744] ; [21.34710744 19.65289256],0
n5,1,0.075931,3.149918,[49 36] ; [31 11],[53.54330709 31.45669291] ; [26.45669291 15.54330709],0
a5,1,0.099394,2.71524,[61 24] ; [24 18],[56.88976378 28.11023622] ; [28.11023622 13.88976378],0
v4,1,0.11323,2.508545,[73 12] ; [40  2],[75.62992126  9.37007874] ; [37.37007874  4.62992126],0
r4,1,0.11323,2.508545,[73 12] ; [40  2],[75.62992126  9.37007874] ; [37.37007874  4.62992126],0
n1,1,0.137075,2.210493,[21 18] ; [2 6],[19.08510638 19.91489362] ; [3.91489362 4.08510638],0
p9,1,0.156673,2.006053,[47 37] ; [29 13],[50.66666667 33.33333333] ; [25.33333333 16.66666667],0
u1,1,0.175855,1.832306,[16 69] ; [ 4 38],[13.38582677 71.61417323] ; [ 6.61417323 35.38582677],0
d3,1,0.189072,1.724838,[51 34] ; [19 21],[47.6 37.4] ; [22.4 17.6],0
s7,1,0.194741,1.681384,[31 49] ; [20 19],[34.28571429 45.71428571] ; [16.71428571 22.28571429],0
p5,1,0.235124,1.409592,[ 5 78] ; [ 5 36],[ 6.69354839 76.30645161] ; [ 3.30645161 37.69354839],0
a3,1,0.255886,1.290878,[56 27] ; [24 18],[53.12 29.88] ; [26.88 15.12],0
a4,1,0.256299,1.288636,[43 41] ; [17 25],[40. 44.] ; [20. 22.],0
d2,1,0.268655,1.223602,[43 42] ; [16 24],[40.12 44.88] ; [18.88 21.12],0
b5,1,0.275504,1.189138,[46 39] ; [27 15],[48.85826772 36.14173228] ; [24.14173228 17.85826772],0
p4,1,0.300399,1.07242,[25 59] ; [16 25],[27.552 56.448] ; [13.448 27.552],0
n6,1,0.310518,1.028469,[59 26] ; [32  9],[61.38888889 23.61111111] ; [29.61111111 11.38888889],0
u2,1,0.321561,0.982587,[18 11] ; [8 9],[16.39130435 12.60869565] ; [9.60869565 7.39130435],0
b4,1,0.346077,0.88779,[50 35] ; [21 21],[47.51968504 37.48031496] ; [23.48031496 18.51968504],0
s4,1,0.417981,0.655984,[19 64] ; [ 7 35],[17.264 65.736] ; [ 8.736 33.264],0
a6,1,0.433756,0.612745,[53 32] ; [22 18],[51. 34.] ; [24. 16.],0
s5,1,0.436346,0.605872,[21 56] ; [14 27],[22.83898305 54.16101695] ; [12.16101695 28.83898305],0
a1,1,0.472958,0.515056,[ 7 78] ; [ 2 40],[ 6.02362205 78.97637795] ; [ 2.97637795 39.02362205],0
b1,1,0.490424,0.475595,[39 46] ; [22 20],[40.82677165 44.17322835] ; [20.17322835 21.82677165],0
u3,1,0.494646,0.466405,[19 10] ; [10  8],[17.89361702 11.10638298] ; [11.10638298  6.89361702],0
n4,1,0.529405,0.395534,[56 29] ; [30 12],[57.55905512 27.44094488] ; [28.44094488 13.55905512],0
d4,1,0.529652,0.395059,[66 19] ; [29 11],[64.6 20.4] ; [30.4  9.6],0
a7,1,0.538654,0.37804,[54 31] ; [29 13],[55.5511811 29.4488189] ; [27.4488189 14.5511811],0
r2,1,0.571278,0.320549,[81  4] ; [39  3],[80.31496063  4.68503937] ; [39.68503937  2.31496063],0
s6,1,0.638943,0.220128,[49 34] ; [26 15],[50.2016129 32.7983871] ; [24.7983871 16.2016129],0
s1,1,0.65536,0.199209,[ 8 76] ; [ 3 39],[ 7.33333333 76.66666667] ; [ 3.66666667 38.33333333],0
p12,1,0.65536,0.199209,[ 8 76] ; [ 3 39],[ 7.33333333 76.66666667] ; [ 3.66666667 38.33333333],0
v3,1,0.686856,0.16251,[29 48] ; [17 24],[30.01694915 46.98305085] ; [15.98305085 25.01694915],0
d1,1,0.75495,0.097418,[45 40] ; [21 21],[44.17322835 40.82677165] ; [21.82677165 20.17322835],0
n3,1,0.755399,0.09705,[25 11] ; [6 2],[25.36363636 10.63636364] ; [5.63636364 2.36363636],0
b2,1,0.77758,0.079792,[19 33] ; [ 9 18],[18.43037975 33.56962025] ; [ 9.56962025 17.43037975],0
b3,1,0.77758,0.079792,[19 33] ; [ 9 18],[18.43037975 33.56962025] ; [ 9.56962025 17.43037975],0
s8,1,0.899984,0.015796,[33 52] ; [16 24],[33.32 51.68] ; [15.68 24.32],0
d5,1,0.946418,0.004517,[60 25] ; [28 12],[59.84 25.16] ; [28.16 11.84],0
p1,1,0.98883,0.000196,[ 4 81] ; [ 2 40],[ 4.01574803 80.98425197] ; [ 1.98425197 40.01574803],0
