Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,5.7e-05,16.202259,[201  70] ; [24 28],[188.77708978  82.22291022] ; [36.22291022 15.77708978],1
p6,1,0.000202,13.814023,[149 120] ; [13 36],[137.03773585 131.96226415] ; [24.96226415 24.03773585],1
p8,1,0.000357,12.746644,[186  83] ; [22 29],[174.85  94.15] ; [33.15 17.85],1
n5,1,0.001038,10.75881,[223  46] ; [32 19],[214.359375  54.640625] ; [40.640625 10.359375],0
d1,1,0.001241,10.427919,[188  83] ; [24 28],[177.86996904  93.13003096] ; [34.13003096 17.86996904],0
p2,1,0.00133,10.300054,[244  25] ; [39 13],[237.15576324  31.84423676] ; [45.84423676  6.15576324],0
p5,1,0.005214,7.803665,[ 61 208] ; [ 3 49],[ 53.63239875 215.36760125] ; [10.36760125 41.63239875],0
n4,1,0.031178,4.643125,[226  45] ; [36 15],[220.50310559  50.49689441] ; [41.49689441  9.50310559],0
r1,1,0.033004,4.545546,[229  41] ; [37 14],[223.73831776  46.26168224] ; [42.26168224  8.73831776],0
d4,1,0.038715,4.27333,[237  33] ; [40 12],[232.26708075  37.73291925] ; [44.73291925  7.26708075],0
b5,1,0.03874,4.272251,[151 120] ; [37 15],[157.73374613 113.26625387] ; [30.26625387 21.73374613],0
u1,1,0.044003,4.056456,[ 72 199] ; [ 7 45],[ 66.28173375 204.71826625] ; [12.71826625 39.28173375],0
a7,1,0.052553,3.758073,[197  73] ; [31 21],[191.18012422  78.81987578] ; [36.81987578 15.18012422],0
s2,1,0.053072,3.741665,[187  82] ; [29 23],[181.00934579  87.99065421] ; [34.99065421 17.00934579],0
p9,1,0.089849,2.877077,[248  22] ; [43  8],[244.76635514  25.23364486] ; [46.23364486  4.76635514],0
p12,1,0.096327,2.765319,[ 39 231] ; [ 3 48],[ 35.3271028 234.6728972] ; [ 6.6728972 44.3271028],0
p10,1,0.10008,2.704266,[238  31] ; [40 10],[234.42633229  34.57366771] ; [43.57366771  6.42633229],0
d5,1,0.10301,2.658309,[236  34] ; [41 11],[232.26708075  37.73291925] ; [44.73291925  7.26708075],0
p11,1,0.122394,2.386421,[223  48] ; [38 14],[218.98142415  52.01857585] ; [42.01857585  9.98142415],0
d2,1,0.129169,2.302467,[156 115] ; [24 28],[151.02167183 119.97832817] ; [28.97832817 23.02167183],0
a4,1,0.142777,2.147774,[139 131] ; [21 31],[134.16149068 135.83850932] ; [25.83850932 26.16149068],0
a5,1,0.150575,2.066415,[217  54] ; [37 15],[213.10835913  57.89164087] ; [40.89164087 11.10835913],0
r3,1,0.15533,2.019113,[264   6] ; [49  3],[262.45341615   7.54658385] ; [50.54658385  1.45341615],0
n6,1,0.161462,1.960479,[241  29] ; [42  9],[238.03738318  31.96261682] ; [44.96261682  6.03738318],0
a6,1,0.171359,1.87101,[186  85] ; [30 21],[181.78881988  89.21118012] ; [34.21118012 16.78881988],0
v1,1,0.179574,1.801145,[157 105] ; [35 15],[161.23076923 100.76923077] ; [30.76923077 19.23076923],0
s4,1,0.216044,1.530458,[ 62 206] ; [ 8 44],[ 58.625 209.375] ; [11.375 40.625],0
s5,1,0.257739,1.280863,[130 132] ; [20 29],[126.36655949 135.63344051] ; [23.63344051 25.36655949],0
r4,1,0.263452,1.250527,[256  15] ; [47  5],[254.21981424  16.78018576] ; [48.78018576  3.21981424],0
s8,1,0.276844,1.182517,[160 110] ; [35 17],[163.50931677 106.49068323] ; [31.49068323 20.50931677],0
n1,1,0.294909,1.097074,[20 27] ; [5 3],[21.36363636 25.63636364] ; [3.63636364 4.36363636],0
b4,1,0.343054,0.898985,[165 106] ; [28 24],[161.92879257 109.07120743] ; [31.07120743 20.92879257],0
a1,1,0.354181,0.858419,[ 20 251] ; [ 2 50],[ 18.45820433 252.54179567] ; [ 3.54179567 48.45820433],0
n3,1,0.362861,0.827966,[34 13] ; [7 1],[35.03636364 11.96363636] ; [5.96363636 2.03636364],0
s1,1,0.399036,0.711228,[  9 260] ; [ 3 49],[ 10.05607477 258.94392523] ; [ 1.94392523 50.05607477],0
s7,1,0.41027,0.678019,[170  82] ; [32 20],[167.44736842  84.55263158] ; [34.55263158 17.44736842],0
a8,1,0.41799,0.655961,[ 32 220] ; [ 4 43],[ 30.34113712 221.65886288] ; [ 5.65886288 41.34113712],0
v4,1,0.455697,0.556444,[260  11] ; [51  1],[260.93188854  10.06811146] ; [50.06811146  1.93188854],0
