Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7.7e-05,15.642344,[ 11 110] ; [13 23],[ 18.49681529 102.50318471] ; [ 5.50318471 30.49681529],1
p3,1,0.000975,10.874833,[23 98] ; [17 20],[30.63291139 90.36708861] ; [ 9.36708861 27.63291139],1
p4,1,0.011471,6.390866,[24 96] ; [15 22],[29.8089172 90.1910828] ; [ 9.1910828 27.8089172],0
a2,1,0.012846,6.190228,[29 92] ; [ 2 35],[23.74050633 97.25949367] ; [ 7.25949367 29.74050633],0
a8,1,0.015071,5.908157,[  7 109] ; [ 7 29],[ 10.68421053 105.31578947] ; [ 3.31578947 32.68421053],0
s3,1,0.022206,5.229541,[42 76] ; [21 16],[47.96129032 70.03870968] ; [15.03870968 21.96129032],0
u1,1,0.03016,4.700147,[ 20 101] ; [ 1 36],[ 16.08227848 104.91772152] ; [ 4.91772152 32.08227848],0
v2,1,0.036968,4.351872,[41 73] ; [20 16],[46.36 67.64] ; [14.64 21.36],0
d3,1,0.055656,3.662319,[69 52] ; [14 22],[63.96815287 57.03184713] ; [19.03184713 16.96815287],0
d2,1,0.059007,3.565069,[61 58] ; [12 24],[56.04516129 62.95483871] ; [16.95483871 19.04516129],0
s2,1,0.078341,3.098981,[36 83] ; [17 20],[40.42948718 78.57051282] ; [12.57051282 24.42948718],0
a1,1,0.087175,2.925776,[ 15 106] ; [ 1 36],[ 12.25316456 108.74683544] ; [ 3.74683544 33.25316456],0
b4,1,0.118444,2.43778,[70 51] ; [16 21],[65.86075949 55.13924051] ; [20.13924051 16.86075949],0
r3,1,0.124441,2.360512,[90 31] ; [32  5],[93.43037975 27.56962025] ; [28.56962025  8.43037975],0
p10,1,0.129331,2.30052,[56 61] ; [23 14],[60.01948052 56.98051948] ; [18.98051948 18.01948052],0
p11,1,0.129707,2.296006,[58 63] ; [23 14],[62.03164557 58.96835443] ; [18.96835443 18.03164557],0
r4,1,0.134112,2.244251,[79 42] ; [29  8],[82.70886076 38.29113924] ; [25.29113924 11.70886076],0
b3,1,0.137978,2.200362,[31 43] ; [ 6 18],[27.93877551 46.06122449] ; [ 9.06122449 14.93877551],0
b2,1,0.137978,2.200362,[31 43] ; [ 6 18],[27.93877551 46.06122449] ; [ 9.06122449 14.93877551],0
n3,1,0.1989,1.650435,[31 22] ; [8 2],[32.80952381 20.19047619] ; [6.19047619 3.80952381],0
p1,1,0.199278,1.647661,[ 11 110] ; [ 1 36],[  9.18987342 111.81012658] ; [ 2.81012658 34.18987342],0
v1,1,0.267397,1.230052,[33 84] ; [14 23],[35.70779221 81.29220779] ; [11.29220779 25.70779221],0
a4,1,0.27162,1.208549,[54 65] ; [13 24],[51.10897436 67.89102564] ; [15.89102564 21.10897436],0
n5,1,0.274028,1.196473,[73 48] ; [26 11],[75.8164557 45.1835443] ; [23.1835443 13.8164557],0
u2,1,0.278988,1.172013,[21 23] ; [4 9],[19.29824561 24.70175439] ; [5.70175439 7.29824561],0
n2,1,0.300846,1.070439,[36 21] ; [8 2],[37.43283582 19.56716418] ; [6.56716418 3.43283582],0
s5,1,0.301697,1.066677,[24 89] ; [ 5 32],[21.84666667 91.15333333] ; [ 7.15333333 29.84666667],0
p9,1,0.316833,1.001974,[57 57] ; [22 15],[59.64238411 54.35761589] ; [19.35761589 17.64238411],0
a5,1,0.346044,0.88791,[79 42] ; [21 16],[76.58227848 44.41772152] ; [23.41772152 13.58227848],0
v4,1,0.35273,0.863611,[89 32] ; [30  7],[91.13291139 29.86708861] ; [27.86708861  9.13291139],0
d4,1,0.362251,0.830074,[90 31] ; [24 12],[87.85987261 33.14012739] ; [26.14012739  9.85987261],0
s4,1,0.363471,0.825866,[24 95] ; [ 5 32],[22.12179487 96.87820513] ; [ 6.87820513 30.12179487],0
b5,1,0.365589,0.818602,[65 56] ; [23 14],[67.39240506 53.60759494] ; [20.60759494 16.39240506],0
d1,1,0.380566,0.768873,[59 62] ; [15 22],[56.67088608 64.32911392] ; [17.32911392 19.67088608],0
s1,1,0.522898,0.408174,[  9 111] ; [ 4 33],[  9.93630573 110.06369427] ; [ 3.06369427 33.93630573],0
s6,1,0.528624,0.397035,[52 67] ; [14 23],[50.34615385 68.65384615] ; [15.65384615 21.34615385],0
r2,1,0.53706,0.381015,[101  18] ; [29  7],[99.80645161 19.19354839] ; [30.19354839  5.80645161],0
n4,1,0.537445,0.380296,[75 46] ; [25 12],[76.58227848 44.41772152] ; [23.41772152 13.58227848],0
a6,1,0.589664,0.290869,[70 51] ; [19 17],[68.59235669 52.40764331] ; [20.40764331 15.59235669],0
a7,1,0.705551,0.142762,[71 50] ; [23 14],[71.98734177 49.01265823] ; [22.01265823 14.98734177],0
p5,1,0.713424,0.134881,[  5 113] ; [ 2 33],[  5.39869281 112.60130719] ; [ 1.60130719 33.39869281],0
u3,1,0.750343,0.101243,[21 23] ; [6 8],[20.48275862 23.51724138] ; [6.51724138 7.48275862],0
a3,1,0.778161,0.079364,[77 42] ; [23 14],[76.28205128 42.71794872] ; [23.71794872 13.28205128],0
d5,1,0.778369,0.079212,[81 40] ; [25 11],[81.69426752 39.30573248] ; [24.30573248 11.69426752],0
v3,1,0.858748,0.031672,[36 76] ; [11 25],[35.56756757 76.43243243] ; [11.43243243 24.56756757],0
n6,1,0.878606,0.023328,[79 42] ; [24 12],[79.38216561 41.61783439] ; [23.61783439 12.38216561],0
r1,1,0.891682,0.018544,[77 44] ; [24 13],[77.34810127 43.65189873] ; [23.65189873 13.34810127],0
n1,1,0.911753,0.012283,[26 30] ; [4 5],[25.84615385 30.15384615] ; [4.15384615 4.84615385],0
s7,1,0.939781,0.005707,[34 79] ; [10 24],[33.82312925 79.17687075] ; [10.17687075 23.82312925],0
s8,1,0.944212,0.004897,[32 89] ; [10 27],[32.16455696 88.83544304] ; [ 9.83544304 27.16455696],0
b1,1,0.99051,0.000141,[59 62] ; [18 19],[58.96835443 62.03164557] ; [18.03164557 18.96835443],0
