Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,28.37026,[57 10] ; [ 6 17],[46.9 20.1] ; [16.1  6.9],1
a5,1,0.011057,6.456209,[52 15] ; [12 12],[47.12087912 19.87912088] ; [16.87912088  7.12087912],0
n6,1,0.015659,5.84076,[56 10] ; [14  9],[51.91011236 14.08988764] ; [18.08988764  4.91011236],0
s4,1,0.03128,4.637508,[13 54] ; [10 14],[16.93406593 50.06593407] ; [ 6.06593407 17.93406593],0
d2,1,0.051605,3.78852,[40 26] ; [ 9 15],[35.93333333 30.06666667] ; [13.06666667 10.93333333],0
a4,1,0.065695,3.38743,[37 30] ; [ 8 16],[33.13186813 33.86813187] ; [11.86813187 12.13186813],0
a7,1,0.072251,3.231131,[46 21] ; [21  3],[49.32967033 17.67032967] ; [17.67032967  6.32967033],0
u2,1,0.075529,3.158571,[ 7 10] ; [5 1],[8.86956522 8.13043478] ; [3.13043478 2.86956522],0
u3,1,0.080824,3.048259,[8 9] ; [6 1],[9.91666667 7.08333333] ; [4.08333333 2.91666667],0
n1,1,0.105528,2.619943,[16 10] ; [4 8],[13.68421053 12.31578947] ; [6.31578947 5.68421053],0
v3,1,0.14368,2.138097,[26 39] ; [ 5 17],[23.16091954 41.83908046] ; [ 7.83908046 14.16091954],0
d1,1,0.150849,2.063643,[42 25] ; [11 13],[39.02197802 27.97802198] ; [13.97802198 10.02197802],0
u1,1,0.166933,1.910273,[21 46] ; [ 4 20],[18.40659341 48.59340659] ; [ 6.59340659 17.40659341],0
r1,1,0.190026,1.717419,[58  9] ; [18  6],[55.95604396 11.04395604] ; [20.04395604  3.95604396],0
s2,1,0.199644,1.644976,[51 16] ; [15  9],[48.59340659 18.40659341] ; [17.40659341  6.59340659],0
s3,1,0.229908,1.441429,[48 19] ; [14 10],[45.64835165 21.35164835] ; [16.35164835  7.64835165],0
n2,1,0.240183,1.379522,[20  6] ; [7 5],[18.47368421  7.52631579] ; [8.52631579 3.47368421],0
b3,1,0.277776,1.177938,[13 28] ; [5 5],[14.47058824 26.52941176] ; [3.52941176 6.47058824],0
b2,1,0.277776,1.177938,[13 28] ; [5 5],[14.47058824 26.52941176] ; [3.52941176 6.47058824],0
p7,1,0.368532,0.80861,[33 33] ; [ 9 14],[31.14606742 34.85393258] ; [10.85393258 12.14606742],0
d3,1,0.388446,0.743802,[50 16] ; [16  8],[48.4 17.6] ; [17.6  6.4],0
p4,1,0.409895,0.679104,[40 27] ; [12 12],[38.28571429 28.71428571] ; [13.71428571 10.28571429],0
p6,1,0.47331,0.514237,[32 35] ; [ 9 14],[30.52222222 36.47777778] ; [10.47777778 12.52222222],0
d4,1,0.474549,0.511364,[54 12] ; [18  6],[52.8 13.2] ; [19.2  4.8],0
r2,1,0.487842,0.481283,[63  3] ; [22  2],[62.33333333  3.66666667] ; [22.66666667  1.33333333],0
a6,1,0.514438,0.42503,[39 27] ; [16  8],[40.33333333 25.66666667] ; [14.66666667  9.33333333],0
p3,1,0.536537,0.381996,[30 37] ; [ 9 15],[28.71428571 38.28571429] ; [10.28571429 13.71428571],0
b1,1,0.547578,0.361674,[41 26] ; [13 11],[39.75824176 27.24175824] ; [14.24175824  9.75824176],0
r3,1,0.572827,0.317975,[61  6] ; [20  3],[60.3  6.7] ; [20.7  2.3],0
a1,1,0.576639,0.3117,[ 5 62] ; [ 1 23],[ 4.41758242 62.58241758] ; [ 1.58241758 22.41758242],0
b5,1,0.611482,0.258022,[43 24] ; [14 10],[41.96703297 25.03296703] ; [15.03296703  8.96703297],0
d5,1,0.633553,0.227273,[52 14] ; [20  4],[52.8 13.2] ; [19.2  4.8],0
a3,1,0.635766,0.224323,[50 16] ; [17  7],[49.13333333 16.86666667] ; [17.86666667  6.13333333],0
p10,1,0.639055,0.21998,[43 24] ; [16  7],[43.92222222 23.07777778] ; [15.07777778  7.92222222],0
p1,1,0.641256,0.217103,[ 9 58] ; [ 4 19],[ 9.67777778 57.32222222] ; [ 3.32222222 19.67777778],0
a2,1,0.651726,0.203731,[20 47] ; [ 6 18],[19.14285714 47.85714286] ; [ 6.85714286 17.14285714],0
v4,1,0.688942,0.160233,[63  4] ; [22  2],[62.58241758  4.41758242] ; [22.41758242  1.58241758],0
s6,1,0.692903,0.155961,[53 11] ; [19  5],[52.36363636 11.63636364] ; [19.63636364  4.36363636],0
p8,1,0.731311,0.117912,[26 41] ; [ 8 15],[25.31111111 41.68888889] ; [ 8.68888889 14.31111111],0
p9,1,0.783361,0.075593,[53 14] ; [18  4],[53.4494382 13.5505618] ; [17.5505618  4.4494382],0
s5,1,0.842275,0.039595,[28 33] ; [10 13],[27.5952381 33.4047619] ; [10.4047619 12.5952381],0
v2,1,0.850845,0.035359,[35 32] ; [12 10],[35.38202247 31.61797753] ; [11.61797753 10.38202247],0
n3,1,0.850962,0.035303,[16 10] ; [7 5],[15.73684211 10.26315789] ; [7.26315789 4.73684211],0
v1,1,0.87105,0.026349,[35 32] ; [13 11],[35.34065934 31.65934066] ; [12.65934066 11.34065934],0
r4,1,0.907736,0.013432,[58  9] ; [21  3],[58.16483516  8.83516484] ; [20.83516484  3.16483516],0
s8,1,0.910156,0.012733,[41 26] ; [15  9],[41.23076923 25.76923077] ; [14.76923077  9.23076923],0
p12,1,0.94916,0.004066,[ 3 64] ; [ 1 23],[ 2.94505495 64.05494505] ; [ 1.05494505 22.94505495],0
p2,1,0.971209,0.001303,[50 17] ; [18  6],[50.06593407 16.93406593] ; [17.93406593  6.06593407],0
b4,1,0.991541,0.000112,[39 28] ; [14 10],[39.02197802 27.97802198] ; [13.97802198 10.02197802],0
