Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.898235,[ 22 133] ; [24 27],[ 34.61165049 120.38834951] ; [11.38834951 39.61165049],1
p6,1,0.000315,12.977361,[ 29 120] ; [23 28],[ 38.74 110.26] ; [13.26 37.74],1
s2,1,0.001841,9.701966,[ 21 132] ; [17 34],[ 28.5 124.5] ; [ 9.5 41.5],0
u1,1,0.006758,7.336261,[ 18 137] ; [14 37],[ 24.0776699 130.9223301] ; [ 7.9223301 43.0776699],0
s3,1,0.012817,6.194177,[ 33 120] ; [20 31],[ 39.75 113.25] ; [13.25 37.75],0
p3,1,0.025062,5.019571,[61 92] ; [29 21],[67.83251232 85.16748768] ; [22.16748768 27.83251232],0
a8,1,0.027925,4.832715,[ 12 130] ; [ 9 35],[ 16.03225806 125.96774194] ; [ 4.96774194 39.03225806],0
n1,1,0.030659,4.671983,[11 28] ; [8 5],[14.25 24.75] ; [4.75 8.25],0
p5,1,0.0426,4.111192,[  8 146] ; [ 7 44],[ 11.26829268 142.73170732] ; [ 3.73170732 47.26829268],0
p4,1,0.043176,4.088504,[68 85] ; [31 20],[74.25 78.75] ; [24.75 26.25],0
p10,1,0.073757,3.197356,[107  47] ; [42  9],[111.93170732  42.06829268] ; [37.06829268 13.93170732],0
a3,1,0.07495,3.171142,[118  36] ; [45  6],[122.44878049  31.55121951] ; [40.55121951 10.44878049],0
n6,1,0.07717,3.123515,[113  40] ; [43  7],[117.57635468  35.42364532] ; [38.42364532 11.57635468],0
p2,1,0.137793,2.202429,[110  43] ; [42  9],[114.  39.] ; [38. 13.],0
s4,1,0.155462,2.017821,[  9 146] ; [ 6 45],[ 11.28640777 143.71359223] ; [ 3.71359223 47.28640777],0
r4,1,0.168142,1.899427,[129  26] ; [38 13],[125.65533981  29.34466019] ; [41.34466019  9.65533981],0
b4,1,0.170259,1.880664,[90 65] ; [24 27],[85.77669903 69.22330097] ; [28.22330097 22.77669903],0
v3,1,0.184887,1.757895,[ 48 100] ; [21 28],[51.83756345 96.16243655] ; [17.16243655 31.83756345],0
b3,1,0.187083,1.740441,[38 54] ; [21 18],[41.4351145 50.5648855] ; [17.5648855 21.4351145],0
