Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.019722,5.436328,[12  9] ; [1 8],[ 9.1 11.9] ; [3.9 5.1],0
a5,1,0.025599,4.982912,[16  5] ; [3 6],[13.3  7.7] ; [5.7 3.3],0
s4,1,0.028434,4.801587,[ 2 19] ; [4 5],[ 4.2 16.8] ; [1.8 7.2],0
d4,1,0.028434,4.801587,[19  2] ; [5 4],[16.8  4.2] ; [7.2 1.8],0
a4,1,0.034477,4.470899,[11 10] ; [1 8],[ 8.4 12.6] ; [3.6 5.4],0
v1,1,0.043047,4.093567,[12  7] ; [2 7],[9.5 9.5] ; [4.5 4.5],0
n4,1,0.045541,3.998488,[17  4] ; [4 5],[14.7  6.3] ; [6.3 2.7],0
d3,1,0.046366,3.968254,[13  8] ; [2 7],[10.5 10.5] ; [4.5 4.5],0
p8,1,0.046366,3.968254,[ 8 13] ; [7 2],[10.5 10.5] ; [4.5 4.5],0
r2,1,0.049184,3.869048,[12  6] ; [2 6],[9.69230769 8.30769231] ; [4.30769231 3.69230769],0
s6,1,0.055528,3.666173,[16  4] ; [4 5],[13.79310345  6.20689655] ; [6.20689655 2.79310345],0
a6,1,0.078933,3.086735,[12  9] ; [2 7],[ 9.8 11.2] ; [4.2 4.8],0
v3,1,0.090969,2.857143,[ 9 12] ; [1 8],[ 7. 14.] ; [3. 6.],0
s7,1,0.123819,2.368333,[18  2] ; [6 3],[16.55172414  3.44827586] ; [7.44827586 1.55172414],0
v2,1,0.150584,2.066327,[13  8] ; [3 6],[11.2  9.8] ; [4.8 4.2],0
a7,1,0.231998,1.428571,[12  9] ; [3 6],[10.5 10.5] ; [4.5 4.5],0
n1,1,0.236724,1.4,[4 6] ; [3 1],[5. 5.] ; [2. 2.],0
v4,1,0.333998,0.933333,[16  4] ; [5 3],[15.  5.] ; [6. 2.],0
s3,1,0.337419,0.920215,[14  5] ; [5 4],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
b1,1,0.376482,0.782159,[ 8 13] ; [5 4],[ 9.1 11.9] ; [3.9 5.1],0
p9,1,0.377209,0.779778,[18  2] ; [7 2],[17.24137931  2.75862069] ; [7.75862069 1.24137931],0
n3,1,0.393153,0.729167,[5 5] ; [3 1],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
a3,1,0.398025,0.714286,[15  6] ; [5 4],[14.  7.] ; [6. 3.],0
p11,1,0.425556,0.634921,[16  5] ; [8 1],[16.8  4.2] ; [7.2 1.8],0
s2,1,0.448984,0.573216,[14  6] ; [5 4],[13.10344828  6.89655172] ; [5.89655172 3.10344828],0
b3,1,0.478188,0.502994,[ 6 13] ; [1 5],[ 5.32 13.68] ; [1.68 4.32],0
b2,1,0.478188,0.502994,[ 6 13] ; [1 5],[ 5.32 13.68] ; [1.68 4.32],0
r1,1,0.491387,0.473488,[ 7 13] ; [2 7],[ 6.20689655 13.79310345] ; [2.79310345 6.20689655],0
p10,1,0.521213,0.411492,[15  4] ; [8 1],[15.60714286  3.39285714] ; [7.39285714 1.60714286],0
b4,1,0.522903,0.408163,[12  9] ; [4 5],[11.2  9.8] ; [4.8 4.2],0
s1,1,0.522903,0.408163,[ 1 20] ; [1 8],[ 1.4 19.6] ; [0.6 8.4],0
p6,1,0.555086,0.348284,[ 9 11] ; [3 6],[ 8.27586207 11.72413793] ; [3.72413793 5.27586207],0
a8,1,0.574695,0.31489,[ 1 18] ; [1 8],[ 1.35714286 17.64285714] ; [0.64285714 8.35714286],0
p2,1,0.59298,0.285714,[18  3] ; [7 2],[17.5  3.5] ; [7.5 1.5],0
u3,1,0.598161,0.277778,[4 2] ; [2 2],[3.6 2.4] ; [2.4 1.6],0
n6,1,0.642279,0.215774,[15  5] ; [6 3],[14.48275862  5.51724138] ; [6.51724138 2.48275862],0
p7,1,0.71714,0.13125,[11  9] ; [5 3],[11.42857143  8.57142857] ; [4.57142857 3.42857143],0
p3,1,0.744954,0.10582,[ 8 13] ; [4 5],[ 8.4 12.6] ; [3.6 5.4],0
p4,1,0.804113,0.061517,[13  8] ; [6 3],[13.3  7.7] ; [5.7 3.3],0
n5,1,0.891289,0.01868,[16  4] ; [7 2],[15.86206897  4.13793103] ; [7.13793103 1.86206897],0
r3,1,0.924953,0.008873,[16  5] ; [7 2],[16.1  4.9] ; [6.9 2.1],0
b5,1,0.935919,0.006464,[12  9] ; [5 4],[11.9  9.1] ; [5.1 3.9],0
u2,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
