Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.7e-05,17.01821,[ 9 42] ; [11  4],[15.45454545 35.54545455] ; [ 4.54545455 10.45454545],1
s3,1,0.000107,15.007215,[10 40] ; [11  4],[16.15384615 33.84615385] ; [ 4.84615385 10.15384615],1
p4,1,0.001205,10.482353,[ 9 42] ; [9 6],[13.90909091 37.09090909] ; [ 4.09090909 10.90909091],0
s7,1,0.001351,10.271739,[ 5 41] ; [7 7],[ 9.2 36.8] ; [ 2.8 11.2],0
p6,1,0.002964,8.829388,[ 4 45] ; [6 9],[ 7.65625 41.34375] ; [ 2.34375 12.65625],0
s4,1,0.005806,7.609412,[ 5 46] ; [6 9],[ 8.5 42.5] ; [ 2.5 12.5],0
p3,1,0.00695,7.285948,[ 7 43] ; [7 8],[10.76923077 39.23076923] ; [ 3.23076923 11.76923077],0
n6,1,0.027455,4.861976,[20 29] ; [11  4],[23.734375 25.265625] ; [7.265625 7.734375],0
v1,1,0.044171,4.05,[11 38] ; [7 7],[14. 35.] ; [ 4. 10.],0
p8,1,0.05328,3.735129,[ 6 44] ; [ 5 10],[ 8.46153846 41.53846154] ; [ 2.53846154 12.46153846],0
p2,1,0.087126,2.926697,[18 33] ; [9 6],[20.86363636 30.13636364] ; [6.13636364 8.86363636],0
b3,1,0.099033,2.721056,[13 19] ; [1 8],[10.92682927 21.07317073] ; [3.07317073 5.92682927],0
b2,1,0.099033,2.721056,[13 19] ; [1 8],[10.92682927 21.07317073] ; [3.07317073 5.92682927],0
u3,1,0.116664,2.461538,[ 5 21] ; [3 3],[ 6.5 19.5] ; [1.5 4.5],0
p11,1,0.116699,2.461074,[13 38] ; [7 8],[15.45454545 35.54545455] ; [ 4.54545455 10.45454545],0
a7,1,0.127443,2.323378,[24 25] ; [ 4 11],[21.4375 27.5625] ; [6.5625 8.4375],0
b4,1,0.141934,2.156863,[28 23] ; [ 5 10],[25.5 25.5] ; [7.5 7.5],0
r3,1,0.147084,2.102235,[19 30] ; [9 6],[21.4375 27.5625] ; [6.5625 8.4375],0
p7,1,0.16414,1.935662,[11 39] ; [6 9],[13.07692308 36.92307692] ; [ 3.92307692 11.07692308],0
s1,1,0.18853,1.729064,[ 4 46] ; [ 3 12],[ 5.38461538 44.61538462] ; [ 1.61538462 13.38461538],0
b5,1,0.251129,1.317014,[29 22] ; [11  4],[30.90909091 20.09090909] ; [9.09090909 5.90909091],0
s5,1,0.294938,1.096942,[ 6 45] ; [ 3 10],[ 7.171875 43.828125] ; [ 1.828125 11.171875],0
a1,1,0.297124,1.087059,[ 9 42] ; [ 1 14],[ 7.72727273 43.27272727] ; [ 2.27272727 12.72727273],0
v2,1,0.322294,0.979615,[16 33] ; [7 8],[17.609375 31.390625] ; [5.390625 9.609375],0
d4,1,0.347994,0.880759,[30 20] ; [11  4],[31.53846154 18.46153846] ; [9.46153846 5.53846154],0
d3,1,0.378223,0.776471,[24 27] ; [9 6],[25.5 25.5] ; [7.5 7.5],0
a5,1,0.378223,0.776471,[24 27] ; [9 6],[25.5 25.5] ; [7.5 7.5],0
d2,1,0.39251,0.731152,[20 29] ; [8 7],[21.4375 27.5625] ; [6.5625 8.4375],0
n2,1,0.393153,0.729167,[11 17] ; [4 3],[12. 16.] ; [3. 4.],0
n5,1,0.438663,0.599777,[29 21] ; [7 8],[27.69230769 22.30769231] ; [8.30769231 6.69230769],0
a2,1,0.461526,0.542191,[ 7 44] ; [ 1 14],[ 6.18181818 44.81818182] ; [ 1.81818182 13.18181818],0
v4,1,0.496447,0.462524,[25 25] ; [9 6],[26.15384615 23.84615385] ; [7.84615385 7.15384615],0
d1,1,0.511967,0.430045,[19 32] ; [7 8],[20.09090909 30.90909091] ; [5.90909091 9.09090909],0
a3,1,0.541992,0.371861,[25 24] ; [9 6],[26.03125 22.96875] ; [7.96875 7.03125],0
b1,1,0.605894,0.266197,[31 20] ; [8 7],[30.13636364 20.86363636] ; [8.86363636 6.13636364],0
n3,1,0.611945,0.257353,[13 15] ; [4 3],[13.6 14.4] ; [3.4 3.6],0
r2,1,0.637954,0.221429,[24 24] ; [8 6],[24.77419355 23.22580645] ; [7.22580645 6.77419355],0
n4,1,0.645847,0.211176,[30 20] ; [8 7],[29.23076923 20.76923077] ; [8.76923077 6.23076923],0
p1,1,0.710238,0.138039,[ 5 46] ; [ 1 14],[ 4.63636364 46.36363636] ; [ 1.36363636 13.63636364],0
r1,1,0.747081,0.104,[12 38] ; [ 3 12],[11.53846154 38.46153846] ; [ 3.46153846 11.53846154],0
a4,1,0.849749,0.035887,[18 32] ; [ 5 10],[17.69230769 32.30769231] ; [5.30769231 9.69230769],0
n1,1,0.85554,0.033144,[ 9 19] ; [2 5],[ 8.8 19.2] ; [2.2 4.8],0
p9,1,0.864721,0.029025,[12 37] ; [ 4 11],[12.25 36.75] ; [ 3.75 11.25],0
a6,1,0.872655,0.025692,[26 25] ; [8 7],[26.27272727 24.72727273] ; [7.72727273 7.27272727],0
u1,1,0.879685,0.022912,[ 4 47] ; [ 1 14],[ 3.86363636 47.13636364] ; [ 1.13636364 13.86363636],0
u2,1,0.902425,0.01503,[ 9 16] ; [2 4],[ 8.87096774 16.12903226] ; [2.12903226 3.87096774],0
d5,1,0.935072,0.006637,[30 21] ; [9 6],[30.13636364 20.86363636] ; [8.86363636 6.13636364],0
v3,1,1.0,0.0,[10 40] ; [ 3 12],[10. 40.] ; [ 3. 12.],0
