Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,105.090901,[161   5] ; [73 86],[119.52  46.48] ; [114.48  44.52],1
d4,1,0.0,96.159431,[160   4] ; [79 80],[121.3498452  42.6501548] ; [117.6501548  41.3498452],1
d2,1,0.0,95.491715,[118  46] ; [ 28 130],[74.36024845 89.63975155] ; [71.63975155 86.36024845],1
d3,1,0.0,90.983359,[141  25] ; [ 52 106],[98.88271605 67.11728395] ; [94.11728395 63.88271605],1
a2,1,0.0,28.358189,[ 48 118] ; [ 10 149],[ 29.62461538 136.37538462] ; [ 28.37538462 130.62461538],1
a4,1,0.0,26.540036,[90 75] ; [ 42 117],[67.22222222 97.77777778] ; [64.77777778 94.22222222],1
a5,1,1e-06,24.222949,[128  38] ; [81 78],[106.75076923  59.24923077] ; [102.24923077  56.75076923],1
a6,1,7e-06,20.11074,[128  38] ; [85 74],[108.79384615  57.20615385] ; [104.20615385  54.79384615],1
u1,1,1.4e-05,18.832351,[ 30 136] ; [  5 154],[ 17.87692308 148.12307692] ; [ 17.12307692 141.87692308],1
a3,1,2.4e-05,17.808409,[128  37] ; [87 70],[110.17080745  54.82919255] ; [104.82919255  52.17080745],1
r1,1,0.000108,14.994353,[130  35] ; [93 65],[113.91640867  51.08359133] ; [109.08359133  48.91640867],1
a7,1,0.000223,13.626368,[125  40] ; [89 69],[109.31888545  55.68111455] ; [104.68111455  53.31888545],1
r2,1,0.000241,13.483998,[153   9] ; [128  30],[142.25625  19.74375] ; [138.74375  19.25625],1
v2,1,0.000509,12.083182,[94 67] ; [58 92],[78.68810289 82.31189711] ; [73.31189711 76.68810289],1
n6,1,0.000694,11.504635,[133  32] ; [100  57],[119.39440994  45.60559006] ; [113.60559006  43.39440994],1
r3,1,0.001943,9.60246,[152  13] ; [126  31],[142.45341615  22.54658385] ; [135.54658385  21.45341615],0
p8,1,0.002219,9.359259,[83 80] ; [ 53 103],[69.49216301 93.50783699] ; [66.50783699 89.49216301],0
n4,1,0.003243,8.665609,[127  39] ; [97 61],[114.7654321  51.2345679] ; [109.2345679  48.7654321],0
r4,1,0.003531,8.510738,[136  30] ; [108  51],[124.62769231  41.37230769] ; [119.37230769  39.62769231],0
p10,1,0.004021,8.274303,[119  44] ; [90 66],[106.79310345  56.20689655] ; [102.20689655  53.79310345],0
s8,1,0.006587,7.382166,[ 39 127] ; [ 19 140],[ 29.62461538 136.37538462] ; [ 28.37538462 130.62461538],0
s1,1,0.015992,5.803785,[  2 161] ; [ 10 148],[  6.09345794 156.90654206] ; [  5.90654206 152.09345794],0
v3,1,0.017686,5.627013,[62 95] ; [ 41 112],[ 52.16451613 104.83548387] ; [ 50.83548387 102.16451613],0
v4,1,0.021138,5.315401,[150  15] ; [129  28],[142.96583851  22.03416149] ; [136.03416149  20.96583851],0
s5,1,0.022833,5.181162,[ 26 137] ; [ 12 144],[ 19.4169279 143.5830721] ; [ 18.5830721 137.4169279],0
p9,1,0.023901,5.101786,[121  40] ; [99 57],[111.73501577  49.26498423] ; [108.26498423  47.73501577],0
b1,1,0.033278,4.531414,[ 59 107] ; [75 84],[68.44307692 97.55692308] ; [65.55692308 93.44307692],0
p11,1,0.049035,3.874167,[127  39] ; [106  53],[119.00923077  46.99076923] ; [113.99076923  45.00923077],0
p7,1,0.052201,3.76932,[94 70] ; [72 83],[85.34169279 78.65830721] ; [80.65830721 74.34169279],0
v1,1,0.064171,3.426171,[76 88] ; [56 99],[67.86206897 96.13793103] ; [64.13793103 90.86206897],0
u3,1,0.074048,3.190922,[21 17] ; [27 45],[16.58181818 21.41818182] ; [31.41818182 40.58181818],0
p2,1,0.097254,2.750012,[123  40] ; [106  52],[116.2834891  46.7165109] ; [112.7165109  45.2834891],0
s7,1,0.102112,2.67225,[ 38 117] ; [ 25 123],[ 32.22772277 122.77227723] ; [ 30.77227723 117.22772277],0
n5,1,0.106802,2.600917,[114  51] ; [95 62],[107.09627329  57.90372671] ; [101.90372671  55.09627329],0
p4,1,0.133279,2.25389,[76 86] ; [61 97],[69.35625 92.64375] ; [67.64375 90.35625],0
a1,1,0.15925,1.981333,[  5 161] ; [ 10 149],[  7.66153846 158.33846154] ; [  7.33846154 151.66153846],0
p3,1,0.169502,1.887345,[66 96] ; [ 53 106],[ 60.05607477 101.94392523] ; [ 58.94392523 100.05607477],0
p5,1,0.177984,1.814379,[ 12 152] ; [  6 150],[  9.225 154.775] ; [  8.775 147.225],0
u2,1,0.219075,1.510421,[20 17] ; [30 42],[16.97247706 20.02752294] ; [33.02752294 38.97247706],0
n2,1,0.24919,1.327842,[28 19] ; [34 14],[30.67368421 16.32631579] ; [31.32631579 16.67368421],0
p6,1,0.254464,1.298629,[ 41 118] ; [ 32 125],[ 36.73101266 122.26898734] ; [ 36.26898734 120.73101266],0
p1,1,0.258093,1.278955,[ 12 154] ; [ 17 140],[ 14.90402477 151.09597523] ; [ 14.09597523 142.90402477],0
n3,1,0.304614,1.053885,[29 18] ; [33 13],[31.33333333 15.66666667] ; [30.66666667 15.33333333],0
n1,1,0.304614,1.053885,[13 33] ; [18 29],[15.33333333 30.66666667] ; [15.66666667 31.33333333],0
b5,1,0.320278,0.987811,[88 78] ; [93 66],[92.44923077 73.55076923] ; [88.55076923 70.44923077],0
b4,1,0.370003,0.803653,[99 67] ; [87 72],[95.00307692 70.99692308] ; [90.99692308 68.00307692],0
a8,1,0.466255,0.530837,[ 14 133] ; [ 18 130],[ 15.94576271 131.05423729] ; [ 16.05423729 131.94576271],0
b3,1,0.49415,0.467478,[44 56] ; [36 56],[41.66666667 58.33333333] ; [38.33333333 53.66666667],0
b2,1,0.49415,0.467478,[44 56] ; [36 56],[41.66666667 58.33333333] ; [38.33333333 53.66666667],0
s3,1,0.650508,0.20526,[ 40 123] ; [ 42 115],[ 41.76875 121.23125] ; [ 40.23125 116.76875],0
s2,1,0.731531,0.11771,[ 29 134] ; [ 26 133],[ 27.84161491 135.15838509] ; [ 27.15838509 131.84161491],0
p12,1,0.785765,0.073883,[  5 159] ; [  4 153],[  4.59813084 159.40186916] ; [  4.40186916 152.59813084],0
