Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000205,13.781077,[15 17] ; [12 72],[ 7.44827586 24.55172414] ; [19.55172414 64.44827586],1
p11,1,0.002065,9.490741,[23 10] ; [35 56],[15.43548387 17.56451613] ; [42.56451613 48.43548387],0
p8,1,0.002726,8.982496,[17 16] ; [21 69],[10.19512195 22.80487805] ; [27.80487805 62.19512195],0
a3,1,0.017571,5.638388,[23 10] ; [41 49],[17.17073171 15.82926829] ; [46.82926829 43.17073171],0
s8,1,0.017664,5.629206,[11 22] ; [13 78],[ 6.38709677 26.61290323] ; [17.61290323 73.38709677],0
a8,1,0.017796,5.616164,[ 5 26] ; [ 3 82],[ 2.13793103 28.86206897] ; [ 5.86206897 79.13793103],0
s3,1,0.023975,5.096409,[18 15] ; [29 61],[12.6097561 20.3902439] ; [34.3902439 55.6097561],0
d3,1,0.025401,4.996337,[22 11] ; [40 51],[16.5 16.5] ; [45.5 45.5],0
v4,1,0.028531,4.795711,[30  3] ; [65 25],[25.48780488  7.51219512] ; [69.51219512 20.48780488],0
p7,1,0.048391,3.896342,[18 14] ; [33 58],[13.26829268 18.73170732] ; [37.73170732 53.26829268],0
a7,1,0.053064,3.741889,[24  9] ; [48 42],[19.31707317 13.68292683] ; [52.68292683 37.31707317],0
r1,1,0.057804,3.599284,[26  7] ; [55 36],[21.55645161 11.44354839] ; [59.44354839 31.55645161],0
p2,1,0.067424,3.344655,[21 12] ; [41 50],[16.5 16.5] ; [45.5 45.5],0
d5,1,0.069855,3.286432,[27  6] ; [59 32],[22.88709677 10.11290323] ; [63.11290323 27.88709677],0
s2,1,0.077623,3.113985,[13 20] ; [21 69],[ 9.12195122 23.87804878] ; [24.87804878 65.12195122],0
v2,1,0.079368,3.077794,[14 18] ; [24 65],[10.04958678 21.95041322] ; [27.95041322 61.04958678],0
n1,1,0.104883,2.629677,[5 4] ; [11 29],[2.93877551 6.06122449] ; [13.06122449 26.93877551],0
n6,1,0.105692,2.617477,[24  9] ; [51 39],[20.12195122 12.87804878] ; [54.87804878 35.12195122],0
v3,1,0.108677,2.573351,[10 23] ; [15 73],[ 6.81818182 26.18181818] ; [18.18181818 69.81818182],0
r3,1,0.120006,2.417238,[28  5] ; [64 26],[24.68292683  8.31707317] ; [67.31707317 22.68292683],0
r2,1,0.138031,2.199774,[29  3] ; [71 19],[26.2295082  5.7704918] ; [73.7704918 16.2295082],0
p4,1,0.19772,1.659139,[15 17] ; [31 60],[11.96747967 20.03252033] ; [34.03252033 56.96747967],0
n2,1,0.20273,1.622596,[7 3] ; [19 21],[5.2 4.8] ; [20.8 19.2],0
n5,1,0.235835,1.405317,[21 12] ; [47 44],[18.09677419 14.90322581] ; [49.90322581 41.09677419],0
a6,1,0.28075,1.163456,[21 12] ; [48 43],[18.36290323 14.63709677] ; [50.63709677 40.36290323],0
d1,1,0.281271,1.16094,[17 16] ; [37 54],[14.37096774 18.62903226] ; [39.62903226 51.37096774],0
a4,1,0.281337,1.16062,[ 8 25] ; [31 59],[10.46341463 22.53658537] ; [28.53658537 61.46341463],0
s5,1,0.295643,1.093747,[ 7 26] ; [12 77],[ 5.13934426 27.86065574] ; [13.86065574 75.13934426],0
s6,1,0.2966,1.089418,[15 18] ; [32 59],[12.50806452 20.49193548] ; [34.49193548 56.50806452],0
d4,1,0.315927,1.005733,[25  8] ; [59 30],[22.72131148 10.27868852] ; [61.27868852 27.72131148],0
r4,1,0.345636,0.889413,[23 10] ; [55 36],[20.75806452 12.24193548] ; [57.24193548 33.75806452],0
n3,1,0.367583,0.811818,[6 3] ; [19 19],[4.78723404 4.21276596] ; [20.21276596 17.78723404],0
a2,1,0.413275,0.66936,[ 5 28] ; [ 9 82],[ 3.72580645 29.27419355] ; [10.27419355 80.72580645],0
u2,1,0.451499,0.566887,[6 4] ; [23 26],[4.91525424 5.08474576] ; [24.08474576 24.91525424],0
