Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,8.8e-05,15.375838,[74  2] ; [8 4],[70.81818182  5.18181818] ; [11.18181818  0.81818182],1
p7,1,0.000718,11.440913,[64 10] ; [6 7],[59.54022989 14.45977011] ; [10.45977011  2.54022989],1
a3,1,0.002041,9.512488,[68  9] ; [7 6],[64.16666667 12.83333333] ; [10.83333333  2.16666667],0
v2,1,0.005412,7.736274,[47 26] ; [ 3 10],[42.44186047 30.55813953] ; [7.55813953 5.44186047],0
a6,1,0.034356,4.476902,[53 24] ; [5 8],[49.62222222 27.37777778] ; [8.37777778 4.62222222],0
p9,1,0.038513,4.282229,[75  2] ; [11  2],[73.57777778  3.42222222] ; [12.42222222  0.57777778],0
a5,1,0.097464,2.746557,[63 14] ; [8 5],[60.74444444 16.25555556] ; [10.25555556  2.74444444],0
b5,1,0.112679,2.516239,[35 42] ; [9 4],[37.64444444 39.35555556] ; [6.35555556 6.64444444],0
v3,1,0.143335,2.141781,[44 29] ; [5 8],[41.59302326 31.40697674] ; [7.40697674 5.59302326],0
s5,1,0.163075,1.945476,[47 23] ; [5 6],[44.9382716 25.0617284] ; [7.0617284 3.9382716],0
r3,1,0.184396,1.761834,[71  4] ; [11  2],[69.88636364  5.11363636] ; [12.11363636  0.88636364],0
d5,1,0.196424,1.668769,[69  8] ; [10  3],[67.58888889  9.41111111] ; [11.41111111  1.58888889],0
s4,1,0.21971,1.506267,[ 8 66] ; [ 3 10],[ 9.35632184 64.64367816] ; [ 1.64367816 11.35632184],0
p1,1,0.248746,1.330331,[18 59] ; [5 8],[19.67777778 57.32222222] ; [3.32222222 9.67777778],0
n6,1,0.275765,1.187845,[71  5] ; [11  2],[70.02247191  5.97752809] ; [11.97752809  1.02247191],0
p8,1,0.293959,1.101399,[63 14] ; [9 4],[61.6 15.4] ; [10.4  2.6],0
p6,1,0.322375,0.979286,[45 29] ; [6 7],[43.37931034 30.62068966] ; [7.62068966 5.37931034],0
p12,1,0.351281,0.868824,[21 55] ; [ 2 11],[19.64044944 56.35955056] ; [3.35955056 9.64044944],0
b2,1,0.351673,0.867411,[29 29] ; [3 6],[27.70149254 30.29850746] ; [4.29850746 4.70149254],0
b3,1,0.351673,0.867411,[29 29] ; [3 6],[27.70149254 30.29850746] ; [4.29850746 4.70149254],0
s6,1,0.352148,0.8657,[58 14] ; [11  1],[59.14285714 12.85714286] ; [9.85714286 2.14285714],0
d1,1,0.352477,0.86452,[57 20] ; [8 5],[55.61111111 21.38888889] ; [9.38888889 3.61111111],0
n2,1,0.371093,0.8,[12  3] ; [3 2],[11.25  3.75] ; [3.75 1.25],0
p2,1,0.382941,0.76124,[70  6] ; [11  2],[69.16853933  6.83146067] ; [11.83146067  1.16853933],0
d2,1,0.412607,0.671277,[44 33] ; [9 4],[45.34444444 31.65555556] ; [7.65555556 5.34444444],0
b4,1,0.412607,0.671277,[44 33] ; [9 4],[45.34444444 31.65555556] ; [7.65555556 5.34444444],0
p3,1,0.42291,0.642215,[61 16] ; [9 4],[59.88888889 17.11111111] ; [10.11111111  2.88888889],0
a1,1,0.454031,0.560568,[12 65] ; [ 1 12],[11.12222222 65.87777778] ; [ 1.87777778 11.12222222],0
v1,1,0.483178,0.491681,[52 21] ; [8 5],[50.93023256 22.06976744] ; [9.06976744 3.93023256],0
u1,1,0.493146,0.469655,[17 60] ; [4 9],[17.96666667 59.03333333] ; [3.03333333 9.96666667],0
s7,1,0.503248,0.448081,[51 21] ; [8 5],[49.97647059 22.02352941] ; [9.02352941 3.97647059],0
r4,1,0.517723,0.418428,[66 11] ; [12  1],[66.73333333 10.26666667] ; [11.26666667  1.73333333],0
a2,1,0.521453,0.411018,[18 59] ; [ 2 11],[17.11111111 59.88888889] ; [ 2.88888889 10.11111111],0
