Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,41.223781,[ 8 22] ; [84 13],[21.73228346  8.26771654] ; [70.26771654 26.73228346],1
d1,1,0.0,35.989766,[ 1 29] ; [64 33],[15.35433071 14.64566929] ; [49.64566929 47.35433071],1
a3,1,0.0,32.58817,[ 6 24] ; [75 22],[19.13385827 10.86614173] ; [61.86614173 35.13385827],1
a5,1,0.0,31.864574,[ 8 22] ; [79 18],[20.5511811  9.4488189] ; [66.4488189 30.5511811],1
r1,1,2.3e-05,17.905907,[13 17] ; [80 17],[21.96850394  8.03149606] ; [71.03149606 25.96850394],1
d3,1,0.000438,12.364583,[ 6 24] ; [55 42],[14.40944882 15.59055118] ; [46.59055118 50.40944882],1
r4,1,0.000575,11.853796,[20 10] ; [89  8],[25.7480315  4.2519685] ; [83.2519685 13.7480315],1
p4,1,0.000583,11.83,[14 16] ; [76 20],[21.42857143  8.57142857] ; [68.57142857 27.42857143],1
d2,1,0.002685,9.00993,[ 7 23] ; [53 44],[14.17322835 15.82677165] ; [45.82677165 51.17322835],0
b3,1,0.009831,6.665254,[ 3 16] ; [30 31],[ 7.8375 11.1625] ; [25.1625 35.8375],0
b2,1,0.009831,6.665254,[ 3 16] ; [30 31],[ 7.8375 11.1625] ; [25.1625 35.8375],0
a4,1,0.009964,6.641243,[ 6 24] ; [45 52],[12.04724409 17.95275591] ; [38.95275591 58.04724409],0
v1,1,0.016703,5.727273,[10 20] ; [56 40],[15.71428571 14.28571429] ; [50.28571429 45.71428571],0
s7,1,0.018339,5.563432,[11 19] ; [57 36],[16.58536585 13.41463415] ; [51.41463415 41.58536585],0
p3,1,0.025653,4.97924,[14 16] ; [67 30],[19.13385827 10.86614173] ; [61.86614173 35.13385827],0
v3,1,0.025837,4.966892,[ 7 22] ; [46 51],[12.1984127 16.8015873] ; [40.8015873 56.1984127],0
p1,1,0.043517,4.075195,[ 6 24] ; [ 7 90],[ 3.07086614 26.92913386] ; [ 9.92913386 87.07086614],0
s8,1,0.044672,4.03097,[12 18] ; [59 38],[16.77165354 13.22834646] ; [54.22834646 42.77165354],0
