Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.4e-05,16.691884,[50 18] ; [ 3 13],[42.9047619 25.0952381] ; [10.0952381  5.9047619],1
b4,1,0.000358,12.741176,[46 22] ; [ 3 13],[39.66666667 28.33333333] ; [9.33333333 6.66666667],1
p9,1,0.006786,7.328787,[61  7] ; [10  6],[57.47619048 10.52380952] ; [13.52380952  2.47619048],0
p10,1,0.010262,6.588816,[57 10] ; [9 7],[53.27710843 13.72289157] ; [12.72289157  3.27710843],0
n5,1,0.016062,5.796101,[54 14] ; [8 8],[50.19047619 17.80952381] ; [11.80952381  4.19047619],0
v4,1,0.016733,5.724196,[62  6] ; [11  5],[59.0952381  8.9047619] ; [13.9047619  2.0952381],0
n6,1,0.024737,5.042201,[56 12] ; [9 7],[52.61904762 15.38095238] ; [12.38095238  3.61904762],0
s8,1,0.039458,4.241047,[27 41] ; [ 2 14],[23.47619048 44.52380952] ; [ 5.52380952 10.47619048],0
p2,1,0.04076,4.185947,[54 13] ; [9 7],[50.85542169 16.14457831] ; [12.14457831  3.85542169],0
p6,1,0.044338,4.043652,[27 39] ; [ 2 13],[23.62962963 42.37037037] ; [5.37037037 9.62962963],0
s3,1,0.059973,3.538135,[39 29] ; [ 5 11],[35.61904762 32.38095238] ; [8.38095238 7.61904762],0
b1,1,0.059973,3.538135,[29 39] ; [11  5],[32.38095238 35.61904762] ; [7.61904762 8.38095238],0
n4,1,0.06699,3.355282,[50 18] ; [8 8],[46.95238095 21.04761905] ; [11.04761905  4.95238095],0
s7,1,0.072262,3.230878,[29 35] ; [ 3 12],[25.92405063 38.07594937] ; [6.07594937 8.92405063],0
b5,1,0.074701,3.176578,[46 22] ; [7 9],[42.9047619 25.0952381] ; [10.0952381  5.9047619],0
s1,1,0.106221,2.609559,[ 2 66] ; [ 2 14],[ 3.23809524 64.76190476] ; [ 0.76190476 15.23809524],0
p3,1,0.133588,2.250303,[41 26] ; [6 9],[38.40243902 28.59756098] ; [8.59756098 6.40243902],0
d5,1,0.152999,2.042096,[54 14] ; [10  6],[51.80952381 16.19047619] ; [12.19047619  3.80952381],0
v3,1,0.213901,1.544822,[32 34] ; [ 5 11],[29.7804878 36.2195122] ; [7.2195122 8.7804878],0
a1,1,0.218587,1.513626,[ 3 65] ; [ 2 14],[ 4.04761905 63.95238095] ; [ 0.95238095 15.04761905],0
a7,1,0.227634,1.455587,[45 23] ; [8 8],[42.9047619 25.0952381] ; [10.0952381  5.9047619],0
a3,1,0.23059,1.437217,[40 28] ; [12  4],[42.0952381 25.9047619] ; [9.9047619 6.0952381],0
r3,1,0.262832,1.253777,[58 10] ; [11  4],[56.53012048 11.46987952] ; [12.46987952  2.53012048],0
a6,1,0.314477,1.011778,[33 35] ; [10  6],[34.80952381 33.19047619] ; [8.19047619 7.80952381],0
n2,1,0.317311,1.0,[13  3] ; [5 3],[12.  4.] ; [6. 2.],0
u3,1,0.348632,0.878431,[14 14] ; [3 1],[14.875 13.125] ; [2.125 1.875],0
s6,1,0.365977,0.817279,[43 20] ; [9 7],[41.46835443 21.53164557] ; [10.53164557  5.46835443],0
p4,1,0.379176,0.773371,[38 29] ; [11  5],[39.55421687 27.44578313] ; [9.44578313 6.55421687],0
b2,1,0.410113,0.678473,[15 26] ; [2 7],[13.94 27.06] ; [3.06 5.94],0
b3,1,0.410113,0.678473,[15 26] ; [2 7],[13.94 27.06] ; [3.06 5.94],0
p8,1,0.494659,0.466375,[31 35] ; [ 6 10],[29.7804878 36.2195122] ; [7.2195122 8.7804878],0
s2,1,0.508126,0.437923,[36 32] ; [7 9],[34.80952381 33.19047619] ; [8.19047619 7.80952381],0
