Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5e-06,20.945934,[16 16] ; [88 12],[25.21212121  6.78787879] ; [78.78787879 21.21212121],1
s8,1,6.8e-05,15.867899,[12 20] ; [75 24],[21.2519084 10.7480916] ; [65.7480916 33.2519084],1
s3,1,0.003992,8.287535,[16 16] ; [76 23],[22.47328244  9.52671756] ; [69.52671756 29.47328244],0
u2,1,0.005368,7.751196,[3 8] ; [15  4],[6.6 4.4] ; [11.4  7.6],0
a3,1,0.055104,3.67894,[21 11] ; [81 18],[24.91603053  7.08396947] ; [77.08396947 21.91603053],0
v3,1,0.07036,3.27461,[ 9 22] ; [47 52],[13.35384615 17.64615385] ; [42.64615385 56.35384615],0
u3,1,0.076626,3.135059,[6 5] ; [16  3],[8.06666667 2.93333333] ; [13.93333333  5.06666667],0
v2,1,0.129658,2.29659,[14 17] ; [60 39],[17.64615385 13.35384615] ; [56.35384615 42.64615385],0
p8,1,0.132087,2.267809,[27  5] ; [71 29],[23.75757576  8.24242424] ; [74.24242424 25.75757576],0
u1,1,0.15939,1.98,[ 5 27] ; [28 72],[ 8. 24.] ; [25. 75.],0
p11,1,0.167846,1.902074,[29  3] ; [80 20],[26.42424242  5.57575758] ; [82.57575758 17.42424242],0
a2,1,0.179313,1.803312,[ 6 26] ; [31 69],[ 8.96969697 23.03030303] ; [28.03030303 71.96969697],0
n2,1,0.201994,1.627897,[3 2] ; [22  4],[4.03225806 0.96774194] ; [20.96774194  5.03225806],0
d2,1,0.206431,1.596285,[14 18] ; [56 43],[17.09923664 14.90076336] ; [52.90076336 46.09923664],0
p5,1,0.213597,1.546875,[ 6 26] ; [30 70],[ 8.72727273 23.27272727] ; [27.27272727 72.72727273],0
b4,1,0.226201,1.464593,[23  9] ; [60 40],[20.12121212 11.87878788] ; [62.87878788 37.12121212],0
d4,1,0.229613,1.443257,[30  2] ; [84 14],[28.06153846  3.93846154] ; [85.93846154 12.06153846],0
s6,1,0.234802,1.411535,[25  5] ; [91  9],[26.76923077  3.23076923] ; [89.23076923 10.76923077],0
n4,1,0.289105,1.123784,[25  7] ; [86 14],[26.90909091  5.09090909] ; [84.09090909 15.90909091],0
n6,1,0.344446,0.893812,[28  4] ; [91  7],[29.29230769  2.70769231] ; [89.70769231  8.29230769],0
r1,1,0.363722,0.825,[25  7] ; [85 15],[26.66666667  5.33333333] ; [83.33333333 16.66666667],0
b3,1,0.371084,0.80003,[ 8 13] ; [33 34],[ 9.78409091 11.21590909] ; [31.21590909 35.78409091],0
b2,1,0.371084,0.80003,[ 8 13] ; [33 34],[ 9.78409091 11.21590909] ; [31.21590909 35.78409091],0
n1,1,0.371408,0.798948,[2 3] ; [16 10],[2.90322581 2.09677419] ; [15.09677419 10.90322581],0
b1,1,0.372708,0.794617,[15 17] ; [38 62],[12.84848485 19.15151515] ; [40.15151515 59.84848485],0
d5,1,0.398986,0.711382,[29  3] ; [83 15],[27.56923077  4.43076923] ; [84.43076923 13.56923077],0
r3,1,0.401907,0.702614,[30  2] ; [97  3],[30.78787879  1.21212121] ; [96.21212121  3.78787879],0
v1,1,0.42788,0.628571,[20 12] ; [70 30],[21.81818182 10.18181818] ; [68.18181818 31.81818182],0
a8,1,0.477519,0.504524,[ 3 29] ; [13 78],[ 4.16260163 27.83739837] ; [11.83739837 79.16260163],0
b5,1,0.482463,0.493292,[15 17] ; [54 46],[16.72727273 15.27272727] ; [52.27272727 47.72727273],0
a7,1,0.494681,0.466329,[20 12] ; [69 31],[21.57575758 10.42424242] ; [67.42424242 32.57575758],0
