Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.5e-05,17.780655,[73  9] ; [2 5],[69.1011236 12.8988764] ; [5.8988764 1.1011236],1
p9,1,0.00356,8.4954,[56 25] ; [1 6],[52.46590909 28.53409091] ; [4.53409091 2.46590909],0
v4,1,0.010644,6.523761,[74  8] ; [4 3],[71.86516854 10.13483146] ; [6.13483146 0.86516854],0
r3,1,0.011363,6.407659,[73  8] ; [4 3],[70.875 10.125] ; [6.125 0.875],0
a7,1,0.017671,5.628452,[59 23] ; [2 5],[56.20224719 25.79775281] ; [4.79775281 2.20224719],0
a3,1,0.019015,5.500092,[58 23] ; [2 5],[55.22727273 25.77272727] ; [4.77272727 2.22727273],0
d2,1,0.019946,5.416572,[49 33] ; [1 6],[46.06741573 35.93258427] ; [3.93258427 3.06741573],0
a5,1,0.022346,5.218667,[58 24] ; [2 5],[55.28089888 26.71910112] ; [4.71910112 2.28089888],0
p10,1,0.030553,4.677911,[46 35] ; [1 6],[43.26136364 37.73863636] ; [3.73863636 3.26136364],0
v1,1,0.042054,4.133047,[44 37] ; [1 6],[41.42045455 39.57954545] ; [3.57954545 3.42045455],0
v2,1,0.052479,3.760431,[42 38] ; [1 6],[39.54022989 40.45977011] ; [3.45977011 3.54022989],0
d1,1,0.059443,3.552853,[53 29] ; [2 5],[50.6741573 31.3258427] ; [4.3258427 2.6741573],0
r1,1,0.060892,3.512928,[62 20] ; [3 4],[59.88764045 22.11235955] ; [5.11235955 1.88764045],0
n5,1,0.067374,3.345869,[51 29] ; [2 5],[48.73563218 31.26436782] ; [4.26436782 2.73563218],0
s7,1,0.071648,3.24485,[39 32] ; [1 5],[36.88311688 34.11688312] ; [3.11688312 2.88311688],0
s6,1,0.071975,3.237395,[59 20] ; [3 4],[56.95348837 22.04651163] ; [5.04651163 1.95348837],0
p6,1,0.084305,2.979894,[39 42] ; [1 6],[36.81818182 44.18181818] ; [3.18181818 3.81818182],0
s8,1,0.120946,2.405027,[36 45] ; [1 6],[34.05681818 46.94318182] ; [2.94318182 4.05681818],0
a8,1,0.12894,2.305216,[ 7 66] ; [2 5],[ 8.2125 64.7875] ; [0.7875 6.2125],0
u3,1,0.186978,1.741272,[17  7] ; [2 3],[15.72413793  8.27586207] ; [3.27586207 1.72413793],0
p2,1,0.211146,1.563552,[64 18] ; [4 3],[62.65168539 19.34831461] ; [5.34831461 1.65168539],0
u2,1,0.222994,1.485,[11 11] ; [1 4],[ 9.77777778 12.22222222] ; [2.22222222 2.77777778],0
b4,1,0.314713,1.010793,[51 31] ; [3 4],[49.75280899 32.24719101] ; [4.24719101 2.75280899],0
p4,1,0.335842,0.926238,[56 26] ; [6 1],[57.12359551 24.87640449] ; [4.87640449 2.12359551],0
d4,1,0.388258,0.744391,[69 13] ; [5 2],[68.17977528 13.82022472] ; [5.82022472 1.17977528],0
p8,1,0.396928,0.717614,[37 45] ; [2 5],[35.93258427 46.06741573] ; [3.06741573 3.93258427],0
d3,1,0.408242,0.683915,[59 23] ; [4 3],[58.04494382 23.95505618] ; [4.95505618 2.04494382],0
d5,1,0.446995,0.57826,[68 14] ; [5 2],[67.25842697 14.74157303] ; [5.74157303 1.25842697],0
a6,1,0.45923,0.547772,[47 35] ; [3 4],[46.06741573 35.93258427] ; [3.93258427 3.06741573],0
s2,1,0.517413,0.419048,[45 36] ; [3 4],[44.18181818 36.81818182] ; [3.81818182 3.18181818],0
s4,1,0.53548,0.383981,[20 61] ; [1 6],[19.32954545 61.67045455] ; [1.67045455 5.32954545],0
p7,1,0.627342,0.235683,[51 31] ; [5 2],[51.59550562 30.40449438] ; [4.40449438 2.59550562],0
v3,1,0.680381,0.169697,[27 50] ; [3 4],[27.5 49.5] ; [2.5 4.5],0
p5,1,0.790099,0.070853,[ 9 73] ; [1 6],[ 9.21348315 72.78651685] ; [0.78651685 6.21348315],0
b5,1,0.813436,0.055694,[55 27] ; [5 2],[55.28089888 26.71910112] ; [4.71910112 2.28089888],0
b1,1,0.892438,0.018284,[49 33] ; [4 3],[48.83146067 33.16853933] ; [4.16853933 2.83146067],0
s3,1,0.907949,0.013369,[45 37] ; [4 3],[45.14606742 36.85393258] ; [3.85393258 3.14606742],0
n6,1,0.951503,0.003699,[58 22] ; [5 2],[57.93103448 22.06896552] ; [5.06896552 1.93103448],0
n4,1,0.953053,0.003466,[57 24] ; [5 2],[57.06818182 23.93181818] ; [4.93181818 2.06818182],0
