Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7.8e-05,15.594596,[41 18] ; [44 72],[28.65714286 30.34285714] ; [56.34285714 59.65714286],1
p6,1,0.000439,12.360506,[23 38] ; [ 17 100],[13.70786517 47.29213483] ; [26.29213483 90.70786517],1
p4,1,0.002455,9.174177,[30 30] ; [32 86],[20.8988764 39.1011236] ; [41.1011236 76.8988764],0
p10,1,0.008955,6.831693,[44 16] ; [62 55],[35.93220339 24.06779661] ; [70.06779661 46.93220339],0
p2,1,0.017622,5.633331,[49 12] ; [75 44],[42.02222222 18.97777778] ; [81.97777778 37.02222222],0
p9,1,0.03168,4.615728,[47 13] ; [73 44],[40.6779661 19.3220339] ; [79.3220339 37.6779661],0
p3,1,0.032205,4.587572,[24 38] ; [28 91],[17.8121547 44.1878453] ; [34.1878453 84.8121547],0
b2,1,0.053917,3.71527,[ 3 25] ; [19 46],[ 6.62365591 21.37634409] ; [15.37634409 49.62365591],0
b3,1,0.053917,3.71527,[ 3 25] ; [19 46],[ 6.62365591 21.37634409] ; [15.37634409 49.62365591],0
p11,1,0.062457,3.47091,[48 14] ; [76 43],[42.47513812 19.52486188] ; [81.52486188 37.47513812],0
a3,1,0.115332,2.479594,[18 43] ; [49 69],[22.83240223 38.16759777] ; [44.16759777 73.83240223],0
p1,1,0.127297,2.325164,[ 6 54] ; [  5 114],[ 3.68715084 56.31284916] ; [  7.31284916 111.68715084],0
s8,1,0.142104,2.155023,[11 51] ; [ 12 107],[ 7.87845304 54.12154696] ; [ 15.12154696 103.87845304],0
b1,1,0.165032,1.927501,[19 43] ; [49 70],[23.29281768 38.70718232] ; [44.70718232 74.29281768],0
n6,1,0.165517,1.923088,[48 13] ; [82 37],[44.05555556 16.94444444] ; [85.94444444 33.05555556],0
d5,1,0.183173,1.771694,[39 23] ; [62 56],[34.78888889 27.21111111] ; [66.21111111 51.78888889],0
p12,1,0.18489,1.75787,[ 4 57] ; [  3 116],[ 2.37222222 58.62777778] ; [  4.62777778 114.37222222],0
v4,1,0.207951,1.585633,[55  6] ; [99 20],[52.18888889  8.81111111] ; [101.81111111  17.18888889],0
u3,1,0.208699,1.580431,[17 27] ; [35 34],[20.24778761 23.75221239] ; [31.75221239 37.24778761],0
u2,1,0.213289,1.548958,[18 26] ; [36 32],[21.21428571 22.78571429] ; [32.78571429 35.21428571],0
r2,1,0.225806,1.467089,[54  7] ; [97 22],[51.17222222  9.82777778] ; [99.82777778 19.17222222],0
r4,1,0.227041,1.459304,[48 14] ; [82 37],[44.53038674 17.46961326] ; [85.46961326 33.53038674],0
a7,1,0.237269,1.396748,[41 20] ; [68 49],[37.35393258 23.64606742] ; [71.64606742 45.35393258],0
a1,1,0.256188,1.28924,[ 1 61] ; [  6 113],[ 2.39779006 59.60220994] ; [  4.60220994 114.39779006],0
s5,1,0.279301,1.17049,[11 49] ; [ 14 100],[ 8.62068966 51.37931034] ; [16.37931034 97.62068966],0
n4,1,0.324173,0.972035,[37 24] ; [63 56],[33.88888889 27.11111111] ; [66.11111111 52.88888889],0
s6,1,0.365879,0.817612,[28 31] ; [48 71],[25.19101124 33.80898876] ; [50.80898876 68.19101124],0
r3,1,0.382903,0.76136,[55  7] ; [99 19],[53.04444444  8.95555556] ; [100.95555556  17.04444444],0
