Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,111.664982,[267  48] ; [108 146],[207.60105448 107.39894552] ; [167.39894552  86.60105448],1
p4,1,0.0,62.459783,[248  68] ; [121 138],[202.78956522 113.21043478] ; [166.21043478  92.78956522],1
p3,1,0.0,52.518093,[214 102] ; [ 97 162],[170.91478261 145.08521739] ; [140.08521739 118.91478261],1
p2,1,0.0,47.947936,[298  20] ; [188  71],[267.847487  50.152513] ; [218.152513  40.847487],1
p6,1,0.0,45.105554,[167 149] ; [ 65 193],[127.72125436 188.27874564] ; [104.27874564 153.72125436],1
p10,1,0.0,25.326965,[286  31] ; [192  66],[263.52347826  53.47652174] ; [214.47652174  43.52347826],1
p9,1,1e-06,24.298488,[287  29] ; [196  63],[265.44  50.56] ; [217.56  41.44],1
p5,1,1e-06,23.511063,[ 63 255] ; [ 15 241],[ 43.21254355 274.78745645] ; [ 34.78745645 221.21254355],1
p11,1,5e-06,21.008253,[279  39] ; [189  71],[257.48096886  60.51903114] ; [210.51903114  49.48096886],1
v1,1,0.000753,11.353652,[200 114] ; [125 127],[180.30035336 133.69964664] ; [144.69964664 107.30035336],1
r4,1,0.000808,11.222702,[312   6] ; [240  20],[303.69550173  14.30449827] ; [248.30449827  11.69550173],1
p1,1,0.001572,9.991802,[ 42 275] ; [ 14 245],[ 30.81944444 286.18055556] ; [ 25.18055556 233.81944444],0
n6,1,0.002853,8.899163,[291  26] ; [216  42],[279.51130435  37.48869565] ; [227.48869565  30.51130435],0
n5,1,0.003256,8.658206,[285  33] ; [209  49],[272.72916667  45.27083333] ; [221.27083333  36.72916667],0
s5,1,0.004527,8.05919,[127 179] ; [ 75 176],[110.97307002 195.02692998] ; [ 91.02692998 159.97307002],0
s8,1,0.0056,7.674579,[170 143] ; [111 149],[153.495637 159.504363] ; [127.504363 132.495637],0
v4,1,0.007386,7.176503,[311   6] ; [242  16],[304.87130435  12.12869565] ; [248.12869565   9.87130435],0
d1,1,0.015455,5.863831,[218 100] ; [153 107],[204.11418685 113.88581315] ; [166.88581315  93.11418685],0
b5,1,0.035364,4.427525,[173 145] ; [164  96],[185.4083045 132.5916955] ; [151.5916955 108.4083045],0
s1,1,0.041896,4.139389,[  8 308] ; [ 15 239],[ 12.75087719 303.24912281] ; [ 10.24912281 243.75087719],0
v3,1,0.045378,4.004534,[149 162] ; [ 97 149],[137.35368043 173.64631957] ; [108.64631957 137.35368043],0
