Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,47.519533,[27 59] ; [127  40],[52.34782609 33.65217391] ; [101.65217391  65.34782609],1
a6,1,0.0,31.870774,[34 52] ; [127  41],[54.51181102 31.48818898] ; [106.48818898  61.51181102],1
d5,1,1.7e-05,18.550573,[49 37] ; [138  30],[63.31496063 22.68503937] ; [123.68503937  44.31496063],1
r3,1,1.8e-05,18.409662,[62 24] ; [154  13],[73.4229249 12.5770751] ; [142.5770751  24.4229249],1
r4,1,7.9e-05,15.583991,[51 35] ; [138  30],[63.99212598 22.00787402] ; [125.00787402  42.99212598],1
b5,1,9.9e-05,15.148972,[40 46] ; [120  48],[54.17322835 31.82677165] ; [105.82677165  62.17322835],1
d4,1,0.00034,12.835372,[53 33] ; [138  30],[64.66929134 21.33070866] ; [126.33070866  41.66929134],1
a2,1,0.000999,10.829655,[ 5 81] ; [ 37 131],[14.22047244 71.77952756] ; [ 27.77952756 140.22047244],1
b1,1,0.001183,10.51679,[44 42] ; [ 51 117],[32.16535433 53.83464567] ; [ 62.83464567 105.16535433],0
r1,1,0.001802,9.740697,[46 40] ; [122  45],[57.10671937 28.89328063] ; [110.89328063  56.10671937],0
u1,1,0.002922,8.85534,[ 2 84] ; [ 24 144],[ 8.80314961 77.19685039] ; [ 17.19685039 150.80314961],0
d1,1,0.003592,8.479128,[30 56] ; [91 77],[40.96850394 45.03149606] ; [80.03149606 87.96850394],0
a5,1,0.00484,7.938264,[45 41] ; [118  50],[55.18897638 30.81102362] ; [107.81102362  60.18897638],0
a3,1,0.017006,5.695789,[45 41] ; [113  54],[53.70750988 32.29249012] ; [104.29249012  62.70750988],0
p10,1,0.019468,5.459002,[46 39] ; [114  51],[54.4 30.6] ; [105.6  59.4],0
p2,1,0.02142,5.292285,[49 36] ; [121  47],[57.11462451 27.88537549] ; [112.88537549  55.11462451],0
n5,1,0.022458,5.209912,[63 23] ; [98 69],[54.72727273 31.27272727] ; [106.27272727  60.72727273],0
r2,1,0.036135,4.390745,[64 19] ; [146  21],[69.72 13.28] ; [140.28  26.72],0
v4,1,0.039703,4.230524,[68 18] ; [149  19],[73.47244094 12.52755906] ; [143.52755906  24.47244094],0
u3,1,0.04723,3.937171,[14 27] ; [30 25],[18.79166667 22.20833333] ; [25.20833333 29.79166667],0
a8,1,0.120972,2.404685,[ 5 76] ; [ 20 138],[ 8.47280335 72.52719665] ; [ 16.52719665 141.47280335],0
p8,1,0.132643,2.261293,[25 61] ; [ 63 100],[30.3935743 55.6064257] ; [ 57.6064257 105.3935743],0
s4,1,0.132801,2.259456,[ 6 80] ; [ 22 144],[ 9.55555556 76.44444444] ; [ 18.44444444 147.55555556],0
b3,1,0.154217,2.030034,[21 29] ; [29 67],[17.12328767 32.87671233] ; [32.87671233 63.12328767],0
b2,1,0.154217,2.030034,[21 29] ; [29 67],[17.12328767 32.87671233] ; [32.87671233 63.12328767],0
p9,1,0.165145,1.926474,[52 31] ; [117  47],[56.78947368 26.21052632] ; [112.21052632  51.78947368],0
u2,1,0.182078,1.78058,[17 23] ; [31 24],[20.21052632 19.78947368] ; [27.78947368 27.21052632],0
s1,1,0.192732,1.69661,[ 4 82] ; [  3 163],[ 2.38888889 83.61111111] ; [  4.61111111 161.38888889],0
p11,1,0.193078,1.693975,[54 32] ; [119  49],[58.57480315 27.42519685] ; [114.42519685  53.57480315],0
s6,1,0.200726,1.637082,[26 59] ; [ 64 101],[30.6 54.4] ; [ 59.4 105.6],0
s8,1,0.233189,1.421304,[12 73] ; [ 34 134],[15.45454545 69.54545455] ; [ 30.54545455 137.45454545],0
v2,1,0.267701,1.22849,[33 50] ; [76 85],[37.07786885 45.92213115] ; [71.92213115 89.07786885],0
b4,1,0.272705,1.20309,[45 41] ; [100  68],[49.09448819 36.90551181] ; [95.90551181 72.09448819],0
n6,1,0.335409,0.9279,[60 25] ; [128  40],[63.16205534 21.83794466] ; [124.83794466  43.16205534],0
p4,1,0.343342,0.897914,[24 61] ; [ 57 110],[27.32142857 57.67857143] ; [ 53.67857143 113.32142857],0
v3,1,0.359973,0.837986,[20 63] ; [ 48 114],[23.03673469 59.96326531] ; [ 44.96326531 117.03673469],0
n1,1,0.41528,0.663633,[15 25] ; [15 36],[13.18681319 26.81318681] ; [16.81318681 34.18681319],0
n3,1,0.432957,0.614879,[21 17] ; [33 19],[22.8 15.2] ; [31.2 20.8],0
s7,1,0.50827,0.437627,[14 67] ; [ 34 129],[15.93442623 65.06557377] ; [ 32.06557377 130.93442623],0
p1,1,0.53688,0.381353,[ 4 82] ; [ 11 156],[ 5.09881423 80.90118577] ; [  9.90118577 157.09881423],0
n4,1,0.544977,0.366392,[53 33] ; [110  58],[55.18897638 30.81102362] ; [107.81102362  60.18897638],0
p12,1,0.621259,0.244102,[ 3 83] ; [  4 162],[ 2.38888889 83.61111111] ; [  4.61111111 161.38888889],0
s2,1,0.729628,0.119453,[11 74] ; [ 19 147],[10.15936255 74.84063745] ; [ 19.84063745 146.15936255],0
a4,1,0.731078,0.118124,[31 54] ; [ 65 103],[32.25296443 52.74703557] ; [ 63.74703557 104.25296443],0
v1,1,0.740099,0.11004,[31 55] ; [ 63 102],[32.20717131 53.79282869] ; [ 61.79282869 103.20717131],0
p7,1,0.745494,0.105357,[32 53] ; [ 66 100],[33.187251 51.812749] ; [ 64.812749 101.187251],0
n2,1,0.77868,0.078984,[25 15] ; [31 21],[24.34782609 15.65217391] ; [31.65217391 20.34782609],0
a1,1,0.85753,0.032227,[ 4 82] ; [  7 161],[ 3.72440945 82.27559055] ; [  7.27559055 160.72440945],0
d2,1,0.916774,0.01092,[36 49] ; [70 98],[35.61264822 49.38735178] ; [70.38735178 97.61264822],0
s5,1,0.941233,0.005435,[12 72] ; [ 24 140],[12.19354839 71.80645161] ; [ 23.80645161 140.19354839],0
p5,1,0.960632,0.002437,[ 4 82] ; [  8 159],[ 4.07905138 81.92094862] ; [  7.92094862 159.07905138],0
p6,1,0.965292,0.001893,[16 68] ; [ 32 134],[16.128 67.872] ; [ 31.872 134.128],0
u4,1,0.98458,0.000374,[ 1 85] ; [  2 166],[ 1.01574803 84.98425197] ; [  1.98425197 166.01574803],0
