Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.009343,6.756061,[10 46] ; [15 20],[15.38461538 40.61538462] ; [ 9.61538462 25.38461538],0
s6,1,0.011215,6.43092,[38 18] ; [31  3],[42.93333333 13.06666667] ; [26.06666667  7.93333333],0
s2,1,0.01716,5.679908,[33 23] ; [29  6],[38.15384615 17.84615385] ; [23.84615385 11.15384615],0
n2,1,0.084903,2.96846,[6 5] ; [12  2],[7.92 3.08] ; [10.08  3.92],0
u1,1,0.124483,2.359986,[ 1 55] ; [ 3 32],[ 2.46153846 53.53846154] ; [ 1.53846154 33.46153846],0
p5,1,0.127353,2.32448,[ 6 49] ; [ 8 27],[ 8.55555556 46.44444444] ; [ 5.44444444 29.55555556],0
p2,1,0.154415,2.028084,[45 11] ; [32  3],[47.38461538  8.61538462] ; [29.61538462  5.38461538],0
u2,1,0.173023,1.856556,[13 11] ; [10  3],[14.91891892  9.08108108] ; [8.08108108 4.91891892],0
b1,1,0.19293,1.695098,[18 38] ; [16 19],[20.92307692 35.07692308] ; [13.07692308 21.92307692],0
b4,1,0.209777,1.572967,[31 25] ; [24 11],[33.84615385 22.15384615] ; [21.15384615 13.84615385],0
p11,1,0.217327,1.521933,[42 14] ; [22 13],[39.38461538 16.61538462] ; [24.61538462 10.38461538],0
d1,1,0.22756,1.456048,[23 33] ; [10 25],[20.30769231 35.69230769] ; [12.69230769 22.30769231],0
n6,1,0.229832,1.441901,[46 10] ; [25 10],[43.69230769 12.30769231] ; [27.30769231  7.69230769],0
p6,1,0.258904,1.27461,[20 33] ; [17 17],[22.54022989 30.45977011] ; [14.45977011 19.54022989],0
s3,1,0.27536,1.189848,[39 17] ; [28  7],[41.23076923 14.76923077] ; [25.76923077  9.23076923],0
b2,1,0.285055,1.142831,[13 23] ; [ 5 17],[11.17241379 24.82758621] ; [ 6.82758621 15.17241379],0
b3,1,0.285055,1.142831,[13 23] ; [ 5 17],[11.17241379 24.82758621] ; [ 6.82758621 15.17241379],0
s1,1,0.301803,1.06621,[ 2 53] ; [ 3 31],[ 3.08988764 51.91011236] ; [ 1.91011236 32.08988764],0
n1,1,0.301941,1.065601,[4 7] ; [8 6],[5.28 5.72] ; [6.72 7.28],0
d4,1,0.325364,0.967262,[45 11] ; [25 10],[43.07692308 12.92307692] ; [26.92307692  8.07692308],0
b5,1,0.370505,0.801971,[31 25] ; [16 19],[28.92307692 27.07692308] ; [18.07692308 16.92307692],0
v4,1,0.372651,0.794805,[51  4] ; [34  1],[51.94444444  3.05555556] ; [33.05555556  1.94444444],0
n5,1,0.386974,0.74843,[43 13] ; [24 11],[41.23076923 14.76923077] ; [25.76923077  9.23076923],0
d5,1,0.435525,0.608045,[39 17] ; [27  8],[40.61538462 15.38461538] ; [25.38461538  9.61538462],0
s8,1,0.437687,0.60234,[35 21] ; [19 16],[33.23076923 22.76923077] ; [20.76923077 14.23076923],0
a7,1,0.445057,0.58321,[38 18] ; [21 14],[36.30769231 19.69230769] ; [22.69230769 12.30769231],0
n4,1,0.446078,0.580599,[41 15] ; [23 12],[39.38461538 16.61538462] ; [24.61538462 10.38461538],0
p10,1,0.461801,0.541527,[42 13] ; [29  6],[43.38888889 11.61111111] ; [27.61111111  7.38888889],0
d2,1,0.488146,0.48061,[13 43] ; [ 6 29],[11.69230769 44.30769231] ; [ 7.30769231 27.69230769],0
p1,1,0.53805,0.379167,[ 9 47] ; [ 4 31],[ 8. 48.] ; [ 5. 30.],0
a3,1,0.541632,0.372524,[31 24] ; [22 13],[32.38888889 22.61111111] ; [20.61111111 14.38888889],0
n3,1,0.561471,0.337163,[5 6] ; [8 6],[5.72 5.28] ; [7.28 6.72],0
v3,1,0.565599,0.330102,[24 30] ; [13 21],[22.70454545 31.29545455] ; [14.29545455 19.70454545],0
u3,1,0.575731,0.313187,[15 10] ; [9 4],[15.78947368  9.21052632] ; [8.21052632 4.78947368],0
a6,1,0.617975,0.248724,[27 29] ; [15 20],[25.84615385 30.15384615] ; [16.15384615 18.84615385],0
p12,1,0.627589,0.235345,[ 2 54] ; [ 2 33],[ 2.46153846 53.53846154] ; [ 1.53846154 33.46153846],0
p7,1,0.639271,0.219697,[37 17] ; [21 12],[36. 18.] ; [22. 11.],0
p3,1,0.663264,0.189583,[25 31] ; [14 21],[24. 32.] ; [15. 20.],0
p4,1,0.663264,0.189583,[31 25] ; [21 14],[32. 24.] ; [20. 15.],0
v2,1,0.763143,0.090815,[24 30] ; [14 20],[23.31818182 30.68181818] ; [14.68181818 19.31818182],0
r3,1,0.772625,0.083488,[51  4] ; [33  2],[51.33333333  3.66666667] ; [32.66666667  2.33333333],0
a4,1,0.798604,0.065103,[10 46] ; [ 7 28],[10.46153846 45.53846154] ; [ 6.53846154 28.46153846],0
d3,1,0.811505,0.056875,[35 21] ; [21 14],[34.46153846 21.53846154] ; [21.53846154 13.46153846],0
r4,1,0.818329,0.05276,[47  9] ; [30  5],[47.38461538  8.61538462] ; [29.61538462  5.38461538],0
