Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,27.714956,[65  6] ; [ 5 10],[57.79069767 13.20930233] ; [12.20930233  2.79069767],1
d1,1,0.0,25.865051,[54 17] ; [ 1 14],[45.40697674 25.59302326] ; [9.59302326 5.40697674],1
d3,1,0.000117,14.836368,[55 16] ; [ 4 11],[48.70930233 22.29069767] ; [10.29069767  4.70930233],1
a3,1,0.000451,12.310068,[64  7] ; [8 7],[59.44186047 11.55813953] ; [12.55813953  2.44186047],1
d2,1,0.004631,8.018162,[47 24] ; [ 4 11],[42.10465116 28.89534884] ; [8.89534884 6.10465116],0
p10,1,0.011669,6.360544,[66  4] ; [11  4],[63.41176471  6.58823529] ; [13.58823529  1.41176471],0
a4,1,0.018186,5.578134,[38 33] ; [ 3 12],[33.84883721 37.15116279] ; [7.15116279 7.84883721],0
p9,1,0.02163,5.275291,[68  3] ; [11  3],[65.98823529  5.01176471] ; [13.01176471  0.98823529],0
a5,1,0.030346,4.689557,[60 11] ; [9 6],[56.96511628 14.03488372] ; [12.03488372  2.96511628],0
p2,1,0.04553,3.998883,[65  6] ; [11  4],[62.74418605  8.25581395] ; [13.25581395  1.74418605],0
s8,1,0.05118,3.802382,[49 21] ; [6 8],[45.83333333 24.16666667] ; [9.16666667 4.83333333],0
s1,1,0.064478,3.418272,[ 4 67] ; [ 3 12],[ 5.77906977 65.22093023] ; [ 1.22093023 13.77906977],0
a2,1,0.11298,2.51204,[18 53] ; [ 1 14],[15.68604651 55.31395349] ; [ 3.31395349 11.68604651],0
p8,1,0.145182,2.122157,[58 13] ; [9 5],[55.96470588 15.03529412] ; [11.03529412  2.96470588],0
p1,1,0.199362,1.647045,[21 50] ; [7 8],[23.11627907 47.88372093] ; [ 4.88372093 10.11627907],0
v1,1,0.226792,1.46087,[48 21] ; [8 7],[46. 23.] ; [10.  5.],0
u3,1,0.280087,1.166667,[5 2] ; [3 4],[4. 3.] ; [4. 3.],0
s5,1,0.313442,1.016117,[42 23] ; [11  3],[43.60759494 21.39240506] ; [9.39240506 4.60759494],0
v2,1,0.333352,0.935833,[41 27] ; [7 8],[39.3253012 28.6746988] ; [8.6746988 6.3253012],0
s2,1,0.342924,0.899471,[42 28] ; [7 8],[40.35294118 29.64705882] ; [8.64705882 6.35294118],0
a6,1,0.345769,0.888926,[47 24] ; [8 7],[45.40697674 25.59302326] ; [9.59302326 5.40697674],0
p4,1,0.36944,0.805546,[62  8] ; [12  3],[60.94117647  9.05882353] ; [13.05882353  1.94117647],0
p7,1,0.422815,0.642479,[56 12] ; [11  4],[54.89156627 13.10843373] ; [12.10843373  2.89156627],0
r3,1,0.428673,0.626417,[65  5] ; [13  2],[64.23529412  5.76470588] ; [13.76470588  1.23529412],0
b2,1,0.471111,0.519369,[27 29] ; [4 7],[25.91044776 30.08955224] ; [5.08955224 5.91044776],0
b3,1,0.471111,0.519369,[27 29] ; [4 7],[25.91044776 30.08955224] ; [5.08955224 5.91044776],0
s3,1,0.472505,0.516113,[47 23] ; [8 6],[45.83333333 24.16666667] ; [9.16666667 4.83333333],0
p12,1,0.516034,0.421812,[20 51] ; [ 3 12],[18.98837209 52.01162791] ; [ 4.01162791 10.98837209],0
p11,1,0.561145,0.337725,[61 10] ; [12  3],[60.26744186 10.73255814] ; [12.73255814  2.26744186],0
b5,1,0.577887,0.309663,[34 37] ; [6 9],[33.02325581 37.97674419] ; [6.97674419 8.02325581],0
a1,1,0.596849,0.279774,[ 8 63] ; [ 1 14],[ 7.43023256 63.56976744] ; [ 1.56976744 13.43023256],0
a7,1,0.606086,0.265914,[52 19] ; [10  5],[51.18604651 19.81395349] ; [10.81395349  4.18604651],0
s7,1,0.663626,0.189148,[51 17] ; [9 4],[50.37037037 17.62962963] ; [9.62962963 3.37037037],0
n4,1,0.698921,0.149597,[64  7] ; [14  1],[64.39534884  6.60465116] ; [13.60465116  1.39534884],0
n5,1,0.698921,0.149597,[64  7] ; [14  1],[64.39534884  6.60465116] ; [13.60465116  1.39534884],0
b1,1,0.719372,0.129096,[32 39] ; [6 9],[31.37209302 39.62790698] ; [6.62790698 8.37209302],0
p6,1,0.780888,0.077374,[44 26] ; [10  5],[44.47058824 25.52941176] ; [9.52941176 5.47058824],0
a8,1,0.797367,0.065924,[12 53] ; [ 3 11],[12.34177215 52.65822785] ; [ 2.65822785 11.34177215],0
r2,1,0.876566,0.024126,[67  4] ; [14  1],[66.87209302  4.12790698] ; [14.12790698  0.87209302],0
v3,1,0.89886,0.016155,[42 26] ; [9 6],[41.78313253 26.21686747] ; [9.21686747 5.78313253],0
s4,1,0.907412,0.013527,[10 59] ; [ 2 13],[ 9.85714286 59.14285714] ; [ 2.14285714 12.85714286],0
p3,1,0.922354,0.0095,[56 15] ; [12  3],[56.13953488 14.86046512] ; [11.86046512  3.13953488],0
b4,1,0.951731,0.003664,[42 29] ; [9 6],[42.10465116 28.89534884] ; [8.89534884 6.10465116],0
s6,1,0.982924,0.000458,[56 10] ; [11  2],[55.97468354 10.02531646] ; [11.02531646  1.97468354],0
u2,1,1.0,0.0,[3 4] ; [3 4],[3. 4.] ; [3. 4.],0
