Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4e-06,21.333139,[131   2] ; [52 13],[122.92424242  10.07575758] ; [60.07575758  4.92424242],1
v4,1,7e-06,20.27181,[129   4] ; [50 15],[120.23737374  12.76262626] ; [58.76262626  6.23737374],1
p8,1,1.4e-05,18.91431,[56 73] ; [ 8 57],[42.55670103 86.44329897] ; [21.44329897 43.55670103],1
p11,1,2.3e-05,17.958498,[104  30] ; [31 34],[90.90452261 43.09547739] ; [44.09547739 20.90452261],1
p7,1,2.9e-05,17.509251,[71 56] ; [15 48],[57.48421053 69.51578947] ; [28.51578947 34.48421053],1
r4,1,3.3e-05,17.254993,[122  12] ; [44 21],[111.77889447  22.22110553] ; [54.22110553 10.77889447],1
p9,1,0.000376,12.646344,[109  22] ; [37 25],[99.0984456 31.9015544] ; [46.9015544 15.0984456],1
b1,1,0.000976,10.872447,[38 96] ; [34 31],[48.48241206 85.51758794] ; [23.51758794 41.48241206],1
n6,1,0.001843,9.699595,[112  21] ; [42 23],[103.44444444  29.55555556] ; [50.55555556 14.44444444],0
p10,1,0.001956,9.590603,[105  28] ; [37 27],[95.8680203 37.1319797] ; [46.1319797 17.8680203],0
a1,1,0.002312,9.283773,[  1 133] ; [ 6 59],[  4.71356784 129.28643216] ; [ 2.28643216 62.71356784],0
r1,1,0.004859,7.931152,[113  20] ; [44 21],[105.45959596  27.54040404] ; [51.54040404 13.45959596],0
r2,1,0.021436,5.291011,[130   3] ; [56  6],[126.86153846   6.13846154] ; [59.13846154  2.86153846],0
u4,1,0.022262,5.225225,[  1 133] ; [ 4 61],[  3.36683417 130.63316583] ; [ 1.63316583 63.36683417],0
s1,1,0.024231,5.078008,[  1 130] ; [ 4 61],[  3.34183673 127.65816327] ; [ 1.65816327 63.34183673],0
s5,1,0.02542,4.995022,[41 88] ; [10 51],[34.62631579 94.37368421] ; [16.37368421 44.62631579],0
v1,1,0.037406,4.331817,[61 69] ; [20 44],[54.27835052 75.72164948] ; [26.72164948 37.27835052],0
s6,1,0.054888,3.68547,[77 55] ; [28 36],[70.71428571 61.28571429] ; [34.28571429 29.71428571],0
p6,1,0.063734,3.437437,[ 26 105] ; [ 6 58],[ 21.4974359 109.5025641] ; [10.5025641 53.4974359],0
s2,1,0.07105,3.258606,[63 70] ; [22 43],[57.0959596 75.9040404] ; [27.9040404 37.0959596],0
b5,1,0.080599,3.052785,[95 39] ; [38 27],[89.55778894 44.44221106] ; [43.44221106 21.55778894],0
n3,1,0.087176,2.925772,[27 10] ; [17 15],[23.5942029 13.4057971] ; [20.4057971 11.5942029],0
n2,1,0.095193,2.784291,[26 10] ; [18 16],[22.62857143 13.37142857] ; [21.37142857 12.62857143],0
v2,1,0.117234,2.453886,[78 51] ; [29 31],[73.03174603 55.96825397] ; [33.96825397 26.03174603],0
a8,1,0.118055,2.442942,[19 98] ; [ 5 58],[ 15.6 101.4] ; [ 8.4 54.6],0
n1,1,0.139296,2.185714,[11 23] ; [17 17],[14. 20.] ; [14. 20.],0
d2,1,0.175665,1.833918,[91 42] ; [49 14],[95. 38.] ; [45. 18.],0
a4,1,0.201832,1.629071,[73 61] ; [41 23],[77.15151515 56.84848485] ; [36.84848485 27.15151515],0
s7,1,0.237498,1.395382,[51 79] ; [29 31],[54.73684211 75.26315789] ; [25.26315789 34.73684211],0
