Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000377,12.641975,[19 17] ; [89 19],[27.  9.] ; [81. 27.],1
b1,1,0.002744,8.970247,[22 16] ; [34 77],[14.28187919 23.71812081] ; [41.71812081 69.28187919],0
p9,1,0.005005,7.877703,[22 14] ; [91 18],[28.05517241  7.94482759] ; [84.94482759 24.05517241],0
a4,1,0.019928,5.418171,[ 3 34] ; [29 81],[ 8.05442177 28.94557823] ; [23.94557823 86.05442177],0
v4,1,0.022717,5.190006,[32  6] ; [105   5],[35.17567568  2.82432432] ; [101.82432432   8.17567568],0
a6,1,0.039859,4.223862,[16 22] ; [68 43],[21.42281879 16.57718121] ; [62.57718121 48.42281879],0
n3,1,0.040299,4.205267,[6 4] ; [25  3],[8.15789474 1.84210526] ; [22.84210526  5.15789474],0
b4,1,0.052559,3.757901,[15 23] ; [64 47],[20.14765101 17.85234899] ; [58.85234899 52.14765101],0
p3,1,0.055244,3.674719,[12 26] ; [54 55],[17.06122449 20.93877551] ; [48.93877551 60.06122449],0
r1,1,0.059921,3.539558,[20 17] ; [78 32],[24.66666667 12.33333333] ; [73.33333333 36.66666667],0
r3,1,0.079701,3.070995,[31  7] ; [101   9],[33.89189189  4.10810811] ; [98.10810811 11.89189189],0
d2,1,0.081746,3.029832,[ 5 33] ; [30 81],[ 8.9261745 29.0738255] ; [26.0738255 84.9261745],0
p8,1,0.125526,2.346978,[13 25] ; [52 55],[17.03448276 20.96551724] ; [47.96551724 59.03448276],0
p2,1,0.151414,2.057946,[26 12] ; [87 22],[29.21088435  8.78911565] ; [83.78911565 25.21088435],0
a8,1,0.154918,2.02314,[ 6 28] ; [ 9 93],[ 3.75 30.25] ; [11.25 90.75],0
r2,1,0.174377,1.844904,[32  6] ; [102   9],[34.17449664  3.82550336] ; [99.82550336 11.17449664],0
p12,1,0.190626,1.712773,[ 1 37] ; [ 10 100],[ 2.82432432 35.17567568] ; [  8.17567568 101.82432432],0
n5,1,0.193838,1.688203,[27 11] ; [90 21],[29.83892617  8.16107383] ; [87.16107383 23.83892617],0
a2,1,0.194409,1.683885,[ 1 37] ; [ 10 101],[ 2.80536913 35.19463087] ; [  8.19463087 102.80536913],0
n4,1,0.227975,1.453453,[25 12] ; [86 25],[27.75  9.25] ; [83.25 27.75],0
b2,1,0.239054,1.386166,[ 3 18] ; [19 52],[ 5.02173913 15.97826087] ; [16.97826087 54.02173913],0
b3,1,0.239054,1.386166,[ 3 18] ; [19 52],[ 5.02173913 15.97826087] ; [16.97826087 54.02173913],0
s6,1,0.258331,1.277677,[18 18] ; [65 42],[20.8951049 15.1048951] ; [62.1048951 44.8951049],0
v2,1,0.258728,1.275551,[13 25] ; [47 58],[15.94405594 22.05594406] ; [44.05594406 60.94405594],0
r4,1,0.266895,1.232638,[30  8] ; [96 15],[32.13422819  5.86577181] ; [93.86577181 17.13422819],0
s3,1,0.275594,1.188688,[22 15] ; [52 54],[19.14685315 17.85314685] ; [54.85314685 51.14685315],0
u2,1,0.287753,1.130105,[ 6 15] ; [23 32],[ 8.01315789 12.98684211] ; [20.98684211 34.01315789],0
d3,1,0.406172,0.689977,[13 24] ; [31 80],[11. 26.] ; [33. 78.],0
p5,1,0.411357,0.674874,[ 3 35] ; [14 95],[ 4.39455782 33.60544218] ; [12.60544218 96.39455782],0
s2,1,0.425308,0.635602,[17 21] ; [40 67],[14.93793103 23.06206897] ; [42.06206897 64.93793103],0
