Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,95.591498,[144   3] ; [21 34],[120.07425743  26.92574257] ; [44.92574257 10.07425743],1
p11,1,6e-06,20.631363,[117  31] ; [26 30],[103.74509804  44.25490196] ; [39.25490196 16.74509804],1
p2,1,0.000441,12.349174,[114  34] ; [29 27],[103.74509804  44.25490196] ; [39.25490196 16.74509804],1
v4,1,0.001374,10.240715,[143   5] ; [47  9],[137.84313725  10.15686275] ; [52.15686275  3.84313725],0
r4,1,0.00257,9.089783,[138  10] ; [44 12],[132.03921569  15.96078431] ; [49.96078431  6.03921569],0
a6,1,0.002665,9.02405,[107  41] ; [28 28],[97.94117647 50.05882353] ; [37.05882353 18.94117647],0
n5,1,0.004673,8.002003,[112  36] ; [31 25],[103.74509804  44.25490196] ; [39.25490196 16.74509804],0
p12,1,0.010809,6.496397,[ 21 127] ; [ 1 55],[ 15.96078431 132.03921569] ; [ 6.03921569 49.96078431],0
b1,1,0.011039,6.459048,[ 41 107] ; [26 30],[48.60784314 99.39215686] ; [18.39215686 37.60784314],0
s1,1,0.042308,4.122852,[  5 140] ; [ 6 50],[  7.93532338 137.06467662] ; [ 3.06467662 52.93532338],0
n6,1,0.049719,3.850912,[130  18] ; [43 13],[125.50980392  22.49019608] ; [47.49019608  8.50980392],0
n4,1,0.051158,3.803095,[115  33] ; [36 20],[109.54901961  38.45098039] ; [41.45098039 14.54901961],0
a1,1,0.073241,3.208839,[  3 145] ; [ 4 52],[  5.07843137 142.92156863] ; [ 1.92156863 54.07843137],0
n2,1,0.088188,2.907133,[33  8] ; [14  9],[30.109375 10.890625] ; [16.890625  6.109375],0
a5,1,0.156051,2.012085,[110  38] ; [36 20],[105.92156863  42.07843137] ; [40.07843137 15.92156863],0
d2,1,0.158549,1.988009,[73 74] ; [34 22],[77.48275862 69.51724138] ; [29.51724138 26.48275862],0
s5,1,0.162823,1.947809,[53 87] ; [15 40],[48.82051282 91.17948718] ; [19.17948718 35.82051282],0
s8,1,0.204848,1.607471,[75 72] ; [23 33],[70.96551724 76.03448276] ; [27.03448276 28.96551724],0
u4,1,0.20901,1.578273,[  3 145] ; [ 3 53],[  4.35294118 143.64705882] ; [ 1.64705882 54.35294118],0
v2,1,0.244608,1.353837,[78 60] ; [26 29],[74.3626943 63.6373057] ; [29.6373057 25.3626943],0
r3,1,0.257855,1.280235,[139   9] ; [50  6],[137.11764706  10.88235294] ; [51.88235294  4.11764706],0
p4,1,0.26536,1.240578,[79 69] ; [25 31],[75.45098039 72.54901961] ; [28.54901961 27.45098039],0
u3,1,0.27302,1.20151,[27 20] ; [15  6],[29.02941176 17.97058824] ; [12.97058824  8.02941176],0
s2,1,0.319676,0.990273,[96 50] ; [32 23],[92.97512438 53.02487562] ; [35.02487562 19.97512438],0
s4,1,0.329178,0.952128,[ 28 118] ; [14 41],[ 30.50746269 115.49253731] ; [11.49253731 43.50746269],0
s3,1,0.3416,0.904416,[99 46] ; [33 21],[96.18090452 48.81909548] ; [35.81909548 18.18090452],0
p3,1,0.352916,0.862944,[58 90] ; [18 38],[55.1372549 92.8627451] ; [20.8627451 35.1372549],0
p8,1,0.355613,0.853327,[ 38 109] ; [11 45],[ 35.48275862 111.51724138] ; [13.51724138 42.48275862],0
r2,1,0.357908,0.845219,[140   8] ; [51  5],[138.56862745   9.43137255] ; [52.43137255  3.56862745],0
p5,1,0.403393,0.69819,[ 13 133] ; [ 3 53],[ 11.56435644 134.43564356] ; [ 4.43564356 51.56435644],0
a7,1,0.439696,0.597077,[106  42] ; [37 19],[103.74509804  44.25490196] ; [39.25490196 16.74509804],0
v1,1,0.456302,0.554951,[75 66] ; [26 29],[72.65816327 68.34183673] ; [28.34183673 26.65816327],0
d3,1,0.463046,0.538522,[98 50] ; [34 22],[95.76470588 52.23529412] ; [36.23529412 19.76470588],0
a8,1,0.49819,0.458789,[ 12 123] ; [ 6 43],[ 13.20652174 121.79347826] ; [ 4.79347826 44.20652174],0
v3,1,0.498505,0.458119,[54 86] ; [18 36],[51.95876289 88.04123711] ; [20.04123711 33.95876289],0
a3,1,0.535005,0.384876,[101  47] ; [35 20],[99.15270936 48.84729064] ; [36.84729064 18.15270936],0
p1,1,0.558099,0.343007,[ 12 136] ; [ 6 50],[ 13.05882353 134.94117647] ; [ 4.94117647 51.05882353],0
u2,1,0.608789,0.261941,[29 18] ; [11  9],[28.05970149 18.94029851] ; [11.94029851  8.05970149],0
s7,1,0.659175,0.194528,[76 66] ; [27 27],[74.62244898 67.37755102] ; [28.37755102 25.62244898],0
r1,1,0.661869,0.191261,[117  30] ; [43 13],[115.86206897  31.13793103] ; [44.13793103 11.86206897],0
p6,1,0.701884,0.146519,[ 27 120] ; [ 9 47],[ 26.06896552 120.93103448] ; [ 9.93103448 46.06896552],0
u1,1,0.731381,0.117847,[ 26 122] ; [11 45],[ 26.84313725 121.15686275] ; [10.15686275 45.84313725],0
b2,1,0.747051,0.104026,[28 49] ; [13 26],[27.21551724 49.78448276] ; [13.78448276 25.21551724],0
b3,1,0.747051,0.104026,[28 49] ; [13 26],[27.21551724 49.78448276] ; [13.78448276 25.21551724],0
n1,1,0.76223,0.091539,[18 23] ; [11 12],[18.578125 22.421875] ; [10.421875 12.578125],0
d4,1,0.77051,0.085093,[119  29] ; [44 12],[118.25490196  29.74509804] ; [44.74509804 11.25490196],0
