Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.00551,7.703804,[ 6 17] ; [9 3],[ 9.85714286 13.14285714] ; [5.14285714 6.85714286],0
n4,1,0.011999,6.310963,[16  7] ; [3 9],[12.48571429 10.51428571] ; [6.51428571 5.48571429],0
a6,1,0.012712,6.208762,[14  9] ; [ 2 10],[10.51428571 12.48571429] ; [5.48571429 6.51428571],0
p7,1,0.012866,6.1875,[ 3 19] ; [6 5],[ 6. 16.] ; [3. 8.],0
p11,1,0.02063,5.35779,[ 2 21] ; [5 7],[ 4.6 18.4] ; [2.4 9.6],0
a5,1,0.023723,5.114734,[13 10] ; [ 2 10],[ 9.85714286 13.14285714] ; [5.14285714 6.85714286],0
p9,1,0.025718,4.974892,[ 6 16] ; [8 4],[ 9.05882353 12.94117647] ; [4.94117647 7.05882353],0
d2,1,0.041819,4.142512,[12 11] ; [ 2 10],[ 9.2 13.8] ; [4.8 7.2],0
n1,1,0.0455,4.0,[8 4] ; [1 5],[6. 6.] ; [3. 3.],0
d1,1,0.055571,3.664855,[ 9 14] ; [ 1 11],[ 6.57142857 16.42857143] ; [3.42857143 8.57142857],0
u3,1,0.067278,3.348214,[1 7] ; [4 3],[2.66666667 5.33333333] ; [2.33333333 4.66666667],0
s5,1,0.068331,3.322668,[ 1 22] ; [3 9],[ 2.62857143 20.37142857] ; [ 1.37142857 10.62857143],0
p4,1,0.068331,3.322668,[ 1 22] ; [3 9],[ 2.62857143 20.37142857] ; [ 1.37142857 10.62857143],0
u2,1,0.07215,3.233418,[2 6] ; [5 2],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
v2,1,0.076885,3.129545,[ 1 21] ; [3 9],[ 2.58823529 19.41176471] ; [ 1.41176471 10.58823529],0
p10,1,0.104277,2.638879,[ 5 17] ; [6 6],[ 7.11764706 14.88235294] ; [3.88235294 8.11764706],0
b5,1,0.109781,2.557367,[ 7 16] ; [7 5],[ 9.2 13.8] ; [4.8 7.2],0
d5,1,0.121827,2.393672,[14  9] ; [4 8],[11.82857143 11.17142857] ; [6.17142857 5.82857143],0
a4,1,0.123077,2.377717,[12 11] ; [3 9],[ 9.85714286 13.14285714] ; [5.14285714 6.85714286],0
a3,1,0.133288,2.253788,[15  7] ; [5 7],[12.94117647  9.05882353] ; [7.05882353 4.94117647],0
v1,1,0.157152,2.001418,[ 6 17] ; [6 6],[ 7.88571429 15.11428571] ; [4.11428571 7.88571429],0
n3,1,0.179712,1.8,[4 8] ; [4 2],[5.33333333 6.66666667] ; [2.66666667 3.33333333],0
n5,1,0.181423,1.78593,[15  8] ; [5 7],[13.14285714  9.85714286] ; [6.85714286 5.14285714],0
s4,1,0.190732,1.711957,[ 2 21] ; [3 9],[ 3.28571429 19.71428571] ; [ 1.71428571 10.28571429],0
s6,1,0.190732,1.711957,[ 2 21] ; [3 9],[ 3.28571429 19.71428571] ; [ 1.71428571 10.28571429],0
a7,1,0.192622,1.697452,[13 10] ; [4 8],[11.17142857 11.82857143] ; [5.82857143 6.17142857],0
v3,1,0.212628,1.553442,[ 6 17] ; [ 1 11],[ 4.6 18.4] ; [2.4 9.6],0
s8,1,0.21656,1.527023,[ 1 22] ; [ 2 10],[ 1.97142857 21.02857143] ; [ 1.02857143 10.97142857],0
s2,1,0.21656,1.527023,[ 1 22] ; [ 2 10],[ 1.97142857 21.02857143] ; [ 1.02857143 10.97142857],0
r1,1,0.26012,1.268116,[ 8 15] ; [ 2 10],[ 6.57142857 16.42857143] ; [3.42857143 8.57142857],0
r2,1,0.297156,1.086913,[15  7] ; [6 6],[13.58823529  8.41176471] ; [7.41176471 4.58823529],0
b2,1,0.314065,1.013503,[9 8] ; [1 3],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
b3,1,0.314065,1.013503,[9 8] ; [1 3],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
b1,1,0.403173,0.698842,[14  9] ; [9 3],[15.11428571  7.88571429] ; [7.88571429 4.11428571],0
d3,1,0.410854,0.676329,[11 12] ; [4 8],[ 9.85714286 13.14285714] ; [5.14285714 6.85714286],0
p5,1,0.653729,0.201231,[ 1 21] ; [ 1 11],[ 1.29411765 20.70588235] ; [ 0.70588235 11.29411765],0
s3,1,0.676701,0.173864,[ 7 15] ; [3 9],[ 6.47058824 15.52941176] ; [3.52941176 8.47058824],0
s7,1,0.685939,0.163516,[ 3 18] ; [2 8],[ 3.38709677 17.61290323] ; [1.61290323 8.38709677],0
b4,1,0.728434,0.120554,[12 11] ; [7 5],[12.48571429 10.51428571] ; [6.51428571 5.48571429],0
n2,1,0.737316,0.1125,[5 7] ; [3 3],[5.33333333 6.66666667] ; [2.66666667 3.33333333],0
p8,1,0.811555,0.056844,[ 3 19] ; [ 2 10],[ 3.23529412 18.76470588] ; [ 1.76470588 10.23529412],0
d4,1,0.902785,0.014919,[12 11] ; [6 6],[11.82857143 11.17142857] ; [6.17142857 5.82857143],0
p3,1,0.956941,0.002915,[ 4 19] ; [ 2 10],[ 3.94285714 19.05714286] ; [2.05714286 9.94285714],0
