Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.575541,[71  6] ; [27 21],[60.368 16.632] ; [37.632 10.368],1
p9,1,5.9e-05,16.127657,[63 14] ; [20 23],[53.25833333 23.74166667] ; [29.74166667 13.25833333],1
p10,1,0.000153,14.336704,[56 20] ; [18 28],[46.09836066 29.90163934] ; [27.90163934 18.09836066],1
p7,1,0.000648,11.633861,[41 35] ; [11 37],[31.87096774 44.12903226] ; [20.12903226 27.87096774],1
r3,1,0.000659,11.602339,[65 11] ; [28 20],[57. 19.] ; [36. 12.],1
p4,1,0.001318,10.317527,[40 37] ; [11 37],[31.416 45.584] ; [19.584 28.416],0
p3,1,0.003713,8.419277,[32 45] ; [ 8 40],[24.64 52.36] ; [15.36 32.64],0
r4,1,0.00408,8.247939,[46 31] ; [16 32],[38.192 38.808] ; [23.808 24.192],0
p11,1,0.00515,7.825855,[56 21] ; [23 25],[48.664 28.336] ; [30.336 17.664],0
p6,1,0.012913,6.181014,[27 49] ; [ 7 40],[21.00813008 54.99186992] ; [12.99186992 34.00813008],0
a1,1,0.032186,4.588539,[ 3 74] ; [ 7 41],[ 6.16 70.84] ; [ 3.84 44.16],0
s6,1,0.052491,3.760048,[32 44] ; [12 36],[26.96774194 49.03225806] ; [17.03225806 30.96774194],0
p8,1,0.055294,3.673198,[34 43] ; [13 35],[28.952 48.048] ; [18.048 29.952],0
a7,1,0.068771,3.312111,[49 27] ; [23 25],[44.12903226 31.87096774] ; [27.87096774 20.12903226],0
n6,1,0.069249,3.300728,[62 15] ; [31 16],[57.75 19.25] ; [35.25 11.75],0
s7,1,0.076366,3.140603,[20 52] ; [ 6 38],[16.13793103 55.86206897] ; [ 9.86206897 34.13793103],0
d2,1,0.077253,3.121766,[23 54] ; [21 25],[27.54471545 49.45528455] ; [16.45528455 29.54471545],0
d5,1,0.091614,2.845777,[54 22] ; [27 21],[49.64516129 26.35483871] ; [31.35483871 16.64516129],0
s5,1,0.094136,2.802176,[15 61] ; [ 4 43],[11.7398374 64.2601626] ; [ 7.2601626 39.7398374],0
n3,1,0.128335,2.312534,[20  9] ; [10 11],[17.4 11.6] ; [12.6  8.4],0
p1,1,0.135374,2.229773,[ 5 72] ; [ 7 41],[ 7.392 69.608] ; [ 4.608 43.392],0
u2,1,0.20939,1.57564,[17 19] ; [ 6 14],[14.78571429 21.21428571] ; [ 8.21428571 11.78571429],0
v1,1,0.247099,1.339634,[27 49] ; [12 35],[24.09756098 51.90243902] ; [14.90243902 32.09756098],0
a2,1,0.24895,1.329188,[ 5 72] ; [ 6 42],[ 6.776 70.224] ; [ 4.224 43.776],0
u1,1,0.293992,1.101249,[ 3 74] ; [ 4 44],[ 4.312 72.688] ; [ 2.688 45.312],0
s2,1,0.300822,1.070545,[17 60] ; [ 7 41],[14.784 62.216] ; [ 9.216 38.784],0
s4,1,0.309976,1.030777,[15 62] ; [ 6 42],[12.936 64.064] ; [ 8.064 39.936],0
p5,1,0.315466,1.007652,[ 9 68] ; [ 3 45],[ 7.392 69.608] ; [ 4.608 43.392],0
a5,1,0.343261,0.898214,[35 42] ; [26 22],[37.576 39.424] ; [23.424 24.576],0
a8,1,0.364498,0.822338,[ 6 64] ; [ 2 45],[ 4.78632479 65.21367521] ; [ 3.21367521 43.78632479],0
v3,1,0.372084,0.796693,[17 60] ; [14 34],[19.096 57.904] ; [11.904 36.096],0
a6,1,0.402126,0.701959,[39 38] ; [28 20],[41.272 35.728] ; [25.728 22.272],0
s8,1,0.412354,0.672004,[12 65] ; [ 5 43],[10.472 66.528] ; [ 6.528 41.472],0
d4,1,0.417843,0.656375,[52 25] ; [29 19],[49.896 27.104] ; [31.104 16.896],0
a3,1,0.485726,0.48598,[40 37] ; [28 20],[41.888 35.112] ; [26.112 21.888],0
b5,1,0.499229,0.456575,[48 29] ; [27 21],[46.2 30.8] ; [28.8 19.2],0
v2,1,0.502262,0.450154,[28 49] ; [14 32],[26.29268293 50.70731707] ; [15.70731707 30.29268293],0
d1,1,0.509905,0.434263,[26 51] ; [19 29],[27.72 49.28] ; [17.28 30.72],0
r2,1,0.622871,0.241853,[56 20] ; [32 14],[54.81967213 21.18032787] ; [33.18032787 12.81967213],0
b1,1,0.638879,0.220212,[32 45] ; [22 26],[33.264 43.736] ; [20.736 27.264],0
n1,1,0.6583,0.195595,[10 19] ; [ 6 15],[ 9.28 19.72] ; [ 6.72 14.28],0
d3,1,0.718125,0.130297,[40 35] ; [24 24],[39.02439024 35.97560976] ; [24.97560976 23.02439024],0
n2,1,0.792816,0.068988,[19 10] ; [13  8],[18.56 10.44] ; [13.44  7.56],0
a4,1,0.83164,0.045198,[26 51] ; [15 32],[25.45967742 51.54032258] ; [15.54032258 31.45967742],0
b2,1,0.844244,0.038599,[16 23] ; [12 19],[15.6 23.4] ; [12.4 18.6],0
b3,1,0.844244,0.038599,[16 23] ; [12 19],[15.6 23.4] ; [12.4 18.6],0
p12,1,0.84654,0.037456,[ 2 74] ; [ 1 47],[ 1.83870968 74.16129032] ; [ 1.16129032 46.83870968],0
n5,1,0.872256,0.025854,[48 28] ; [31 17],[48.41935484 27.58064516] ; [30.58064516 17.41935484],0
n4,1,0.876297,0.024232,[46 31] ; [28 20],[45.584 31.416] ; [28.416 19.584],0
b4,1,0.899159,0.016059,[41 36] ; [25 23],[40.656 36.344] ; [25.344 22.656],0
u3,1,0.899557,0.015932,[12 24] ; [ 7 13],[12.21428571 23.78571429] ; [ 6.78571429 13.21428571],0
