Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.370708,[4 5] ; [78  4],[8.10989011 0.89010989] ; [73.89010989  8.10989011],1
r1,1,3e-06,21.789392,[2 7] ; [73 11],[7.25806452 1.74193548] ; [67.74193548 16.25806452],1
r3,1,1.1e-05,19.255284,[5 4] ; [80  3],[8.31521739 0.68478261] ; [76.68478261  6.31521739],1
v4,1,9.1e-05,15.308766,[6 3] ; [82  2],[8.51612903 0.48387097] ; [79.48387097  4.51612903],1
n6,1,0.00035,12.782195,[4 5] ; [75  9],[7.64516129 1.35483871] ; [71.35483871 12.64516129],1
p9,1,0.003231,8.672468,[5 4] ; [75  8],[7.82608696 1.17391304] ; [72.17391304 10.82608696],0
n5,1,0.003955,8.304139,[2 7] ; [59 25],[5.90322581 3.09677419] ; [55.09677419 28.90322581],0
p4,1,0.006475,7.413154,[3 6] ; [64 20],[6.48387097 2.51612903] ; [60.51612903 23.48387097],0
s8,1,0.008907,6.841379,[2 7] ; [56 28],[5.61290323 3.38709677] ; [52.38709677 31.61290323],0
s5,1,0.015362,5.874449,[1 6] ; [48 30],[4.03529412 2.96470588] ; [44.96470588 33.03529412],0
p11,1,0.015608,5.846502,[3 6] ; [61 23],[6.19354839 2.80645161] ; [57.80645161 26.19354839],0
r2,1,0.02318,5.154963,[6 1] ; [83  1],[6.84615385 0.15384615] ; [82.15384615  1.84615385],0
n2,1,0.027532,4.857112,[1 4] ; [16  6],[3.14814815 1.85185185] ; [13.85185185  8.14814815],0
p10,1,0.037436,4.33048,[6 3] ; [75  8],[7.92391304 1.07608696] ; [73.07608696  9.92391304],0
p2,1,0.060093,3.534825,[5 4] ; [69 15],[7.16129032 1.83870968] ; [66.83870968 17.16129032],0
b2,1,0.060452,3.52493,[3 1] ; [14 34],[1.30769231 2.69230769] ; [15.69230769 32.30769231],0
b3,1,0.060452,3.52493,[3 1] ; [14 34],[1.30769231 2.69230769] ; [15.69230769 32.30769231],0
p8,1,0.068437,3.320122,[2 6] ; [48 34],[4.44444444 3.55555556] ; [45.55555556 36.44444444],0
a5,1,0.078088,3.104258,[6 3] ; [74 10],[7.74193548 1.25806452] ; [72.25806452 11.74193548],0
v1,1,0.085462,2.957843,[2 7] ; [44 40],[4.4516129 4.5483871] ; [41.5483871 42.4516129],0
p3,1,0.09749,2.746138,[3 6] ; [52 32],[5.32258065 3.67741935] ; [49.67741935 34.32258065],0
b4,1,0.09749,2.746138,[3 6] ; [52 32],[5.32258065 3.67741935] ; [49.67741935 34.32258065],0
p7,1,0.128867,2.306096,[4 5] ; [57 25],[6.03296703 2.96703297] ; [54.96703297 27.03296703],0
p6,1,0.18269,1.775605,[3 6] ; [47 36],[4.89130435 4.10869565] ; [45.10869565 37.89130435],0
a2,1,0.191145,1.708772,[1 8] ; [27 57],[2.70967742 6.29032258] ; [25.29032258 58.70967742],0
u1,1,0.236064,1.403949,[1 8] ; [25 59],[2.51612903 6.48387097] ; [23.48387097 60.51612903],0
s7,1,0.319434,0.991264,[4 4] ; [54 26],[5.27272727 2.72727273] ; [52.72727273 27.27272727],0
n4,1,0.323855,0.973312,[5 4] ; [60 24],[6.29032258 2.70967742] ; [58.70967742 25.29032258],0
a6,1,0.410562,0.677173,[5 4] ; [58 26],[6.09677419 2.90322581] ; [56.90322581 27.09677419],0
n3,1,0.426285,0.632922,[3 2] ; [17  5],[3.7037037 1.2962963] ; [16.2962963  5.7037037],0
v3,1,0.429655,0.623757,[2 7] ; [29 53],[3.06593407 5.93406593] ; [27.93406593 54.06593407],0
a4,1,0.465867,0.531761,[4 5] ; [48 36],[5.03225806 3.96774194] ; [46.96774194 37.03225806],0
n1,1,0.483522,0.490909,[1 4] ; [ 8 14],[1.66666667 3.33333333] ; [ 7.33333333 14.66666667],0
u3,1,0.496329,0.462778,[1 1] ; [11  4],[1.41176471 0.58823529] ; [10.58823529  4.41176471],0
s3,1,0.529112,0.396096,[6 3] ; [64 20],[6.77419355 2.22580645] ; [63.22580645 20.77419355],0
s1,1,0.549372,0.358443,[1 8] ; [ 5 79],[0.58064516 8.41935484] ; [ 5.41935484 78.58064516],0
a7,1,0.587397,0.294427,[7 2] ; [58 26],[6.29032258 2.70967742] ; [58.70967742 25.29032258],0
b1,1,0.657246,0.196886,[4 5] ; [31 53],[3.38709677 5.61290323] ; [31.61290323 52.38709677],0
d2,1,0.68668,0.162703,[7 2] ; [60 24],[6.48387097 2.51612903] ; [60.51612903 23.48387097],0
a3,1,0.747449,0.103688,[7 2] ; [69 15],[7.35483871 1.64516129] ; [68.64516129 15.35483871],0
b5,1,0.832547,0.044705,[6 3] ; [53 31],[5.70967742 3.29032258] ; [53.29032258 30.70967742],0
v2,1,0.895121,0.017379,[4 4] ; [43 39],[4.17777778 3.82222222] ; [42.82222222 39.17777778],0
s2,1,0.915191,0.011341,[7 2] ; [64 20],[6.87096774 2.12903226] ; [64.12903226 19.87096774],0
u2,1,0.929308,0.00787,[1 1] ; [8 7],[1.05882353 0.94117647] ; [7.94117647 7.05882353],0
