Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9.2e-05,15.297987,[13 16] ; [13 92],[ 5.62686567 23.37313433] ; [20.37313433 84.62686567],1
p7,1,0.001372,10.243078,[17 11] ; [29 74],[ 9.83206107 18.16793893] ; [36.16793893 66.83206107],0
p4,1,0.010242,6.592374,[14 15] ; [25 80],[ 8.44029851 20.55970149] ; [30.55970149 74.44029851],0
u2,1,0.011397,6.40241,[10  3] ; [18 30],[5.96721311 7.03278689] ; [22.03278689 25.96721311],0
p8,1,0.023329,5.143803,[14 15] ; [27 76],[ 9.00757576 19.99242424] ; [31.99242424 71.00757576],0
v4,1,0.026462,4.925554,[27  2] ; [76 27],[22.62878788  6.37121212] ; [80.37121212 22.62878788],0
r4,1,0.038404,4.287044,[19 10] ; [46 59],[14.06716418 14.93283582] ; [50.93283582 54.06716418],0
r2,1,0.039202,4.252085,[25  3] ; [70 30],[20.78125  7.21875] ; [74.21875 25.78125],0
p11,1,0.044903,4.022285,[23  6] ; [62 43],[18.39552239 10.60447761] ; [66.60447761 38.39552239],0
p2,1,0.061903,3.485648,[22  7] ; [59 45],[17.66165414 11.33834586] ; [63.33834586 40.66165414],0
v3,1,0.068795,3.311533,[10 18] ; [20 83],[ 6.41221374 21.58778626] ; [23.58778626 79.41221374],0
n3,1,0.071956,3.237834,[11  2] ; [24 18],[8.27272727 4.72727273] ; [26.72727273 15.27272727],0
v2,1,0.120677,2.408514,[12 14] ; [31 72],[ 8.66666667 17.33333333] ; [34.33333333 68.66666667],0
u3,1,0.132314,2.265146,[7 6] ; [15 33],[4.68852459 8.31147541] ; [17.31147541 30.68852459],0
s1,1,0.149319,2.079199,[ 2 26] ; [  2 103],[ 0.84210526 27.15789474] ; [  3.15789474 101.84210526],0
b4,1,0.156947,2.003397,[20  9] ; [57 48],[16.6641791 12.3358209] ; [60.3358209 44.6641791],0
p12,1,0.165539,1.922884,[ 2 27] ; [  2 102],[ 0.87218045 28.12781955] ; [  3.12781955 100.87218045],0
d5,1,0.198905,1.650396,[20  8] ; [61 44],[17.05263158 10.94736842] ; [63.94736842 41.05263158],0
s7,1,0.204654,1.608849,[ 9 17] ; [23 79],[ 6.5 19.5] ; [25.5 76.5],0
a5,1,0.207924,1.585822,[10 19] ; [50 55],[12.98507463 16.01492537] ; [47.01492537 57.98507463],0
a2,1,0.240683,1.376588,[ 1 28] ; [11 94],[ 2.59701493 26.40298507] ; [ 9.40298507 95.59701493],0
d1,1,0.268402,1.224894,[12 17] ; [32 73],[ 9.52238806 19.47761194] ; [34.47761194 70.52238806],0
