Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,37.028923,[119  18] ; [28 33],[101.71212121  35.28787879] ; [45.28787879 15.71212121],1
a6,1,1e-05,19.608987,[104  32] ; [27 34],[90.43654822 45.56345178] ; [40.56345178 20.43654822],1
b5,1,3.6e-05,17.075813,[91 47] ; [21 40],[77.66834171 60.33165829] ; [34.33165829 26.66834171],1
a2,1,4.6e-05,16.624285,[50 88] ; [ 5 56],[38.14070352 99.85929648] ; [16.85929648 44.14070352],1
d1,1,0.000121,14.771424,[104  34] ; [29 32],[92.23115578 45.76884422] ; [40.76884422 20.23115578],1
u1,1,0.003007,8.803051,[ 37 101] ; [ 5 56],[ 29.12562814 108.87437186] ; [12.87437186 48.12562814],0
v2,1,0.004534,8.056679,[115  21] ; [40 20],[107.55102041  28.44897959] ; [47.44897959 12.55102041],0
n4,1,0.007757,7.088631,[111  27] ; [58  3],[117.1959799  20.8040201] ; [51.8040201  9.1959799],0
p12,1,0.008705,6.882449,[ 30 108] ; [ 4 57],[ 23.57788945 114.42211055] ; [10.42211055 50.57788945],0
b1,1,0.010833,6.492559,[46 92] ; [32 29],[54.09045226 83.90954774] ; [23.90954774 37.09045226],0
s8,1,0.03162,4.618992,[81 55] ; [46 15],[87.6751269 48.3248731] ; [39.3248731 21.6751269],0
b3,1,0.036181,4.388571,[28 52] ; [22 18],[33.33333333 46.66666667] ; [16.66666667 23.33333333],0
b2,1,0.036181,4.388571,[28 52] ; [22 18],[33.33333333 46.66666667] ; [16.66666667 23.33333333],0
r4,1,0.038885,4.265874,[134   4] ; [55  6],[131.06532663   6.93467337] ; [57.93467337  3.06532663],0
s7,1,0.040759,4.18599,[89 45] ; [47 11],[94.91666667 39.08333333] ; [41.08333333 16.91666667],0
r2,1,0.052036,3.774614,[136   2] ; [57  4],[133.83919598   4.16080402] ; [59.16080402  1.83919598],0
p1,1,0.064271,3.423597,[ 19 118] ; [ 3 58],[ 15.22222222 121.77777778] ; [ 6.77777778 54.22222222],0
a1,1,0.080063,3.063617,[  8 130] ; [ 8 53],[ 11.09547739 126.90452261] ; [ 4.90452261 56.09547739],0
v4,1,0.121727,2.394956,[135   3] ; [57  4],[133.14572864   4.85427136] ; [58.85427136  2.14572864],0
r1,1,0.130798,2.28301,[122  16] ; [49 12],[118.58291457  19.41708543] ; [52.41708543  8.58291457],0
b4,1,0.136628,2.215528,[90 48] ; [33 28],[85.29648241 52.70351759] ; [37.70351759 23.29648241],0
u3,1,0.167924,1.901384,[22 10] ; [5 6],[20.09302326 11.90697674] ; [6.90697674 4.09302326],0
