Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.145108,[79  9] ; [42 33],[65.32515337 22.67484663] ; [55.67484663 19.32515337],1
r4,1,2.4e-05,17.839369,[69 21] ; [34 42],[55.84337349 34.15662651] ; [47.15662651 28.84337349],1
p7,1,3.6e-05,17.067903,[51 37] ; [19 55],[38.02469136 49.97530864] ; [31.97530864 42.02469136],1
p9,1,5.5e-05,16.257219,[55 32] ; [22 49],[42.39873418 44.60126582] ; [34.60126582 36.39873418],1
v4,1,7.9e-05,15.571654,[79 10] ; [47 28],[68.37804878 20.62195122] ; [57.62195122 17.37804878],1
p4,1,0.000333,12.876642,[42 47] ; [15 59],[31.12269939 57.87730061] ; [25.87730061 48.12269939],1
p10,1,0.002241,9.340614,[45 43] ; [20 53],[35.52795031 52.47204969] ; [29.47204969 43.52795031],0
p6,1,0.002254,9.329938,[25 62] ; [ 7 67],[17.29192547 69.70807453] ; [14.70807453 59.29192547],0
a1,1,0.00342,8.568509,[ 2 88] ; [11 65],[ 7.04819277 82.95180723] ; [ 5.95180723 70.04819277],0
p8,1,0.003743,8.404603,[33 54] ; [13 62],[24.7037037 62.2962963] ; [21.2962963 53.7037037],0
n6,1,0.00416,8.212552,[59 30] ; [33 42],[49.92682927 39.07317073] ; [42.07317073 32.92682927],0
r1,1,0.004829,7.942535,[62 27] ; [36 39],[53.18292683 35.81707317] ; [44.81707317 30.18292683],0
s1,1,0.005576,7.682326,[ 3 85] ; [12 63],[ 8.09815951 79.90184049] ; [ 6.90184049 68.09815951],0
p3,1,0.005638,7.662539,[36 54] ; [15 60],[27.81818182 62.18181818] ; [23.18181818 51.81818182],0
v1,1,0.005763,7.623078,[38 51] ; [17 59],[29.66666667 59.33333333] ; [25.33333333 50.66666667],0
b2,1,0.006058,7.53299,[ 7 31] ; [22 25],[12.96470588 25.03529412] ; [16.03529412 30.96470588],0
b3,1,0.006058,7.53299,[ 7 31] ; [22 25],[12.96470588 25.03529412] ; [16.03529412 30.96470588],0
n3,1,0.007711,7.099356,[24  8] ; [14 19],[18.70769231 13.29230769] ; [19.29230769 13.70769231],0
d3,1,0.015083,5.906696,[61 27] ; [38 37],[53.44785276 34.55214724] ; [45.55214724 29.44785276],0
s6,1,0.015102,5.904529,[46 43] ; [25 51],[38.2969697 50.7030303] ; [32.7030303 43.2969697],0
r2,1,0.019016,5.500028,[81  9] ; [55 17],[75.55555556 14.44444444] ; [60.44444444 11.55555556],0
p1,1,0.025069,5.019079,[ 2 88] ; [ 8 68],[ 5.42168675 84.57831325] ; [ 4.57831325 71.42168675],0
n2,1,0.052079,3.773237,[23  9] ; [17 18],[19.10447761 12.89552239] ; [20.89552239 14.10447761],0
s2,1,0.096715,2.758901,[32 58] ; [18 58],[27.10843373 62.89156627] ; [22.89156627 53.10843373],0
s5,1,0.114814,2.486679,[19 68] ; [ 9 64],[15.225 71.775] ; [12.775 60.225],0
n4,1,0.141677,2.159647,[57 33] ; [39 36],[52.36363636 37.63636364] ; [43.63636364 31.36363636],0
s7,1,0.141729,2.159084,[23 62] ; [12 58],[19.19354839 65.80645161] ; [15.80645161 54.19354839],0
b4,1,0.172712,1.859246,[51 39] ; [35 41],[46.62650602 43.37349398] ; [39.37349398 36.62650602],0
b5,1,0.182073,1.780625,[60 30] ; [43 33],[55.84337349 34.15662651] ; [47.15662651 28.84337349],0
a3,1,0.183004,1.773062,[48 40] ; [48 26],[52.14814815 35.85185185] ; [43.85185185 30.14814815],0
a7,1,0.195467,1.67592,[62 27] ; [45 30],[58.06707317 30.93292683] ; [48.93292683 26.06707317],0
a6,1,0.21966,1.506593,[53 37] ; [37 38],[49.09090909 40.90909091] ; [40.90909091 34.09090909],0
d4,1,0.301145,1.069117,[67 22] ; [51 24],[64.03658537 24.96341463] ; [53.96341463 21.03658537],0
n1,1,0.306439,1.045961,[ 9 22] ; [14 20],[10.96923077 20.03076923] ; [12.03076923 21.96923077],0
s4,1,0.380728,0.76835,[19 71] ; [12 64],[16.80722892 73.19277108] ; [14.19277108 61.80722892],0
n5,1,0.409353,0.68068,[52 37] ; [39 36],[49.38414634 39.61585366] ; [41.61585366 33.38414634],0
v2,1,0.437723,0.602243,[33 52] ; [24 49],[30.66455696 54.33544304] ; [26.33544304 46.66455696],0
s3,1,0.4396,0.597327,[39 50] ; [28 46],[36.58282209 52.41717791] ; [30.41717791 43.58282209],0
p5,1,0.534543,0.385748,[ 4 85] ; [ 2 73],[ 3.25609756 85.74390244] ; [ 2.74390244 72.25609756],0
a8,1,0.608267,0.262706,[ 6 75] ; [ 7 65],[ 6.88235294 74.11764706] ; [ 6.11764706 65.88235294],0
a5,1,0.615167,0.25272,[51 39] ; [46 30],[52.59036145 37.40963855] ; [44.40963855 31.59036145],0
d5,1,0.681229,0.168745,[62 27] ; [50 25],[60.7804878 28.2195122] ; [51.2195122 23.7804878],0
v3,1,0.68338,0.166346,[22 65] ; [20 51],[23.12658228 63.87341772] ; [18.87341772 52.12658228],0
u2,1,0.72041,0.1281,[16 24] ; [10 18],[15.29411765 24.70588235] ; [10.70588235 17.29411765],0
d2,1,0.760274,0.093098,[38 52] ; [33 41],[38.96341463 51.03658537] ; [32.03658537 41.96341463],0
a4,1,0.853293,0.034195,[34 56] ; [29 45],[34.57317073 55.42682927] ; [28.42682927 45.57317073],0
d1,1,0.876394,0.024193,[38 52] ; [33 43],[38.4939759 51.5060241] ; [32.5060241 43.4939759],0
a2,1,0.914541,0.011516,[16 74] ; [14 62],[16.26506024 73.73493976] ; [13.73493976 62.26506024],0
u1,1,0.942591,0.005186,[ 8 82] ; [ 7 69],[ 8.13253012 81.86746988] ; [ 6.86746988 69.13253012],0
