Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,26.9695,[ 8 21] ; [53 11],[19.02150538  9.97849462] ; [41.97849462 22.02150538],1
p9,1,0.000321,12.945201,[19  9] ; [61  3],[24.34782609  3.65217391] ; [55.65217391  8.34782609],1
p2,1,0.000744,11.376706,[17 12] ; [57  7],[23.07526882  5.92473118] ; [50.92473118 13.07526882],1
p10,1,0.001159,10.555034,[20  8] ; [61  3],[24.65217391  3.34782609] ; [56.34782609  7.65217391],0
p4,1,0.003292,8.638094,[15 14] ; [52 12],[20.89247312  8.10752688] ; [46.10752688 17.89247312],0
n6,1,0.003719,8.415974,[20  9] ; [59  5],[24.6344086  4.3655914] ; [54.3655914  9.6344086],0
p8,1,0.005537,7.695025,[10 19] ; [40 21],[16.11111111 12.88888889] ; [33.88888889 27.11111111],0
p7,1,0.009236,6.776587,[14 15] ; [47 15],[19.43956044  9.56043956] ; [41.56043956 20.43956044],0
n4,1,0.010139,6.61037,[15 14] ; [50 14],[20.2688172  8.7311828] ; [44.7311828 19.2688172],0
d2,1,0.010848,6.48999,[26  3] ; [41 23],[20.89247312  8.10752688] ; [46.10752688 17.89247312],0
r3,1,0.014195,6.013685,[23  5] ; [62  2],[25.86956522  2.13043478] ; [59.13043478  4.86956522],0
r4,1,0.015608,5.846502,[23  6] ; [61  3],[26.19354839  2.80645161] ; [57.80645161  6.19354839],0
v1,1,0.016727,5.724823,[ 9 20] ; [37 27],[14.34408602 14.65591398] ; [31.65591398 32.34408602],0
a5,1,0.057185,3.617202,[22  7] ; [58  6],[24.94623656  4.05376344] ; [55.05376344  8.94623656],0
s6,1,0.073319,3.207104,[22  5] ; [60  4],[24.32967033  2.67032967] ; [57.67032967  6.32967033],0
s3,1,0.142316,2.152735,[19 10] ; [51 13],[21.82795699  7.17204301] ; [48.17204301 15.82795699],0
n2,1,0.147758,2.095249,[7 7] ; [10  3],[8.81481481 5.18518519] ; [8.18518519 4.81481481],0
p3,1,0.151386,2.05823,[14 15] ; [41 23],[17.15053763 11.84946237] ; [37.84946237 26.15053763],0
v4,1,0.152722,2.044852,[26  3] ; [62  2],[27.44086022  1.55913978] ; [60.55913978  3.44086022],0
s8,1,0.1539,2.033166,[15 14] ; [43 21],[18.08602151 10.91397849] ; [39.91397849 24.08602151],0
b1,1,0.1539,2.033166,[14 15] ; [21 43],[10.91397849 18.08602151] ; [24.08602151 39.91397849],0
s7,1,0.154719,2.025096,[13 11] ; [45 19],[15.81818182  8.18181818] ; [42.18181818 21.81818182],0
r1,1,0.176214,1.829267,[21  8] ; [54 10],[23.38709677  5.61290323] ; [51.61290323 12.38709677],0
a6,1,0.20528,1.604403,[17 12] ; [46 18],[19.64516129  9.35483871] ; [43.35483871 20.64516129],0
p6,1,0.213575,1.547025,[13 16] ; [37 26],[15.76086957 13.23913043] ; [34.23913043 28.76086957],0
d3,1,0.232791,1.423724,[28  1] ; [57  7],[26.50537634  2.49462366] ; [58.49462366  5.50537634],0
s2,1,0.259697,1.27037,[20  9] ; [51 13],[22.13978495  6.86021505] ; [48.86021505 15.13978495],0
a7,1,0.268237,1.22574,[18 11] ; [47 17],[20.2688172  8.7311828] ; [44.7311828 19.2688172],0
a4,1,0.420958,0.64764,[18 11] ; [34 30],[16.21505376 12.78494624] ; [35.78494624 28.21505376],0
p12,1,0.448405,0.574682,[ 1 27] ; [ 5 59],[ 1.82608696 26.17391304] ; [ 4.17391304 59.82608696],0
b5,1,0.515869,0.422144,[17 12] ; [42 22],[18.39784946 10.60215054] ; [40.60215054 23.39784946],0
