Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000271,13.261256,[19 59] ; [16  9],[26.50485437 51.49514563] ; [ 8.49514563 16.50485437],1
s6,1,0.000271,13.261256,[19 59] ; [16  9],[26.50485437 51.49514563] ; [ 8.49514563 16.50485437],1
s8,1,0.000276,13.224096,[ 7 71] ; [10 15],[12.87378641 65.12621359] ; [ 4.12621359 20.87378641],1
p10,1,0.004387,8.116388,[13 66] ; [11 14],[18.23076923 60.76923077] ; [ 5.76923077 19.23076923],0
s2,1,0.004424,8.10123,[15 63] ; [12 13],[20.44660194 57.55339806] ; [ 6.55339806 18.44660194],0
s5,1,0.017899,5.606026,[ 9 68] ; [ 8 17],[12.83333333 64.16666667] ; [ 4.16666667 20.83333333],0
u1,1,0.020607,5.359745,[ 4 75] ; [ 5 20],[ 6.83653846 72.16346154] ; [ 2.16346154 22.83653846],0
v3,1,0.030545,4.678363,[14 61] ; [10 15],[18. 57.] ; [ 6. 19.],0
n4,1,0.056542,3.636007,[46 32] ; [20  5],[49.98058252 28.01941748] ; [16.01941748  8.98058252],0
u3,1,0.066857,3.35856,[15 20] ; [5 1],[17.07317073 17.92682927] ; [2.92682927 3.07317073],0
a2,1,0.070611,3.268762,[10 69] ; [ 7 18],[12.91346154 66.08653846] ; [ 4.08653846 20.91346154],0
a4,1,0.072038,3.235973,[25 53] ; [13 12],[28.77669903 49.22330097] ; [ 9.22330097 15.77669903],0
a3,1,0.080309,3.058643,[44 34] ; [19  6],[47.70873786 30.29126214] ; [15.29126214  9.70873786],0
n1,1,0.114481,2.491247,[11 23] ; [6 4],[13.13636364 20.86363636] ; [3.86363636 6.13636364],0
v1,1,0.130458,2.287048,[22 57] ; [11 14],[25.06730769 53.93269231] ; [ 7.93269231 17.06730769],0
r1,1,0.138242,2.197425,[50 28] ; [20  5],[53.00970874 24.99029126] ; [16.99029126  8.00970874],0
r2,1,0.145316,2.120742,[61 16] ; [23  2],[63.41176471 13.58823529] ; [20.58823529  4.41176471],0
a5,1,0.165535,1.922922,[38 41] ; [16  9],[41.01923077 37.98076923] ; [12.98076923 12.01923077],0
