Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,42.586181,[15 24] ; [60  2],[28.96039604 10.03960396] ; [46.03960396 15.96039604],1
r1,1,0.0,34.702621,[15 25] ; [57  5],[28.23529412 11.76470588] ; [43.76470588 18.23529412],1
v4,1,1e-06,24.593132,[18 22] ; [55  6],[28.91089109 11.08910891] ; [44.08910891 16.91089109],1
s8,1,0.001121,10.616033,[ 1 39] ; [17 44],[ 7.12871287 32.87128713] ; [10.87128713 50.12871287],0
p2,1,0.002081,9.476717,[ 9 31] ; [33 29],[16.47058824 23.52941176] ; [25.52941176 36.47058824],0
s6,1,0.00307,8.765312,[ 8 32] ; [30 31],[15.04950495 24.95049505] ; [22.95049505 38.04950495],0
p4,1,0.003541,8.505183,[ 5 35] ; [24 37],[11.48514851 28.51485149] ; [17.51485149 43.48514851],0
u3,1,0.004826,7.943481,[ 4 13] ; [14  6],[8.27027027 8.72972973] ; [ 9.72972973 10.27027027],0
a7,1,0.007605,7.124307,[18 21] ; [45 17],[24.32673267 14.67326733] ; [38.67326733 23.32673267],0
p11,1,0.011928,6.321471,[10 30] ; [31 31],[16.07843137 23.92156863] ; [24.92156863 37.07843137],0
a6,1,0.017257,5.670082,[19 21] ; [44 18],[24.70588235 15.29411765] ; [38.29411765 23.70588235],0
s2,1,0.024781,5.039142,[ 5 35] ; [19 40],[ 9.6969697 30.3030303] ; [14.3030303 44.6969697],0
v3,1,0.029419,4.742941,[ 7 33] ; [22 36],[11.83673469 28.16326531] ; [17.16326531 40.83673469],0
u1,1,0.039693,4.230949,[ 2 38] ; [12 50],[ 5.49019608 34.50980392] ; [ 8.50980392 53.49019608],0
n2,1,0.054466,3.698346,[10 14] ; [16  7],[13.27659574 10.72340426] ; [12.72340426 10.27659574],0
n3,1,0.067768,3.336274,[ 9 14] ; [14  7],[12.02272727 10.97727273] ; [10.97727273 10.02272727],0
a5,1,0.073157,3.210718,[20 20] ; [42 20],[24.31372549 15.68627451] ; [37.68627451 24.31372549],0
a1,1,0.077313,3.120499,[ 6 34] ; [ 3 59],[ 3.52941176 36.47058824] ; [ 5.47058824 56.52941176],0
