Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.831211,[306  28] ; [20 11],[298.31232877  35.68767123] ; [27.68767123  3.31232877],1
p8,1,3.5e-05,17.124793,[191 138] ; [ 6 25],[180.03611111 148.96388889] ; [16.96388889 14.03611111],1
r4,1,0.000289,13.140315,[316  18] ; [24  7],[311.12328767  22.87671233] ; [28.87671233  2.12328767],1
p10,1,0.001034,10.765933,[295  38] ; [21 10],[289.08791209  43.91208791] ; [26.91208791  4.08791209],0
s8,1,0.002443,9.182542,[220 113] ; [12 19],[212.24175824 120.75824176] ; [19.75824176 11.24175824],0
p11,1,0.003238,8.668174,[277  57] ; [19 12],[270.86027397  63.13972603] ; [25.13972603  5.86027397],0
p4,1,0.003288,8.640182,[235  97] ; [14 17],[227.73553719 104.26446281] ; [21.26446281  9.73553719],0
s6,1,0.004843,7.937319,[290  37] ; [22  9],[284.98324022  42.01675978] ; [27.01675978  3.98324022],0
p9,1,0.008004,7.03263,[297  33] ; [23  8],[292.52077562  37.47922438] ; [27.47922438  3.52077562],0
p6,1,0.009383,6.748429,[158 171] ; [ 7 23],[151.21169916 177.78830084] ; [13.78830084 16.21169916],0
b1,1,0.009418,6.741784,[135 199] ; [20 11],[141.83561644 192.16438356] ; [13.16438356 17.83561644],0
p2,1,0.012068,6.300822,[290  42] ; [22  9],[285.3553719  46.6446281] ; [26.6446281  4.3553719],0
b3,1,0.012325,6.263505,[ 89 128] ; [ 2 16],[ 84.02978723 132.97021277] ; [ 6.97021277 11.02978723],0
b2,1,0.012325,6.263505,[ 89 128] ; [ 2 16],[ 84.02978723 132.97021277] ; [ 6.97021277 11.02978723],0
s5,1,0.013287,6.13049,[157 161] ; [ 7 21],[150.7283237 167.2716763] ; [13.2716763 14.7283237],0
u1,1,0.015071,5.908125,[ 87 247] ; [ 2 29],[ 81.44109589 252.55890411] ; [ 7.55890411 23.44109589],0
a4,1,0.023902,5.101755,[178 155] ; [10 21],[171.98901099 161.01098901] ; [16.01098901 14.98901099],0
a2,1,0.035864,4.403571,[103 231] ; [ 4 27],[ 97.91232877 236.08767123] ; [ 9.08767123 21.91232877],0
p5,1,0.054797,3.688251,[ 53 276] ; [ 1 30],[ 49.35 279.65] ; [ 4.65 26.35],0
d2,1,0.057414,3.610564,[193 140] ; [12 18],[188.05785124 144.94214876] ; [16.94214876 13.05785124],0
u2,1,0.062008,3.482856,[39 30] ; [8 1],[41.57692308 27.42307692] ; [5.42307692 3.57692308],0
d5,1,0.075164,3.166486,[285  48] ; [22  8],[281.62809917  51.37190083] ; [25.37190083  4.62809917],0
p7,1,0.076369,3.140533,[224 100] ; [16 14],[219.66101695 104.33898305] ; [20.33898305  9.66101695],0
s7,1,0.080988,3.044963,[246  75] ; [18 11],[242.12571429  78.87428571] ; [21.87428571  7.12571429],0
u3,1,0.085341,2.960132,[41 28] ; [8 1],[43.34615385 25.65384615] ; [5.65384615 3.34615385],0
a6,1,0.115706,2.474498,[214 118] ; [15 15],[210.02209945 121.97790055] ; [18.97790055 11.02209945],0
p3,1,0.162955,1.94659,[193 139] ; [14 17],[189.32231405 142.67768595] ; [17.67768595 13.32231405],0
a7,1,0.169343,1.888751,[242  90] ; [19 12],[238.7107438  93.2892562] ; [22.2892562  8.7107438],0
a3,1,0.246684,1.341986,[265  67] ; [22  9],[262.49035813  69.50964187] ; [24.50964187  6.49035813],0
a5,1,0.261456,1.261033,[265  68] ; [22  9],[262.55769231  70.44230769] ; [24.44230769  6.55769231],0
d1,1,0.261698,1.259752,[227 107] ; [18 13],[224.19178082 109.80821918] ; [20.80821918 10.19178082],0
r1,1,0.264156,1.246842,[284  50] ; [24  7],[281.84109589  52.15890411] ; [26.15890411  4.84109589],0
s1,1,0.306695,1.044855,[ 18 313] ; [ 3 27],[ 19.25484765 311.74515235] ; [ 1.74515235 28.25484765],0
p12,1,0.331143,0.944421,[ 41 291] ; [ 2 29],[ 39.32782369 292.67217631] ; [ 3.67217631 27.32782369],0
s3,1,0.346556,0.886028,[290  40] ; [29  2],[291.6066482  38.3933518] ; [27.3933518  3.6066482],0
v1,1,0.349254,0.876165,[197 128] ; [15 14],[194.63276836 130.36723164] ; [17.36723164 11.63276836],0
b5,1,0.357672,0.84605,[198 136] ; [21 10],[200.4 133.6] ; [18.6 12.4],0
s4,1,0.454546,0.559291,[ 66 262] ; [ 8 23],[ 67.61002786 260.38997214] ; [ 6.38997214 24.61002786],0
n2,1,0.472607,0.515873,[44 12] ; [8 1],[44.8 11.2] ; [7.2 1.8],0
a1,1,0.493242,0.469447,[ 21 313] ; [ 1 30],[ 20.13150685 313.86849315] ; [ 1.86849315 29.13150685],0
d3,1,0.544288,0.367651,[238  95] ; [23  7],[239.42975207  93.57024793] ; [21.57024793  8.42975207],0
n3,1,0.575993,0.312757,[43 14] ; [6 3],[42.31818182 14.68181818] ; [6.68181818 2.31818182],0
a8,1,0.643017,0.214818,[ 53 254] ; [ 6 23],[ 53.9077381 253.0922619] ; [ 5.0922619 23.9077381],0
d4,1,0.673464,0.177576,[290  42] ; [27  3],[290.72928177  41.27071823] ; [26.27071823  3.72928177],0
v2,1,0.716774,0.131605,[194 129] ; [17 13],[193.06798867 129.93201133] ; [17.93201133 12.06798867],0
