Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.1e-05,17.336114,[247 105] ; [87 82],[225.65834933 126.34165067] ; [108.34165067  60.65834933],1
p5,1,6.9e-05,15.834053,[ 73 278] ; [ 12 158],[ 57.26487524 293.73512476] ; [ 27.73512476 142.26487524],1
p9,1,0.000512,12.072316,[322  31] ; [137  33],[309.80305927  43.19694073] ; [149.19694073  20.80305927],1
p12,1,0.000821,11.192586,[ 45 308] ; [  6 165],[ 34.35687023 318.64312977] ; [ 16.64312977 154.35687023],1
p10,1,0.001861,9.681937,[313  39] ; [133  36],[301.32821497  50.67178503] ; [144.67178503  24.32821497],0
n4,1,0.004622,8.021826,[299  55] ; [126  44],[287.11832061  66.88167939] ; [137.88167939  32.11832061],0
n6,1,0.005214,7.803752,[319  34] ; [139  31],[309.12810707  43.87189293] ; [148.87189293  21.12810707],0
p6,1,0.005337,7.761472,[187 164] ; [ 68 101],[172.125 178.875] ; [82.875 86.125],0
p7,1,0.01303,6.165013,[268  82] ; [112  57],[256.26204239  93.73795761] ; [123.73795761  45.26204239],0
u1,1,0.013214,6.140166,[ 85 269] ; [ 25 146],[ 74.17142857 279.82857143] ; [ 35.82857143 135.17142857],0
v3,1,0.014278,6.003471,[156 184] ; [ 56 107],[143.30019881 196.69980119] ; [68.69980119 94.30019881],0
s7,1,0.020675,5.354006,[198 132] ; [82 85],[185.91549296 144.08450704] ; [94.08450704 72.91549296],0
s5,1,0.028959,4.770076,[141 198] ; [ 52 113],[129.81547619 209.18452381] ; [ 63.18452381 101.81547619],0
p11,1,0.03365,4.51238,[300  54] ; [132  39],[291.29142857  62.70857143] ; [140.70857143  30.29142857],0
p2,1,0.03934,4.246109,[323  29] ; [147  24],[316.32887189  35.67112811] ; [153.67112811  17.32887189],0
n5,1,0.04366,4.069681,[290  62] ; [128  43],[281.33078394  70.66921606] ; [136.66921606  34.33078394],0
r3,1,0.058255,3.586394,[344   9] ; [161  10],[340.20038168  12.79961832] ; [164.79961832   6.20038168],0
r4,1,0.062332,3.474214,[336  18] ; [155  16],[331.07428571  22.92571429] ; [159.92571429  11.07428571],0
v2,1,0.071557,3.246947,[206 136] ; [86 80],[196.58267717 145.41732283] ; [95.41732283 70.58267717],0
p1,1,0.081458,3.035572,[ 42 309] ; [ 12 159],[ 36.31034483 314.68965517] ; [ 17.68965517 153.31034483],0
