Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.012074,6.3,[13  7] ; [1 7],[10. 10.] ; [4. 4.],0
b3,1,0.017911,5.604848,[1 9] ; [4 2],[3.125 6.875] ; [1.875 4.125],0
b2,1,0.017911,5.604848,[1 9] ; [4 2],[3.125 6.875] ; [1.875 4.125],0
p3,1,0.055205,3.675897,[13  7] ; [2 6],[10.71428571  9.28571429] ; [4.28571429 3.71428571],0
s4,1,0.112411,2.52,[ 4 16] ; [4 4],[ 5.71428571 14.28571429] ; [2.28571429 5.71428571],0
p5,1,0.122166,2.389333,[ 1 19] ; [2 6],[ 2.14285714 17.85714286] ; [0.85714286 7.14285714],0
u1,1,0.122166,2.389333,[ 1 19] ; [2 6],[ 2.14285714 17.85714286] ; [0.85714286 7.14285714],0
u3,1,0.157299,2.0,[1 7] ; [2 2],[2. 6.] ; [1. 3.],0
n1,1,0.206969,1.5925,[2 6] ; [3 2],[3.07692308 4.92307692] ; [1.92307692 3.07692308],0
d3,1,0.22052,1.500987,[ 7 12] ; [5 3],[ 8.44444444 10.55555556] ; [3.55555556 4.44444444],0
b4,1,0.227195,1.458333,[10 10] ; [2 6],[ 8.57142857 11.42857143] ; [3.42857143 4.57142857],0
a2,1,0.305507,1.05,[ 2 18] ; [2 6],[ 2.85714286 17.14285714] ; [1.14285714 6.85714286],0
p7,1,0.377893,0.777545,[13  6] ; [6 1],[13.88461538  5.11538462] ; [5.11538462 1.88461538],0
p10,1,0.400659,0.706347,[11  8] ; [6 2],[11.96296296  7.03703704] ; [5.03703704 2.96296296],0
s3,1,0.402784,0.7,[11  9] ; [3 5],[10. 10.] ; [4. 4.],0
r2,1,0.4176,0.657059,[14  5] ; [4 3],[13.15384615  5.84615385] ; [4.84615385 2.15384615],0
n5,1,0.430412,0.621711,[14  5] ; [7 1],[14.77777778  4.22222222] ; [6.22222222 1.77777778],0
d4,1,0.462832,0.539037,[13  7] ; [4 4],[12.14285714  7.85714286] ; [4.85714286 3.14285714],0
n4,1,0.462832,0.539037,[13  7] ; [4 4],[12.14285714  7.85714286] ; [4.85714286 3.14285714],0
a6,1,0.462832,0.539037,[13  7] ; [4 4],[12.14285714  7.85714286] ; [4.85714286 3.14285714],0
a4,1,0.462832,0.539037,[ 7 13] ; [4 4],[ 7.85714286 12.14285714] ; [3.14285714 4.85714286],0
p12,1,0.486339,0.484615,[ 1 19] ; [1 7],[ 1.42857143 18.57142857] ; [0.57142857 7.42857143],0
b5,1,0.508332,0.4375,[15  5] ; [5 3],[14.28571429  5.71428571] ; [5.71428571 2.28571429],0
p11,1,0.508332,0.4375,[15  5] ; [5 3],[14.28571429  5.71428571] ; [5.71428571 2.28571429],0
p8,1,0.549076,0.358974,[10 10] ; [5 3],[10.71428571  9.28571429] ; [4.28571429 3.71428571],0
a7,1,0.549076,0.358974,[10 10] ; [5 3],[10.71428571  9.28571429] ; [4.28571429 3.71428571],0
s7,1,0.562069,0.336134,[10  7] ; [5 2],[10.625  6.375] ; [4.375 2.625],0
p4,1,0.608757,0.261988,[13  7] ; [6 2],[13.57142857  6.42857143] ; [5.42857143 2.57142857],0
s2,1,0.629063,0.233333,[12  8] ; [4 4],[11.42857143  8.57142857] ; [4.57142857 3.42857143],0
v2,1,0.706197,0.142105,[11  8] ; [4 4],[10.55555556  8.44444444] ; [4.44444444 3.55555556],0
s8,1,0.71714,0.13125,[ 9 11] ; [3 5],[ 8.57142857 11.42857143] ; [3.42857143 4.57142857],0
n3,1,0.724939,0.12381,[4 4] ; [3 2],[4.30769231 3.69230769] ; [2.69230769 2.30769231],0
u2,1,0.763824,0.090278,[6 3] ; [3 1],[6.23076923 2.76923077] ; [2.76923077 1.23076923],0
a3,1,0.810595,0.057436,[11  9] ; [4 4],[10.71428571  9.28571429] ; [4.28571429 3.71428571],0
v1,1,0.824016,0.049454,[ 8 11] ; [3 5],[ 7.74074074 11.25925926] ; [3.25925926 4.74074074],0
n2,1,0.835099,0.043333,[6 2] ; [4 1],[6.15384615 1.84615385] ; [3.84615385 1.15384615],0
n6,1,0.900744,0.015556,[13  7] ; [5 3],[12.85714286  7.14285714] ; [5.14285714 2.85714286],0
d1,1,0.900744,0.015556,[ 7 13] ; [3 5],[ 7.14285714 12.85714286] ; [2.85714286 5.14285714],0
d2,1,0.900744,0.015556,[ 7 13] ; [3 5],[ 7.14285714 12.85714286] ; [2.85714286 5.14285714],0
b1,1,0.90261,0.014973,[12  8] ; [5 3],[12.14285714  7.85714286] ; [4.85714286 3.14285714],0
a5,1,0.90261,0.014973,[12  8] ; [5 3],[12.14285714  7.85714286] ; [4.85714286 3.14285714],0
v3,1,1.0,0.0,[ 5 15] ; [2 6],[ 5. 15.] ; [2. 6.],0
p9,1,1.0,0.0,[15  5] ; [6 2],[15.  5.] ; [6. 2.],0
d5,1,1.0,0.0,[15  5] ; [6 2],[15.  5.] ; [6. 2.],0
r1,1,1.0,0.0,[ 5 15] ; [2 6],[ 5. 15.] ; [2. 6.],0
