Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,49.915576,[131  29] ; [32 54],[106.01626016  53.98373984] ; [56.98373984 29.01626016],1
n6,1,1e-06,23.282101,[135  24] ; [49 37],[119.4122449  39.5877551] ; [64.5877551 21.4122449],1
a5,1,0.007347,7.186011,[113  47] ; [46 40],[103.41463415  56.58536585] ; [55.58536585 30.41463415],0
p10,1,0.021141,5.315123,[109  50] ; [45 39],[100.7654321  58.2345679] ; [53.2345679 30.7654321],0
a3,1,0.025127,5.015105,[104  54] ; [44 42],[95.83606557 62.16393443] ; [52.16393443 33.83606557],0
p9,1,0.03234,4.580396,[119  38] ; [52 31],[111.8625  45.1375] ; [59.1375 23.8625],0
p5,1,0.046345,3.969016,[ 11 148] ; [ 1 85],[  7.7877551 151.2122449] ; [ 4.2122449 81.7877551],0
p4,1,0.047783,3.917599,[67 93] ; [25 61],[ 59.83739837 100.16260163] ; [32.16260163 53.83739837],0
s7,1,0.048433,3.894907,[58 97] ; [20 61],[ 51.22881356 103.77118644] ; [26.77118644 54.22881356],0
r3,1,0.062245,3.476545,[130  29] ; [78  8],[134.9877551  24.0122449] ; [73.0122449 12.9877551],0
d2,1,0.069844,3.286682,[76 82] ; [31 55],[69.28688525 88.71311475] ; [37.71311475 48.28688525],0
a2,1,0.070939,3.261147,[ 31 129] ; [ 9 77],[ 26.01626016 133.98373984] ; [13.98373984 72.01626016],0
p3,1,0.071682,3.244084,[ 51 108] ; [18 67],[ 44.96311475 114.03688525] ; [24.03688525 60.96311475],0
v2,1,0.078017,3.105741,[ 48 108] ; [35 48],[ 54.17573222 101.82426778] ; [28.82426778 54.17573222],0
p8,1,0.097074,2.752965,[ 41 118] ; [14 71],[ 35.84016393 123.15983607] ; [19.15983607 65.84016393],0
a4,1,0.125386,2.348719,[73 85] ; [31 55],[67.3442623 90.6557377] ; [36.6557377 49.3442623],0
d5,1,0.125779,2.343848,[112  48] ; [68 18],[117.07317073  42.92682927] ; [62.92682927 23.07317073],0
a1,1,0.126361,2.33665,[  8 152] ; [ 1 85],[  5.85365854 154.14634146] ; [ 3.14634146 82.85365854],0
a7,1,0.130283,2.289129,[100  60] ; [62 24],[105.36585366  54.63414634] ; [56.63414634 29.36585366],0
