Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.2e-05,17.297989,[1 8] ; [24  4],[6.08108108 2.91891892] ; [18.91891892  9.08108108],1
p9,1,4.7e-05,16.576531,[2 6] ; [26  2],[6.22222222 1.77777778] ; [21.77777778  6.22222222],1
p2,1,0.000211,13.729155,[1 8] ; [23  6],[5.68421053 3.31578947] ; [18.31578947 10.68421053],1
s1,1,0.010708,6.513185,[3 6] ; [ 1 28],[0.94736842 8.05263158] ; [ 3.05263158 25.94736842],0
s6,1,0.012642,6.218476,[1 8] ; [17 12],[4.26315789 4.73684211] ; [13.73684211 15.26315789],0
n6,1,0.014363,5.992986,[2 6] ; [21  8],[4.97297297 3.02702703] ; [18.02702703 10.97297297],0
p4,1,0.022489,5.20753,[2 7] ; [19 10],[4.97368421 4.02631579] ; [16.02631579 12.97368421],0
r3,1,0.026736,4.907775,[4 5] ; [23  5],[6.56756757 2.43243243] ; [20.43243243  7.56756757],0
p8,1,0.032022,4.597325,[1 7] ; [16 13],[3.67567568 4.32432432] ; [13.32432432 15.67567568],0
n3,1,0.036331,4.381481,[1 4] ; [7 2],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
n2,1,0.036331,4.381481,[1 4] ; [7 2],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
v4,1,0.056412,3.639847,[2 7] ; [17 12],[4.5 4.5] ; [14.5 14.5],0
p7,1,0.087569,2.918495,[3 6] ; [19 10],[5.21052632 3.78947368] ; [16.78947368 12.21052632],0
v3,1,0.176827,1.82409,[1 8] ; [10 19],[2.60526316 6.39473684] ; [ 8.39473684 20.60526316],0
a1,1,0.190614,1.712869,[2 7] ; [ 2 27],[0.94736842 8.05263158] ; [ 3.05263158 25.94736842],0
v2,1,0.198203,1.655568,[2 7] ; [13 15],[3.64864865 5.35135135] ; [11.35135135 16.64864865],0
s7,1,0.22844,1.450549,[1 6] ; [10 16],[2.33333333 4.66666667] ; [ 8.66666667 17.33333333],0
b5,1,0.252332,1.310345,[3 6] ; [16 13],[4.5 4.5] ; [14.5 14.5],0
b2,1,0.323727,0.97383,[4 3] ; [ 6 11],[2.91666667 4.08333333] ; [7.08333333 9.91666667],0
b3,1,0.323727,0.97383,[4 3] ; [ 6 11],[2.91666667 4.08333333] ; [7.08333333 9.91666667],0
a2,1,0.357126,0.847974,[2 7] ; [ 3 26],[1.18421053 7.81578947] ; [ 3.81578947 25.18421053],0
a8,1,0.40387,0.696774,[2 7] ; [ 3 24],[1.25 7.75] ; [ 3.75 23.25],0
n4,1,0.45494,0.558314,[4 5] ; [17 12],[4.97368421 4.02631579] ; [16.02631579 12.97368421],0
d5,1,0.458818,0.548777,[5 4] ; [20  9],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
n5,1,0.458818,0.548777,[5 4] ; [20  9],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
p3,1,0.497602,0.460046,[2 6] ; [11 18],[2.81081081 5.18918919] ; [10.18918919 18.81081081],0
r1,1,0.541777,0.372257,[3 6] ; [13 16],[3.78947368 5.21052632] ; [12.21052632 16.78947368],0
v1,1,0.541777,0.372257,[3 6] ; [13 16],[3.78947368 5.21052632] ; [12.21052632 16.78947368],0
d3,1,0.573373,0.317071,[4 5] ; [16 13],[4.73684211 4.26315789] ; [15.26315789 13.73684211],0
s3,1,0.62434,0.239815,[3 6] ; [ 7 21],[2.43243243 6.56756757] ; [ 7.56756757 20.43243243],0
a7,1,0.666177,0.186107,[6 3] ; [17 12],[5.44736842 3.55263158] ; [17.55263158 11.44736842],0
b4,1,0.702782,0.145594,[4 5] ; [15 14],[4.5 4.5] ; [14.5 14.5],0
s2,1,0.709065,0.139212,[2 7] ; [ 8 20],[2.43243243 6.56756757] ; [ 7.56756757 20.43243243],0
d4,1,0.749543,0.101916,[7 2] ; [21  8],[6.63157895 2.36842105] ; [21.36842105  7.63157895],0
d2,1,0.802746,0.062397,[3 6] ; [11 18],[3.31578947 5.68421053] ; [10.68421053 18.31578947],0
a6,1,0.802746,0.062397,[6 3] ; [18 11],[5.68421053 3.31578947] ; [18.31578947 10.68421053],0
n1,1,0.803017,0.062222,[2 3] ; [3 6],[1.78571429 3.21428571] ; [3.21428571 5.78571429],0
a4,1,0.870754,0.026472,[4 5] ; [12 17],[3.78947368 5.21052632] ; [12.21052632 16.78947368],0
b1,1,0.870754,0.026472,[5 4] ; [17 12],[5.21052632 3.78947368] ; [16.78947368 12.21052632],0
p1,1,0.947825,0.004282,[1 8] ; [ 3 26],[0.94736842 8.05263158] ; [ 3.05263158 25.94736842],0
d1,1,0.949371,0.004032,[3 6] ; [10 19],[3.07894737 5.92105263] ; [ 9.92105263 19.07894737],0
