Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.701627,[28 19] ; [ 6 40],[17.1827957 29.8172043] ; [16.8172043 29.1827957],1
p11,1,0.000227,13.59042,[29 21] ; [10 37],[20.10309278 29.89690722] ; [18.89690722 28.10309278],1
p10,1,0.000918,10.985272,[31 19] ; [13 33],[22.91666667 27.08333333] ; [21.08333333 24.91666667],1
p9,1,0.001427,10.170814,[34 15] ; [16 28],[26.34408602 22.65591398] ; [23.65591398 20.34408602],0
d4,1,0.002045,9.508604,[42  8] ; [26 21],[35.05154639 14.94845361] ; [32.94845361 14.05154639],0
n6,1,0.002242,9.34001,[34 15] ; [18 29],[26.54166667 22.45833333] ; [25.45833333 21.54166667],0
p2,1,0.005724,7.635149,[32 17] ; [17 29],[25.27368421 23.72631579] ; [23.72631579 22.27368421],0
s2,1,0.010239,6.592829,[19 31] ; [ 7 40],[13.40206186 36.59793814] ; [12.59793814 34.40206186],0
s6,1,0.011707,6.35477,[24 26] ; [11 36],[18.04123711 31.95876289] ; [16.95876289 30.04123711],0
d1,1,0.028244,4.813119,[27 23] ; [15 32],[21.64948454 28.35051546] ; [20.35051546 26.64948454],0
a7,1,0.02994,4.712754,[28 22] ; [16 31],[22.68041237 27.31958763] ; [21.31958763 25.68041237],0
n5,1,0.039292,4.248217,[26 24] ; [34 13],[30.92783505 19.07216495] ; [29.07216495 17.92783505],0
p6,1,0.044509,4.037147,[10 38] ; [ 3 43],[ 6.63829787 41.36170213] ; [ 6.36170213 39.63829787],0
a1,1,0.049337,3.863854,[ 3 47] ; [ 9 38],[ 6.18556701 43.81443299] ; [ 5.81443299 41.18556701],0
s8,1,0.066304,3.372231,[11 39] ; [ 4 43],[ 7.73195876 42.26804124] ; [ 7.26804124 39.73195876],0
d3,1,0.06716,3.351092,[30 19] ; [20 27],[25.52083333 23.47916667] ; [24.47916667 22.52083333],0
v4,1,0.067802,3.335442,[32 17] ; [22 25],[27.5625 21.4375] ; [26.4375 20.5625],0
n3,1,0.071314,3.252525,[15  7] ; [10 14],[11.95652174 10.04347826] ; [13.04347826 10.95652174],0
d5,1,0.085486,2.957394,[37 13] ; [27 20],[32.98969072 17.01030928] ; [31.01030928 15.98969072],0
p4,1,0.087534,2.919141,[16 34] ; [ 8 39],[12.37113402 37.62886598] ; [11.62886598 35.37113402],0
s3,1,0.092959,2.822363,[22 27] ; [13 33],[18.05263158 30.94736842] ; [16.94736842 29.05263158],0
v1,1,0.106699,2.602451,[19 27] ; [12 35],[15.33333333 30.66666667] ; [15.66666667 31.33333333],0
p1,1,0.116769,2.460131,[ 2 48] ; [ 6 41],[ 4.12371134 45.87628866] ; [ 3.87628866 43.12371134],0
b1,1,0.116782,2.459957,[24 26] ; [30 17],[27.83505155 22.16494845] ; [26.16494845 20.83505155],0
b4,1,0.135389,2.229599,[34 16] ; [25 22],[30.41237113 19.58762887] ; [28.58762887 18.41237113],0
p7,1,0.165479,1.923433,[16 34] ; [ 9 37],[13.02083333 36.97916667] ; [11.97916667 34.02083333],0
b5,1,0.189593,1.720777,[29 21] ; [21 26],[25.77319588 24.22680412] ; [24.22680412 22.77319588],0
s4,1,0.20005,1.642006,[ 5 45] ; [ 9 38],[ 7.21649485 42.78350515] ; [ 6.78350515 40.21649485],0
s7,1,0.214754,1.539087,[15 31] ; [ 9 34],[12.40449438 33.59550562] ; [11.59550562 31.40449438],0
