Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,89.744744,[154  76] ; [ 3 72],[118.39344262 111.60655738] ; [38.60655738 36.39344262],1
d4,1,0.0,62.757164,[195  34] ; [28 45],[169.09602649  59.90397351] ; [53.90397351 19.09602649],1
d3,1,0.0,43.422657,[166  63] ; [22 52],[142.08580858  86.91419142] ; [45.91419142 28.08580858],1
a3,1,0.0,26.596709,[170  60] ; [30 43],[151.81518152  78.18481848] ; [48.18481848 24.81518152],1
a4,1,9e-06,19.722953,[117 112] ; [16 58],[100.51815182 128.48184818] ; [32.48184818 41.51815182],1
a5,1,1e-05,19.466702,[172  58] ; [35 39],[156.61184211  73.38815789] ; [50.38815789 23.61184211],1
d2,1,6.3e-05,16.01119,[124 103] ; [21 54],[108.99006623 118.00993377] ; [36.00993377 38.99006623],1
a7,1,9.3e-05,15.274681,[165  64] ; [35 39],[151.15511551  77.84488449] ; [48.84488449 25.15511551],1
a2,1,0.000228,13.58298,[ 62 168] ; [ 5 70],[ 50.52459016 179.47540984] ; [16.47540984 58.52459016],1
r3,1,0.000368,12.688942,[206  21] ; [56 19],[196.93377483  30.06622517] ; [65.06622517  9.93377483],1
n6,1,0.000544,11.9575,[205  24] ; [55 20],[195.85526316  33.14473684] ; [64.14473684 10.85526316],1
r1,1,0.000734,11.402271,[178  52] ; [43 32],[166.6557377  63.3442623] ; [54.3442623 20.6557377],1
r2,1,0.000863,11.101273,[210  17] ; [59 16],[202.19536424  24.80463576] ; [66.80463576  8.19536424],1
r4,1,0.001397,10.209883,[195  35] ; [51 24],[185.50819672  44.49180328] ; [60.49180328 14.50819672],0
p2,1,0.004742,7.975143,[180  49] ; [46 28],[170.80528053  58.19471947] ; [55.19471947 18.80528053],0
u1,1,0.006595,7.380111,[ 42 188] ; [ 4 71],[ 34.68852459 195.31147541] ; [11.31147541 63.68852459],0
v4,1,0.010776,6.501937,[210  19] ; [60 14],[204.05940594  24.94059406] ; [65.94059406  8.05940594],0
v2,1,0.011721,6.352522,[ 94 127] ; [18 52],[ 85.05841924 135.94158076] ; [26.94158076 43.05841924],0
p4,1,0.019166,5.486339,[127 102] ; [29 44],[118.29139073 110.70860927] ; [37.70860927 35.29139073],0
n4,1,0.026077,4.950876,[202  28] ; [58 17],[196.06557377  33.93442623] ; [63.93442623 11.06557377],0
p12,1,0.027421,4.864101,[ 11 217] ; [ 9 65],[ 15.09933775 212.90066225] ; [ 4.90066225 69.09933775],0
a6,1,0.029381,4.745149,[162  68] ; [42 32],[154.34210526  75.65789474] ; [49.65789474 24.34210526],0
s2,1,0.056776,3.629155,[109 119] ; [26 48],[101.9205298 126.0794702] ; [33.0794702 40.9205298],0
s8,1,0.065094,3.402586,[ 89 140] ; [20 54],[ 82.37953795 146.62046205] ; [26.62046205 47.37953795],0
p1,1,0.074979,3.170504,[ 18 211] ; [11 63],[ 21.91749175 207.08250825] ; [ 7.08250825 66.91749175],0
p9,1,0.076153,3.145149,[179  47] ; [49 22],[173.49494949  52.50505051] ; [54.50505051 16.49494949],0
s3,1,0.077933,3.107486,[130  98] ; [33 40],[123.46843854 104.53156146] ; [39.53156146 33.46843854],0
s4,1,0.114455,2.4916,[ 36 190] ; [18 57],[ 40.5448505 185.4551495] ; [13.4551495 61.5448505],0
u2,1,0.119474,2.424205,[34 25] ; [19 26],[30.06730769 28.93269231] ; [22.93269231 22.06730769],0
p11,1,0.125991,2.341214,[174  56] ; [50 25],[168.91803279  61.08196721] ; [55.08196721 19.91803279],0
p7,1,0.205221,1.604825,[127  98] ; [35 38],[122.31543624 102.68456376] ; [39.68456376 33.31543624],0
u3,1,0.212611,1.553558,[30 30] ; [17 28],[26.85714286 33.14285714] ; [20.14285714 24.85714286],0
s6,1,0.231384,1.432331,[141  84] ; [40 33],[136.66107383  88.33892617] ; [44.33892617 28.66107383],0
s7,1,0.233187,1.421316,[105 113] ; [28 42],[100.67361111 117.32638889] ; [32.32638889 37.67361111],0
p8,1,0.248246,1.333145,[ 99 128] ; [37 35],[103.25083612 123.74916388] ; [32.74916388 39.25083612],0
b5,1,0.306709,1.044796,[126 104] ; [36 39],[122.16393443 107.83606557] ; [39.83606557 35.16393443],0
s1,1,0.321966,0.980945,[  9 218] ; [ 5 69],[ 10.55813953 216.44186047] ; [ 3.44186047 70.55813953],0
p10,1,0.340631,0.908055,[172  57] ; [50 22],[168.89700997  60.10299003] ; [53.10299003 18.89700997],0
b1,1,0.414805,0.664986,[ 95 135] ; [35 40],[ 98.03278689 131.96721311] ; [31.96721311 43.03278689],0
a8,1,0.453535,0.561802,[ 31 178] ; [ 8 63],[ 29.11071429 179.88928571] ; [ 9.88928571 61.11071429],0
p3,1,0.492287,0.471523,[ 97 132] ; [28 46],[ 94.47194719 134.52805281] ; [30.52805281 43.47194719],0
n2,1,0.503561,0.447424,[50 18] ; [18  9],[48.67368421 19.32631579] ; [19.32631579  7.67368421],0
s5,1,0.553798,0.350557,[ 61 162] ; [22 49],[ 62.95578231 160.04421769] ; [20.04421769 50.95578231],0
n1,1,0.590749,0.289176,[26 39] ; [12 14],[27.14285714 37.85714286] ; [10.85714286 15.14285714],0
v3,1,0.697487,0.151099,[ 67 158] ; [20 53],[ 65.68791946 159.31208054] ; [21.31208054 51.68791946],0
n3,1,0.708503,0.139777,[44 23] ; [16 10],[43.22580645 23.77419355] ; [16.77419355  9.22580645],0
b4,1,0.748685,0.102639,[127 103] ; [43 32],[128.19672131 101.80327869] ; [41.80327869 33.19672131],0
p6,1,0.840893,0.040301,[ 69 159] ; [23 50],[ 69.68770764 158.31229236] ; [22.31229236 50.68770764],0
p5,1,0.914459,0.011538,[ 21 208] ; [ 7 66],[ 21.23178808 207.76821192] ; [ 6.76821192 66.23178808],0
a1,1,0.916757,0.010924,[ 13 217] ; [ 4 71],[ 12.81967213 217.18032787] ; [ 4.18032787 70.81967213],0
b3,1,0.924591,0.008959,[47 87] ; [14 25],[47.24855491 86.75144509] ; [13.75144509 25.24855491],0
b2,1,0.924591,0.008959,[47 87] ; [14 25],[47.24855491 86.75144509] ; [13.75144509 25.24855491],0
