Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.078743,3.090659,[3 3] ; [32  7],[4.66666667 1.33333333] ; [30.33333333  8.66666667],0
d2,1,0.089874,2.876634,[5 1] ; [18 21],[3.06666667 2.93333333] ; [19.93333333 19.06666667],0
a4,1,0.113598,2.503434,[1 5] ; [20 19],[2.8 3.2] ; [18.2 20.8],0
s8,1,0.127538,2.322222,[5 1] ; [19 19],[3.27272727 2.72727273] ; [20.72727273 17.27272727],0
a7,1,0.152078,2.051282,[2 4] ; [25 14],[3.6 2.4] ; [23.4 15.6],0
d1,1,0.173389,1.853395,[5 1] ; [21 18],[3.46666667 2.53333333] ; [22.53333333 16.46666667],0
s2,1,0.210133,1.570513,[5 1] ; [22 17],[3.6 2.4] ; [23.4 15.6],0
p12,1,0.300466,1.072125,[2 4] ; [ 6 32],[1.09090909 4.90909091] ; [ 6.90909091 31.09090909],0
p7,1,0.312819,1.018737,[5 1] ; [23 14],[3.90697674 2.09302326] ; [24.09302326 12.90697674],0
v1,1,0.346255,0.887134,[4 2] ; [17 20],[2.93023256 3.06976744] ; [18.06976744 18.93023256],0
b5,1,0.349397,0.875646,[2 4] ; [21 18],[3.06666667 2.93333333] ; [19.93333333 19.06666667],0
p3,1,0.411673,0.673963,[5 1] ; [26 13],[4.13333333 1.86666667] ; [26.86666667 12.13333333],0
p6,1,0.52111,0.411696,[4 2] ; [20 18],[3.27272727 2.72727273] ; [20.72727273 17.27272727],0
d5,1,0.551846,0.354021,[5 1] ; [28 11],[4.4 1.6] ; [28.6 10.4],0
b4,1,0.591208,0.288462,[3 3] ; [24 15],[3.6 2.4] ; [23.4 15.6],0
r1,1,0.633938,0.226759,[5 1] ; [29 10],[4.53333333 1.46666667] ; [29.46666667  9.53333333],0
a1,1,0.641838,0.216346,[1 5] ; [ 4 35],[0.66666667 5.33333333] ; [ 4.33333333 34.66666667],0
s5,1,0.667258,0.184827,[2 1] ; [21 18],[1.64285714 1.35714286] ; [21.35714286 17.64285714],0
p11,1,0.691615,0.157343,[4 2] ; [29 10],[4.4 1.6] ; [28.6 10.4],0
a6,1,0.7203,0.128205,[4 2] ; [23 16],[3.6 2.4] ; [23.4 15.6],0
d4,1,0.725134,0.123626,[5 1] ; [30  9],[4.66666667 1.33333333] ; [30.33333333  8.66666667],0
b1,1,0.768625,0.086538,[3 3] ; [22 17],[3.33333333 2.66666667] ; [21.66666667 17.33333333],0
s1,1,0.796401,0.066568,[1 5] ; [ 5 34],[0.8 5.2] ; [ 5.2 33.8],0
p1,1,0.796401,0.066568,[2 4] ; [11 28],[1.73333333 4.26666667] ; [11.26666667 27.73333333],0
a8,1,0.836193,0.042752,[1 5] ; [ 5 32],[0.8372093 5.1627907] ; [ 5.1627907 31.8372093],0
s7,1,0.858499,0.031786,[4 2] ; [26 11],[4.18604651 1.81395349] ; [25.81395349 11.18604651],0
u3,1,0.919154,0.010302,[1 1] ; [7 6],[1.06666667 0.93333333] ; [6.93333333 6.06666667],0
u2,1,0.919154,0.010302,[1 1] ; [6 7],[0.93333333 1.06666667] ; [6.06666667 6.93333333],0
b3,1,0.927426,0.008296,[1 2] ; [ 9 16],[1.07142857 1.92857143] ; [ 8.92857143 16.07142857],0
b2,1,0.927426,0.008296,[1 2] ; [ 9 16],[1.07142857 1.92857143] ; [ 8.92857143 16.07142857],0
v3,1,1.0,0.0,[2 4] ; [13 26],[2. 4.] ; [13. 26.],0
a3,1,1.0,0.0,[4 2] ; [26 13],[4. 2.] ; [26. 13.],0
d3,1,1.0,0.0,[4 2] ; [26 13],[4. 2.] ; [26. 13.],0
