Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.5e-05,18.701123,[44 70] ; [ 17 105],[29.46610169 84.53389831] ; [31.53389831 90.46610169],1
r3,1,0.000155,14.308681,[118   2] ; [106  19],[109.71428571  10.28571429] ; [114.28571429  10.71428571],1
d5,1,0.000238,13.500621,[102  18] ; [80 44],[89.50819672 30.49180328] ; [92.49180328 31.50819672],1
d1,1,0.000266,13.297259,[75 45] ; [49 76],[60.73469388 59.26530612] ; [63.26530612 61.73469388],1
v1,1,0.001578,9.985268,[55 61] ; [34 89],[43.19665272 72.80334728] ; [45.80334728 77.19665272],0
a6,1,0.002768,8.954546,[83 37] ; [63 62],[71.51020408 48.48979592] ; [74.48979592 50.51020408],0
a5,1,0.005742,7.629558,[84 36] ; [66 59],[73.46938776 46.53061224] ; [76.53061224 48.46938776],0
r1,1,0.01048,6.551511,[93 26] ; [79 46],[83.8852459 35.1147541] ; [88.1147541 36.8852459],0
r2,1,0.011049,6.45737,[111   7] ; [103  20],[104.78008299  13.21991701] ; [109.21991701  13.78008299],0
d3,1,0.013666,6.080755,[92 28] ; [77 47],[83.1147541 36.8852459] ; [85.8852459 38.1147541],0
n6,1,0.019933,5.417721,[82 37] ; [68 57],[73.1557377 45.8442623] ; [76.8442623 48.1557377],0
a3,1,0.020445,5.373492,[84 36] ; [69 55],[75.24590164 44.75409836] ; [77.75409836 46.24590164],0
d4,1,0.022686,5.192406,[104  16] ; [94 31],[96.97959184 23.02040816] ; [101.02040816  23.97959184],0
u1,1,0.044683,4.030547,[ 17 103] ; [  8 117],[ 12.24489796 107.75510204] ; [ 12.75510204 112.24489796],0
p12,1,0.048461,3.893925,[  6 113] ; [  1 123],[  3.42798354 115.57201646] ; [  3.57201646 120.42798354],0
d2,1,0.089968,2.874954,[56 64] ; [45 80],[49.46938776 70.53061224] ; [51.53061224 73.46938776],0
r4,1,0.110149,2.552083,[101  19] ; [95 30],[96. 24.] ; [100.  25.],0
a2,1,0.114908,2.485385,[22 98] ; [ 14 111],[ 17.63265306 102.36734694] ; [ 18.36734694 106.63265306],0
n4,1,0.117472,2.450704,[55 65] ; [45 80],[48.97959184 71.02040816] ; [51.02040816 73.97959184],0
s6,1,0.172898,1.857639,[66 52] ; [58 65],[60.71369295 57.28630705] ; [63.28630705 59.71369295],0
s1,1,0.1771,1.821795,[  4 116] ; [  9 116],[  6.36734694 113.63265306] ; [  6.63265306 118.36734694],0
u3,1,0.19712,1.663582,[18 18] ; [35 20],[20.96703297 15.03296703] ; [32.03296703 22.96703297],0
p9,1,0.2591,1.273559,[82 36] ; [77 46],[77.85062241 40.14937759] ; [81.14937759 41.85062241],0
s8,1,0.313447,1.016095,[39 81] ; [33 91],[35.40983607 84.59016393] ; [36.59016393 87.40983607],0
a7,1,0.338373,0.916585,[88 32] ; [84 40],[84.59016393 35.40983607] ; [87.40983607 36.59016393],0
s2,1,0.38921,0.741408,[50 70] ; [45 79],[46.72131148 73.27868852] ; [48.27868852 75.72131148],0
p11,1,0.413955,0.667413,[79 41] ; [76 49],[75.91836735 44.08163265] ; [79.08163265 45.91836735],0
s7,1,0.427855,0.62864,[41 76] ; [35 81],[38.16309013 78.83690987] ; [37.83690987 78.16309013],0
b1,1,0.429089,0.625289,[44 76] ; [52 73],[47.02040816 72.97959184] ; [48.97959184 76.02040816],0
