Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000239,13.496796,[ 47 101] ; [17  7],[55.06976744 92.93023256] ; [ 8.93023256 15.06976744],1
s6,1,0.001426,10.171221,[71 76] ; [20  4],[78.22807018 68.77192982] ; [12.77192982 11.22807018],0
s7,1,0.00436,8.127393,[ 44 100] ; [15 10],[50.27218935 93.72781065] ; [ 8.72781065 16.27218935],0
s5,1,0.00481,7.949644,[ 32 110] ; [12 12],[ 37.63855422 104.36144578] ; [ 6.36144578 17.63855422],0
s3,1,0.005585,7.679482,[61 84] ; [18  7],[67.38235294 77.61764706] ; [11.61764706 13.38235294],0
b1,1,0.024989,5.024649,[51 97] ; [ 3 22],[ 46.19653179 101.80346821] ; [ 7.80346821 17.19653179],0
u3,1,0.037627,4.321792,[30 22] ; [10  1],[33.01587302 18.98412698] ; [6.98412698 4.01587302],0
p10,1,0.046238,3.972897,[100  46] ; [22  3],[104.16374269  41.83625731] ; [17.83625731  7.16374269],0
p2,1,0.051376,3.795971,[123  23] ; [17  8],[119.53216374  26.46783626] ; [20.46783626  4.53216374],0
n4,1,0.155093,2.021432,[70 78] ; [ 8 17],[66.7283237 81.2716763] ; [11.2716763 13.7283237],0
n3,1,0.189038,1.7251,[34  9] ; [2 2],[32.93617021 10.06382979] ; [3.06382979 0.93617021],0
u1,1,0.262243,1.256879,[ 13 135] ; [ 4 21],[ 14.5433526 133.4566474] ; [ 2.4566474 22.5433526],0
v2,1,0.312145,1.021579,[75 67] ; [10 14],[72.71084337 69.28915663] ; [12.28915663 11.71084337],0
p6,1,0.332678,0.938447,[ 38 105] ; [ 9 16],[ 40.00595238 102.99404762] ; [ 6.99404762 18.00595238],0
b5,1,0.351315,0.868703,[86 62] ; [17  8],[88.11560694 59.88439306] ; [14.88439306 10.11560694],0
p8,1,0.371636,0.798186,[70 78] ; [ 9 15],[67.97674419 80.02325581] ; [11.02325581 12.97674419],0
a3,1,0.394225,0.72587,[96 52] ; [14 11],[94.10404624 53.89595376] ; [15.89595376  9.10404624],0
n1,1,0.398103,0.71405,[13 31] ; [2 2],[13.75 30.25] ; [1.25 2.75],0
r2,1,0.399865,0.708731,[131  13] ; [24  1],[132.07100592  11.92899408] ; [22.92899408  2.07100592],0
p9,1,0.468167,0.526299,[114  33] ; [21  4],[115.37790698  31.62209302] ; [19.62209302  5.37790698],0
a4,1,0.48639,0.484502,[52 96] ; [ 7 18],[50.47398844 97.52601156] ; [ 8.52601156 16.47398844],0
d4,1,0.498018,0.459157,[121  27] ; [19  6],[119.76878613  28.23121387] ; [20.23121387  4.76878613],0
d5,1,0.507972,0.438243,[110  38] ; [17  8],[108.64739884  39.35260116] ; [18.35260116  6.64739884],0
v4,1,0.550571,0.356296,[135  11] ; [23  1],[135.69411765  10.30588235] ; [22.30588235  1.69411765],0
p5,1,0.591563,0.28791,[ 10 136] ; [ 1 24],[  9.39181287 136.60818713] ; [ 1.60818713 23.39181287],0
d1,1,0.622248,0.242721,[73 75] ; [11 14],[71.86127168 76.13872832] ; [12.13872832 12.86127168],0
d2,1,0.665243,0.187217,[54 94] ; [ 8 17],[53.04046243 94.95953757] ; [ 8.95953757 16.04046243],0
