Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.7e-05,17.032065,[12 17] ; [58 12],[20.50505051  8.49494949] ; [49.49494949 20.50505051],1
p2,1,0.000114,14.894594,[14 15] ; [59 10],[21.60204082  7.39795918] ; [51.39795918 17.60204082],1
a6,1,0.000617,11.723191,[10 19] ; [50 20],[17.57575758 11.42424242] ; [42.42424242 27.57575758],1
d5,1,0.008816,6.859741,[18 11] ; [60 10],[22.84848485  6.15151515] ; [55.15151515 14.84848485],0
n6,1,0.01272,6.207646,[11 18] ; [45 24],[16.57142857 12.42857143] ; [39.42857143 29.57142857],0
n1,1,0.013124,6.152347,[7 4] ; [ 3 14],[3.92857143 7.07142857] ; [ 6.07142857 10.92857143],0
a2,1,0.014428,5.984975,[ 1 28] ; [17 53],[ 5.27272727 23.72727273] ; [12.72727273 57.27272727],0
p9,1,0.035477,4.422045,[16 12] ; [54 15],[20.20618557  7.79381443] ; [49.79381443 19.20618557],0
v3,1,0.045681,3.99333,[ 6 20] ; [31 37],[10.23404255 15.76595745] ; [26.76595745 41.23404255],0
d1,1,0.054489,3.697665,[10 19] ; [39 31],[14.35353535 14.64646465] ; [34.64646465 35.35353535],0
p8,1,0.063736,3.437402,[ 8 21] ; [33 36],[12.13265306 16.86734694] ; [28.86734694 40.13265306],0
v2,1,0.077232,3.122213,[13 14] ; [46 22],[16.76842105 10.23157895] ; [42.23157895 25.76842105],0
s3,1,0.092869,2.823928,[18 11] ; [30 39],[14.20408163 14.79591837] ; [33.79591837 35.20408163],0
p6,1,0.119167,2.42823,[ 5 22] ; [23 43],[ 8.12903226 18.87096774] ; [19.87096774 46.12903226],0
a4,1,0.152875,2.043327,[17 12] ; [30 40],[13.76767677 15.23232323] ; [33.23232323 36.76767677],0
d4,1,0.165218,1.925804,[22  7] ; [61  9],[24.31313131  4.68686869] ; [58.68686869 11.31313131],0
s2,1,0.184935,1.757512,[16 13] ; [28 41],[13.02040816 15.97959184] ; [30.97959184 38.02040816],0
