Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,95.25748,[ 36 129] ; [172  70],[84.32432432 80.67567568] ; [123.67567568 118.32432432],1
s2,1,0.0,93.252844,[ 26 140] ; [156  88],[73.68780488 92.31219512] ; [108.31219512 135.68780488],1
s5,1,0.0,55.686868,[ 11 150] ; [ 96 140],[ 43.3929471 117.6070529] ; [ 63.6070529 172.3929471],1
s7,1,0.0,48.058632,[ 34 123] ; [135 102],[67.34263959 89.65736041] ; [101.65736041 135.34263959],1
s8,1,0.0,46.405403,[ 26 141] ; [118 127],[ 58.36893204 108.63106796] ; [ 85.63106796 159.36893204],1
p4,1,1e-06,24.731715,[ 58 106] ; [147  96],[82.6044226 81.3955774] ; [122.3955774 120.6044226],1
s4,1,2e-06,22.51953,[ 15 152] ; [ 68 173],[ 33.97303922 133.02696078] ; [ 49.02696078 191.97303922],1
r4,1,5.1e-05,16.413408,[132  35] ; [227  18],[145.51699029  21.48300971] ; [213.48300971  31.51699029],1
p5,1,0.000266,13.295843,[  2 165] ; [ 25 218],[ 10.99756098 156.00243902] ; [ 16.00243902 226.99756098],1
r1,1,0.000276,13.22429,[109  58] ; [198  46],[124.74209246  42.25790754] ; [182.25790754  61.74209246],1
p9,1,0.000347,12.798759,[110  54] ; [198  42],[125.02970297  38.97029703] ; [182.97029703  57.02970297],1
p12,1,0.000384,12.609765,[  1 166] ; [ 21 222],[  8.96097561 158.03902439] ; [ 13.03902439 229.96097561],1
p7,1,0.000556,11.918263,[77 87] ; [153  85],[93.83084577 70.16915423] ; [136.16915423 101.83084577],1
p10,1,0.000637,11.665289,[107  59] ; [192  49],[121.95085995  44.04914005] ; [177.04914005  63.95085995],1
p3,1,0.001184,10.514435,[ 51 115] ; [114 130],[66.80487805 99.19512195] ; [ 98.19512195 145.80487805],0
r3,1,0.001303,10.338102,[145  21] ; [234  10],[153.44878049  12.55121951] ; [225.55121951  18.44878049],0
u1,1,0.001766,9.777633,[ 13 154] ; [ 46 199],[ 23.91504854 143.08495146] ; [ 35.08495146 209.91504854],0
