Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,7e-06,20.190338,[317  41] ; [25 15],[307.6281407  50.3718593] ; [34.3718593  5.6281407],1
r4,1,8.3e-05,15.486675,[335  24] ; [30 10],[328.4085213  30.5914787] ; [36.5914787  3.4085213],1
p10,1,0.002371,9.237514,[309  45] ; [27 12],[302.65648855  51.34351145] ; [33.34351145  5.65648855],0
p9,1,0.002469,9.163636,[314  38] ; [29 11],[308.  44.] ; [35.  5.],0
r2,1,0.002652,9.032501,[339  15] ; [32  6],[335.03571429  18.96428571] ; [35.96428571  2.03571429],0
b1,1,0.006889,7.301614,[128 231] ; [23 17],[135.86215539 223.13784461] ; [15.13784461 24.86215539],0
u1,1,0.01925,5.478653,[ 85 274] ; [ 3 37],[ 79.17794486 279.82205514] ; [ 8.82205514 31.17794486],0
p11,1,0.021579,5.279376,[303  56] ; [28 12],[297.81704261  61.18295739] ; [33.18295739  6.81704261],0
v3,1,0.027534,4.856998,[214 139] ; [16 22],[207.64705882 145.35294118] ; [22.35294118 15.64705882],0
a2,1,0.028807,4.779117,[103 256] ; [ 5 35],[ 97.17293233 261.82706767] ; [10.82706767 29.17293233],0
s8,1,0.029875,4.716463,[188 166] ; [14 26],[181.49238579 172.50761421] ; [20.50761421 19.49238579],0
a4,1,0.031528,4.623974,[180 177] ; [13 27],[173.55415617 183.44584383] ; [19.44584383 20.55415617],0
p5,1,0.042443,4.117465,[ 49 308] ; [ 1 39],[ 44.96221662 312.03778338] ; [ 5.03778338 34.96221662],0
p4,1,0.050937,3.810357,[237 117] ; [20 19],[231.49618321 122.50381679] ; [25.50381679 13.49618321],0
a6,1,0.081549,3.033749,[253 104] ; [23 17],[248.19143577 108.80856423] ; [27.80856423 12.19143577],0
u2,1,0.094497,2.796041,[44 39] ; [6 1],[46.11111111 36.88888889] ; [3.88888889 3.11111111],0
p8,1,0.101758,2.677777,[200 149] ; [17 22],[195.18814433 153.81185567] ; [21.81185567 17.18814433],0
b4,1,0.106206,2.609787,[218 141] ; [19 21],[213.2406015 145.7593985] ; [23.7593985 16.2406015],0
d1,1,0.107029,2.597554,[243 116] ; [22 18],[238.43358396 120.56641604] ; [26.56641604 13.43358396],0
p3,1,0.111871,2.527585,[212 145] ; [18 21],[207.34848485 149.65151515] ; [22.65151515 16.34848485],0
s6,1,0.11243,2.519732,[245 106] ; [23 17],[240.5831202 110.4168798] ; [27.4168798 12.5831202],0
s5,1,0.115054,2.483388,[128 214] ; [ 9 28],[123.62532982 218.37467018] ; [13.37467018 23.62532982],0
p2,1,0.116819,2.459459,[308  49] ; [30  9],[304.71212121  52.28787879] ; [33.28787879  5.71212121],0
b2,1,0.122623,2.383499,[ 95 146] ; [ 5 17],[ 91.63498099 149.36501901] ; [ 8.36501901 13.63498099],0
b3,1,0.122623,2.383499,[ 95 146] ; [ 5 17],[ 91.63498099 149.36501901] ; [ 8.36501901 13.63498099],0
s2,1,0.129427,2.299367,[194 158] ; [17 23],[189.46938776 162.53061224] ; [21.53061224 18.46938776],0
a8,1,0.130554,2.285908,[ 58 257] ; [ 3 33],[ 54.74358974 260.25641026] ; [ 6.25641026 29.74358974],0
s7,1,0.134676,2.237764,[198 139] ; [17 20],[193.72994652 143.27005348] ; [21.27005348 15.72994652],0
a7,1,0.171643,1.868531,[267  89] ; [26 14],[263.4040404  92.5959596] ; [29.5959596 10.4040404],0
d2,1,0.216864,1.525002,[206 151] ; [19 21],[202.32997481 154.67002519] ; [22.67002519 17.32997481],0
n2,1,0.234312,1.414493,[42 12] ; [12  1],[43.52238806 10.47761194] ; [10.47761194  2.52238806],0
v1,1,0.250027,1.323155,[239 112] ; [23 16],[235.8 115.2] ; [26.2 12.8],0
p6,1,0.274984,1.191714,[152 198] ; [13 25],[148.84020619 201.15979381] ; [16.15979381 21.84020619],0
a1,1,0.277926,1.177206,[ 25 334] ; [ 1 39],[ 23.39348371 335.60651629] ; [ 2.60651629 37.39348371],0
u3,1,0.375769,0.784497,[46 39] ; [5 2],[47.11956522 37.88043478] ; [3.88043478 3.11956522],0
a5,1,0.38916,0.741566,[289  69] ; [30 10],[286.93969849  71.06030151] ; [32.06030151  7.93969849],0
a3,1,0.410202,0.678216,[274  83] ; [33  7],[276.06801008  80.93198992] ; [30.93198992  9.06801008],0
d4,1,0.448233,0.575116,[310  47] ; [33  7],[308.44080605  48.55919395] ; [34.55919395  5.44080605],0
b5,1,0.467091,0.528849,[212 147] ; [26 14],[214.14035088 144.85964912] ; [23.85964912 16.14035088],0
d3,1,0.468472,0.525578,[261  97] ; [27 13],[259.05527638  98.94472362] ; [28.94472362 11.05527638],0
r1,1,0.47185,0.51764,[303  56] ; [32  8],[301.4160401  57.5839599] ; [33.5839599  6.4160401],0
v4,1,0.480233,0.498335,[340  18] ; [36  3],[339.06297229  18.93702771] ; [36.93702771  2.06297229],0
s3,1,0.52786,0.39851,[198 152] ; [20 19],[196.14395887 153.85604113] ; [21.85604113 17.14395887],0
d5,1,0.575047,0.31431,[308  51] ; [33  7],[306.81453634  52.18546366] ; [34.18546366  5.81453634],0
p12,1,0.59556,0.281745,[ 37 319] ; [ 3 36],[ 36.05063291 319.94936709] ; [ 3.94936709 35.05063291],0
s4,1,0.63846,0.220761,[ 44 311] ; [ 6 34],[ 44.93670886 310.06329114] ; [ 5.06329114 34.93670886],0
p7,1,0.703723,0.144628,[243 106] ; [26 13],[241.96134021 107.03865979] ; [27.03865979 11.96134021],0
p1,1,0.828625,0.046857,[ 32 325] ; [ 4 36],[ 32.37279597 324.62720403] ; [ 3.62720403 36.37279597],0
n1,1,0.85862,0.031731,[21 33] ; [5 7],[21.27272727 32.72727273] ; [4.72727273 7.27272727],0
s1,1,0.884412,0.021135,[  8 346] ; [ 1 37],[  8.12755102 345.87244898] ; [ 0.87244898 37.12755102],0
r3,1,0.912386,0.012107,[347  10] ; [39  1],[347.10831234   9.89168766] ; [38.89168766  1.10831234],0
u4,1,0.916684,0.010944,[ 10 349] ; [ 1 39],[  9.89724311 349.10275689] ; [ 1.10275689 38.89724311],0
n3,1,0.931298,0.007432,[46  9] ; [11  2],[46.10294118  8.89705882] ; [10.89705882  2.10294118],0
