Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.004532,8.05714,[ 9 21] ; [24 13],[14.7761194 15.2238806] ; [18.2238806 18.7761194],0
b5,1,0.011651,6.363204,[11 19] ; [25 12],[16.11940299 13.88059701] ; [19.88059701 17.11940299],0
d1,1,0.01344,6.110309,[ 8 22] ; [21 16],[12.98507463 17.01492537] ; [16.01492537 20.98507463],0
d5,1,0.055454,3.668383,[16 14] ; [28  9],[19.70149254 10.29850746] ; [24.29850746 12.70149254],0
a6,1,0.070929,3.2614,[12 18] ; [23 14],[15.67164179 14.32835821] ; [19.32835821 17.67164179],0
p7,1,0.113129,2.509958,[18 12] ; [15 22],[14.7761194 15.2238806] ; [18.2238806 18.7761194],0
p11,1,0.144895,2.125188,[15 15] ; [12 25],[12.08955224 17.91044776] ; [14.91044776 22.08955224],0
s6,1,0.148596,2.086601,[ 9 20] ; [18 19],[11.86363636 17.13636364] ; [15.13636364 21.86363636],0
n2,1,0.166926,1.91034,[10  4] ; [ 9 10],[8.06060606 5.93939394] ; [10.93939394  8.06060606],0
d4,1,0.24427,1.355778,[19 10] ; [29  8],[21.09090909  7.90909091] ; [26.90909091 10.09090909],0
p2,1,0.252115,1.311544,[12 18] ; [20 17],[14.32835821 15.67164179] ; [17.67164179 19.32835821],0
v4,1,0.262111,1.257571,[21  8] ; [31  6],[22.84848485  6.15151515] ; [29.15151515  7.84848485],0
s7,1,0.290565,1.117001,[ 4 24] ; [ 9 27],[ 5.6875 22.3125] ; [ 7.3125 28.6875],0
r2,1,0.31171,1.023418,[25  5] ; [27 10],[23.28358209  6.71641791] ; [28.71641791  8.28358209],0
s8,1,0.334947,0.929676,[ 3 26] ; [ 7 30],[ 4.39393939 24.60606061] ; [ 5.60606061 31.39393939],0
r1,1,0.338609,0.915689,[16 14] ; [24 13],[17.91044776 12.08955224] ; [22.08955224 14.91044776],0
u1,1,0.412068,0.672826,[ 1 29] ; [ 3 34],[ 1.79104478 28.20895522] ; [ 2.20895522 34.79104478],0
n5,1,0.433217,0.614184,[ 9 21] ; [ 8 29],[ 7.6119403 22.3880597] ; [ 9.3880597 27.6119403],0
a3,1,0.438759,0.599525,[15 15] ; [22 15],[16.56716418 13.43283582] ; [20.43283582 16.56716418],0
p4,1,0.44381,0.586413,[11 19] ; [17 20],[12.53731343 17.46268657] ; [15.46268657 21.53731343],0
r3,1,0.463836,0.536623,[23  7] ; [31  6],[24.17910448  5.82089552] ; [29.82089552  7.17910448],0
v3,1,0.507122,0.44,[ 6 24] ; [ 5 31],[ 5. 25.] ; [ 6. 30.],0
d2,1,0.51352,0.426888,[13 17] ; [19 18],[14.32835821 15.67164179] ; [17.67164179 19.32835821],0
b3,1,0.513526,0.426875,[ 2 13] ; [ 5 18],[ 2.76315789 12.23684211] ; [ 4.23684211 18.76315789],0
b2,1,0.513526,0.426875,[ 2 13] ; [ 5 18],[ 2.76315789 12.23684211] ; [ 4.23684211 18.76315789],0
n3,1,0.521692,0.410547,[7 6] ; [13  7],[7.87878788 5.12121212] ; [12.12121212  7.87878788],0
n6,1,0.547546,0.361732,[14 16] ; [20 17],[15.2238806 14.7761194] ; [18.7761194 18.2238806],0
b1,1,0.547546,0.361732,[14 16] ; [20 17],[15.2238806 14.7761194] ; [18.7761194 18.2238806],0
a4,1,0.574844,0.314644,[10 20] ; [10 27],[ 8.95522388 21.04477612] ; [11.04477612 25.95522388],0
r4,1,0.585244,0.297834,[19 11] ; [21 16],[17.91044776 12.08955224] ; [22.08955224 14.91044776],0
p10,1,0.610052,0.2601,[ 5 25] ; [ 8 29],[ 5.82089552 24.17910448] ; [ 7.17910448 29.82089552],0
p6,1,0.61775,0.249042,[ 5 24] ; [ 8 28],[ 5.8 23.2] ; [ 7.2 28.8],0
v1,1,0.630065,0.231973,[ 8 22] ; [ 8 29],[ 7.1641791 22.8358209] ; [ 8.8358209 28.1641791],0
a8,1,0.651143,0.204462,[ 1 28] ; [ 2 32],[ 1.38095238 27.61904762] ; [ 1.61904762 32.38095238],0
n1,1,0.662597,0.190385,[ 3 10] ; [ 6 14],[3.54545455 9.45454545] ; [ 5.45454545 14.54545455],0
s5,1,0.677737,0.172685,[ 6 23] ; [ 6 30],[ 5.35384615 23.64615385] ; [ 6.64615385 29.35384615],0
s3,1,0.682227,0.167629,[12 18] ; [13 24],[11.19402985 18.80597015] ; [13.80597015 23.19402985],0
p1,1,0.683416,0.166305,[ 1 29] ; [ 2 35],[ 1.34328358 28.65671642] ; [ 1.65671642 35.34328358],0
v2,1,0.69207,0.156853,[10 18] ; [15 22],[10.76923077 17.23076923] ; [14.23076923 22.76923077],0
u3,1,0.704786,0.143541,[9 6] ; [10  5],[9.5 5.5] ; [9.5 5.5],0
u2,1,0.715001,0.133333,[8 7] ; [7 8],[7.5 7.5] ; [7.5 7.5],0
s2,1,0.721186,0.127359,[ 9 20] ; [10 27],[ 8.34848485 20.65151515] ; [10.65151515 26.34848485],0
a5,1,0.779309,0.078523,[14 16] ; [16 21],[13.43283582 16.56716418] ; [16.56716418 20.43283582],0
p8,1,0.813571,0.055612,[10 20] ; [13 23],[10.45454545 19.54545455] ; [12.54545455 23.45454545],0
b4,1,0.856685,0.032615,[18 12] ; [23 14],[18.35820896 11.64179104] ; [22.64179104 14.35820896],0
s4,1,0.871032,0.026357,[ 6 24] ; [ 8 29],[ 6.26865672 23.73134328] ; [ 7.73134328 29.26865672],0
p3,1,0.877473,0.02377,[ 8 22] ; [ 9 27],[ 7.72727273 22.27272727] ; [ 9.27272727 26.72727273],0
s1,1,0.91408,0.011641,[ 3 27] ; [ 4 33],[ 3.13432836 26.86567164] ; [ 3.86567164 33.13432836],0
