Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.001123,10.613121,[115 151] ; [45 24],[127.04477612 138.95522388] ; [32.95522388 36.04477612],0
r4,1,0.001867,9.676214,[222  48] ; [67  2],[230.17699115  39.82300885] ; [58.82300885 10.17699115],0
s6,1,0.001893,9.650733,[118 144] ; [45 23],[129.41212121 132.58787879] ; [33.58787879 34.41212121],0
p6,1,0.003203,8.687816,[ 63 198] ; [29 40],[ 72.76363636 188.23636364] ; [19.23636364 49.76363636],0
d1,1,0.005067,7.855357,[137 133] ; [48 21],[147.34513274 122.65486726] ; [37.65486726 31.34513274],0
s3,1,0.007387,7.176455,[ 87 176] ; [34 33],[ 96.43333333 166.56666667] ; [24.56666667 42.43333333],0
s2,1,0.00821,6.987138,[ 61 205] ; [26 41],[ 69.4954955 196.5045045] ; [17.5045045 49.4954955],0
p3,1,0.011909,6.32442,[106 161] ; [39 30],[115.22321429 151.77678571] ; [29.77678571 39.22321429],0
p11,1,0.024406,5.065569,[205  65] ; [61  8],[211.85840708  58.14159292] ; [54.14159292 14.85840708],0
r1,1,0.024471,5.060969,[193  75] ; [58 10],[200.20238095  67.79761905] ; [50.79761905 17.20238095],0
p10,1,0.031366,4.632799,[192  71] ; [59 10],[198.83433735  64.16566265] ; [52.16566265 16.83433735],0
p9,1,0.038142,4.298666,[198  65] ; [60  9],[204.37951807  58.62048193] ; [53.62048193 15.37951807],0
p4,1,0.044104,4.052584,[133 132] ; [44 25],[140.43413174 124.56586826] ; [36.56586826 32.43413174],0
p7,1,0.058658,3.574939,[142 121] ; [46 23],[148.92771084 114.07228916] ; [39.07228916 29.92771084],0
r3,1,0.064133,3.427146,[235  32] ; [66  3],[239.1875  27.8125] ; [61.8125  7.1875],0
d5,1,0.070736,3.265861,[208  62] ; [60  9],[213.45132743  56.54867257] ; [54.54867257 14.45132743],0
p8,1,0.082675,3.011522,[116 147] ; [38 30],[122.36253776 140.63746224] ; [31.63746224 36.36253776],0
p2,1,0.087813,2.914009,[202  64] ; [59 10],[207.24179104  58.75820896] ; [53.75820896 15.24179104],0
a6,1,0.08803,2.91004,[193  77] ; [42 27],[187.16814159  82.83185841] ; [47.83185841 21.16814159],0
p1,1,0.103468,2.651262,[ 29 240] ; [ 3 66],[ 25.46745562 243.53254438] ; [ 6.53254438 62.46745562],0
v1,1,0.123204,2.376107,[128 136] ; [39 27],[133.6 130.4] ; [33.4 32.6],0
v4,1,0.14291,2.146341,[237  32] ; [65  4],[240.34911243  28.65088757] ; [61.65088757  7.34911243],0
a5,1,0.161422,1.960855,[184  86] ; [53 16],[188.76106195  81.23893805] ; [48.23893805 20.76106195],0
s4,1,0.191303,1.707555,[ 27 235] ; [11 58],[ 30.07854985 231.92145015] ; [ 7.92145015 61.07854985],0
n5,1,0.21009,1.570806,[226  42] ; [53 15],[222.53571429  45.46428571] ; [56.46428571 11.53571429],0
u3,1,0.215642,1.533138,[45 57] ; [15 11],[47.8125 54.1875] ; [12.1875 13.8125],0
b2,1,0.230798,1.435939,[ 53 100] ; [20 25],[56.40909091 96.59090909] ; [16.59090909 28.40909091],0
b3,1,0.230798,1.435939,[ 53 100] ; [20 25],[56.40909091 96.59090909] ; [16.59090909 28.40909091],0
d4,1,0.231486,1.431709,[204  65] ; [57 12],[207.71893491  61.28106509] ; [53.28106509 15.71893491],0
s5,1,0.256997,1.284863,[ 52 207] ; [17 47],[ 55.32817337 203.67182663] ; [13.67182663 50.32817337],0
s1,1,0.257945,1.279755,[  3 262] ; [ 2 64],[  4.00302115 260.99697885] ; [ 0.99697885 65.00302115],0
p5,1,0.272143,1.205915,[ 22 245] ; [ 3 66],[ 19.86607143 247.13392857] ; [ 5.13392857 63.86607143],0
v3,1,0.277763,1.178005,[ 83 177] ; [25 39],[ 86.66666667 173.33333333] ; [21.33333333 42.66666667],0
a8,1,0.289403,1.122399,[ 32 213] ; [12 54],[ 34.66237942 210.33762058] ; [ 9.33762058 56.66237942],0
u2,1,0.310102,1.030242,[47 54] ; [15 11],[49.30708661 51.69291339] ; [12.69291339 13.30708661],0
b4,1,0.337083,0.921496,[163 107] ; [46 23],[166.46017699 103.53982301] ; [42.53982301 26.46017699],0
a7,1,0.339041,0.914055,[190  79] ; [52 16],[193.16913947  75.83086053] ; [48.83086053 19.16913947],0
n2,1,0.342081,0.902618,[44 15] ; [8 5],[42.61111111 16.38888889] ; [9.38888889 3.61111111],0
a1,1,0.366792,0.814503,[ 15 255] ; [ 2 67],[ 13.53982301 256.46017699] ; [ 3.46017699 65.53982301],0
b1,1,0.424049,0.639066,[107 163] ; [31 38],[109.91150442 160.08849558] ; [28.08849558 40.91150442],0
n6,1,0.459961,0.545991,[219  49] ; [59 10],[221.08011869  46.91988131] ; [56.91988131 12.08011869],0
