Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,158.482758,[27 78] ; [274  34],[76.52542373 28.47457627] ; [224.47457627  83.52542373],1
s6,1,0.0,48.983634,[66 39] ; [277  25],[88.48894349 16.51105651] ; [254.51105651  47.48894349],1
s8,1,0.001338,10.289591,[59 45] ; [225  81],[72.03902439 31.96097561] ; [211.96097561  94.03902439],0
s5,1,0.002586,9.078812,[34 70] ; [145 146],[47.12911392 56.87088608] ; [131.87088608 159.12911392],0
r2,1,0.015841,5.820413,[96  7] ; [299   6],[99.71813725  3.28186275] ; [295.28186275   9.71813725],0
s4,1,0.026014,4.955107,[14 90] ; [ 73 234],[22.01459854 81.98540146] ; [ 64.98540146 242.01459854],0
d1,1,0.037255,4.338729,[58 47] ; [205 103],[66.86440678 38.13559322] ; [196.13559322 111.86440678],0
n2,1,0.037484,4.328291,[16 10] ; [51 11],[19.79545455  6.20454545] ; [47.20454545 14.79545455],0
b1,1,0.044626,4.032716,[33 72] ; [131 177],[41.69491525 63.30508475] ; [122.30508475 185.69491525],0
n5,1,0.047969,3.911073,[76 28] ; [252  55],[82.99756691 21.00243309] ; [245.00243309  61.99756691],0
r1,1,0.110377,2.548815,[83 22] ; [263  44],[88.17961165 16.82038835] ; [257.82038835  49.17961165],0
s1,1,0.127928,2.317471,[  2 102] ; [ 17 289],[ 4.8195122 99.1804878] ; [ 14.1804878 291.8195122],0
v4,1,0.130787,2.283133,[99  6] ; [298   8],[101.42335766   3.57664234] ; [295.57664234  10.42335766],0
p1,1,0.163699,1.939723,[ 7 98] ; [ 35 271],[10.72992701 94.27007299] ; [ 31.27007299 274.72992701],0
p7,1,0.165118,1.926714,[68 36] ; [217  82],[73.5483871 30.4516129] ; [211.4516129  87.5483871],0
p12,1,0.210368,1.568894,[ 7 96] ; [ 34 273],[10.3 92.7] ; [ 30.7 276.3],0
n1,1,0.231698,1.430409,[10 16] ; [32 29],[12.55172414 13.44827586] ; [29.44827586 31.55172414],0
d4,1,0.244673,1.353468,[86 19] ; [264  41],[89.63414634 15.36585366] ; [260.36585366  44.63414634],0
a3,1,0.270709,1.21315,[81 23] ; [254  53],[84.76885645 19.23114355] ; [250.23114355  56.76885645],0
p11,1,0.271617,1.208564,[80 25] ; [250  58],[83.89830508 21.10169492] ; [246.10169492  61.89830508],0
d3,1,0.272706,1.203084,[71 34] ; [224  82],[75.3649635 29.6350365] ; [219.6350365  86.3649635],0
p8,1,0.28032,1.165536,[53 50] ; [175 129],[57.7002457 45.2997543] ; [170.2997543 133.7002457],0
a4,1,0.282387,1.155565,[46 58] ; [155 153],[50.73786408 53.26213592] ; [150.26213592 157.73786408],0
b2,1,0.320954,0.985054,[37 40] ; [ 88 124],[33.30449827 43.69550173] ; [ 91.69550173 120.30449827],0
b3,1,0.320954,0.985054,[37 40] ; [ 88 124],[33.30449827 43.69550173] ; [ 91.69550173 120.30449827],0
n4,1,0.333603,0.934862,[85 20] ; [260  46],[88.13868613 16.86131387] ; [256.86131387  49.13868613],0
a8,1,0.338002,0.917994,[13 76] ; [ 54 229],[16.02956989 72.97043011] ; [ 50.97043011 232.02956989],0
p5,1,0.398601,0.712543,[14 91] ; [ 51 252],[16.72794118 88.27205882] ; [ 48.27205882 254.72794118],0
p6,1,0.400407,0.707103,[51 52] ; [136 168],[47.32432432 55.67567568] ; [139.67567568 164.32432432],0
b5,1,0.424593,0.637567,[64 41] ; [174 134],[60.50847458 44.49152542] ; [177.49152542 130.50847458],0
d2,1,0.463702,0.536943,[54 51] ; [170 136],[57.22627737 47.77372263] ; [166.77372263 139.22627737],0
p9,1,0.473964,0.51272,[90 13] ; [276  31],[91.94634146 11.05365854] ; [274.05365854  32.94634146],0
a1,1,0.520516,0.412871,[  5 100] ; [ 20 288],[ 6.3559322 98.6440678] ; [ 18.6440678 289.3559322],0
a2,1,0.530995,0.392488,[27 78] ; [ 89 219],[29.49152542 75.50847458] ; [ 86.50847458 221.49152542],0
