Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,85.739732,[129   5] ; [19 35],[105.4893617  28.5106383] ; [42.5106383 11.4893617],1
p11,1,2.6e-05,17.715165,[105  29] ; [26 29],[92.87830688 41.12169312] ; [38.12169312 16.87830688],1
s6,1,0.000323,12.933739,[94 39] ; [23 31],[83.21390374 49.78609626] ; [33.78609626 20.21390374],1
v4,1,0.002659,9.028136,[133   1] ; [49  5],[129.72340426   4.27659574] ; [52.27659574  1.72340426],0
p2,1,0.005123,7.83539,[106  27] ; [33 22],[98.33510638 34.66489362] ; [40.66489362 14.33510638],0
s8,1,0.005701,7.642546,[53 81] ; [10 44],[44.90425532 89.09574468] ; [18.09574468 35.90425532],0
s5,1,0.006813,7.321521,[48 82] ; [ 9 45],[40.27173913 89.72826087] ; [16.72826087 37.27173913],0
s2,1,0.008411,6.943739,[68 66] ; [16 38],[59.87234043 74.12765957] ; [24.12765957 29.87234043],0
s7,1,0.0095,6.726243,[50 79] ; [10 43],[42.52747253 86.47252747] ; [17.47252747 35.52747253],0
v1,1,0.010015,6.632189,[62 68] ; [15 40],[54.10810811 75.89189189] ; [22.89189189 32.10810811],0
a7,1,0.010688,6.516417,[104  29] ; [33 22],[96.92021277 36.07978723] ; [40.07978723 14.92021277],0
a5,1,0.01431,5.999551,[89 45] ; [26 29],[81.53439153 52.46560847] ; [33.46560847 21.53439153],0
v3,1,0.049856,3.846295,[40 86] ; [ 9 43],[34.68539326 91.31460674] ; [14.31460674 37.68539326],0
p8,1,0.052624,3.755831,[67 67] ; [19 36],[60.97354497 73.02645503] ; [25.02645503 29.97354497],0
p7,1,0.055736,3.659918,[80 48] ; [26 29],[74.1420765 53.8579235] ; [31.8579235 23.1420765],0
d3,1,0.077575,3.114996,[95 38] ; [32 23],[89.84574468 43.15425532] ; [37.15425532 17.84574468],0
v2,1,0.089379,2.885519,[68 57] ; [21 31],[62.85310734 62.14689266] ; [26.14689266 25.85310734],0
s1,1,0.123158,2.376688,[  2 132] ; [ 3 52],[  3.54497354 130.45502646] ; [ 1.45502646 53.54497354],0
n6,1,0.134503,2.239746,[94 38] ; [33 22],[89.64705882 42.35294118] ; [37.35294118 17.64705882],0
n5,1,0.138437,2.195248,[51 81] ; [15 40],[46.58823529 85.41176471] ; [19.41176471 35.58823529],0
s3,1,0.149069,2.08175,[71 62] ; [23 32],[66.5 66.5] ; [27.5 27.5],0
a6,1,0.212915,1.551493,[93 41] ; [33 22],[89.33333333 44.66666667] ; [36.66666667 18.33333333],0
d5,1,0.221106,1.497176,[101  32] ; [37 18],[97.62765957 35.37234043] ; [40.37234043 14.62765957],0
p4,1,0.249068,1.328524,[63 70] ; [21 34],[59.42553191 73.57446809] ; [24.57446809 30.42553191],0
b1,1,0.265818,1.238201,[40 94] ; [21 34],[43.24867725 90.75132275] ; [17.75132275 37.24867725],0
r2,1,0.290832,1.115766,[127   7] ; [54  1],[128.32804233   5.67195767] ; [52.67195767  2.32804233],0
d2,1,0.331324,0.943718,[46 88] ; [23 32],[48.92063492 85.07936508] ; [20.07936508 34.92063492],0
s4,1,0.373205,0.792964,[35 99] ; [11 44],[ 32.61375661 101.38624339] ; [13.38624339 41.61375661],0
p6,1,0.377958,0.777334,[35 97] ; [11 43],[32.64516129 99.35483871] ; [13.35483871 40.64516129],0
u2,1,0.427966,0.628336,[31 19] ; [12 11],[29.45205479 20.54794521] ; [13.54794521  9.45205479],0
p3,1,0.431836,0.617882,[52 82] ; [18 37],[49.62962963 84.37037037] ; [20.37037037 34.62962963],0
n2,1,0.438963,0.598992,[36  9] ; [15  6],[34.77272727 10.22727273] ; [16.22727273  4.77272727],0
b2,1,0.456461,0.554558,[20 39] ; [ 9 25],[18.39784946 40.60215054] ; [10.60215054 23.39784946],0
