Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2e-06,22.742688,[57  2] ; [7 7],[51.7260274  7.2739726] ; [12.2739726  1.7260274],1
r3,1,3e-06,22.11356,[58  1] ; [8 6],[53.34246575  5.65753425] ; [12.65753425  1.34246575],1
r1,1,5e-06,20.967939,[49 10] ; [ 3 11],[42.02739726 16.97260274] ; [9.97260274 4.02739726],1
v4,1,0.000973,10.878788,[56  3] ; [9 5],[52.53424658  6.46575342] ; [12.46575342  1.53424658],1
n4,1,0.004644,8.013194,[41 18] ; [ 4 10],[36.36986301 22.63013699] ; [8.63013699 5.36986301],0
v3,1,0.017446,5.650945,[24 35] ; [ 1 13],[20.20547945 38.79452055] ; [4.79452055 9.20547945],0
d2,1,0.027168,4.880112,[32 27] ; [ 3 11],[28.28767123 30.71232877] ; [6.71232877 7.28767123],0
b4,1,0.049801,3.848131,[38 21] ; [5 9],[34.75342466 24.24657534] ; [8.24657534 5.75342466],0
p11,1,0.086283,2.942399,[36 23] ; [5 9],[33.1369863 25.8630137] ; [7.8630137 6.1369863],0
s3,1,0.09599,2.770936,[35 23] ; [5 9],[32.22222222 25.77777778] ; [7.77777778 6.22222222],0
p2,1,0.110412,2.548311,[46 13] ; [8 6],[43.64383562 15.35616438] ; [10.35616438  3.64383562],0
n5,1,0.110582,2.545881,[35 24] ; [5 9],[32.32876712 26.67123288] ; [7.67123288 6.32876712],0
n2,1,0.123778,2.368852,[13  2] ; [4 3],[11.59090909  3.40909091] ; [5.40909091 1.59090909],0
a4,1,0.140904,2.168061,[20 38] ; [ 2 12],[17.72222222 40.27777778] ; [4.27777778 9.72222222],0
d5,1,0.165134,1.926576,[48 11] ; [9 5],[46.06849315 12.93150685] ; [10.93150685  3.06849315],0
s8,1,0.1723,1.862814,[19 39] ; [ 2 12],[16.91666667 41.08333333] ; [4.08333333 9.91666667],0
v1,1,0.179841,1.798935,[24 35] ; [ 3 11],[21.82191781 37.17808219] ; [5.17808219 8.82191781],0
u1,1,0.245948,1.346174,[12 47] ; [ 1 13],[10.50684932 48.49315068] ; [ 2.49315068 11.50684932],0
p10,1,0.252288,1.310589,[17 41] ; [ 2 12],[15.30555556 42.69444444] ; [ 3.69444444 10.30555556],0
b3,1,0.304534,1.054235,[12 32] ; [1 8],[10.79245283 33.20754717] ; [2.20754717 6.79245283],0
b2,1,0.304534,1.054235,[12 32] ; [1 8],[10.79245283 33.20754717] ; [2.20754717 6.79245283],0
v2,1,0.336562,0.923485,[29 29] ; [5 9],[27.38888889 30.61111111] ; [6.61111111 7.38888889],0
n6,1,0.342081,0.902618,[44 15] ; [8 5],[42.61111111 16.38888889] ; [9.38888889 3.61111111],0
a2,1,0.356492,0.850214,[10 49] ; [ 1 13],[ 8.89041096 50.10958904] ; [ 2.10958904 11.89041096],0
u2,1,0.360865,0.834879,[12 16] ; [2 6],[10.88888889 17.11111111] ; [3.11111111 4.88888889],0
s1,1,0.369279,0.80609,[ 4 54] ; [ 2 12],[ 4.83333333 53.16666667] ; [ 1.16666667 12.83333333],0
u3,1,0.375954,0.78389,[16 13] ; [3 5],[14.89189189 14.10810811] ; [4.10810811 3.89189189],0
n3,1,0.391777,0.733418,[12  4] ; [4 3],[11.13043478  4.86956522] ; [4.86956522 2.13043478],0
s6,1,0.408587,0.682908,[36 22] ; [7 7],[34.63888889 23.36111111] ; [8.36111111 5.63888889],0
s4,1,0.446306,0.580016,[11 46] ; [ 4 10],[12.04225352 44.95774648] ; [ 2.95774648 11.04225352],0
p6,1,0.455896,0.555951,[18 39] ; [ 3 11],[16.85915493 40.14084507] ; [4.14084507 9.85915493],0
s5,1,0.49478,0.466114,[14 44] ; [ 2 11],[13.07042254 44.92957746] ; [ 2.92957746 10.07042254],0
s2,1,0.512541,0.428876,[23 34] ; [7 7],[24.08450704 32.91549296] ; [5.91549296 8.08450704],0
a3,1,0.59085,0.289019,[30 29] ; [6 8],[29.09589041 29.90410959] ; [6.90410959 7.09589041],0
d1,1,0.59085,0.289019,[30 29] ; [6 8],[29.09589041 29.90410959] ; [6.90410959 7.09589041],0
a5,1,0.612766,0.256167,[38 21] ; [8 6],[37.17808219 21.82191781] ; [8.82191781 5.17808219],0
a7,1,0.612939,0.255917,[42 17] ; [9 5],[41.21917808 17.78082192] ; [9.78082192 4.21917808],0
n1,1,0.665362,0.187075,[ 5 10] ; [3 4],[5.45454545 9.54545455] ; [2.54545455 4.45454545],0
p7,1,0.698095,0.150462,[34 24] ; [9 5],[34.63888889 23.36111111] ; [8.36111111 5.63888889],0
b5,1,0.756386,0.096242,[31 28] ; [8 6],[31.52054795 27.47945205] ; [7.47945205 6.52054795],0
d4,1,0.792556,0.069165,[40 19] ; [10  4],[40.4109589 18.5890411] ; [9.5890411 4.4109589],0
p8,1,0.844749,0.038346,[30 29] ; [7 6],[30.31944444 28.68055556] ; [6.68055556 6.31944444],0
b1,1,0.881564,0.022197,[35 24] ; [8 6],[34.75342466 24.24657534] ; [8.24657534 5.75342466],0
d3,1,0.887078,0.020165,[41 18] ; [10  4],[41.21917808 17.78082192] ; [9.78082192 4.21917808],0
p5,1,0.906719,0.013731,[ 4 55] ; [ 1 12],[ 4.09722222 54.90277778] ; [ 0.90277778 12.09722222],0
a6,1,0.97371,0.001086,[34 25] ; [8 6],[33.94520548 25.05479452] ; [8.05479452 5.94520548],0
p3,1,1.0,0.0,[29 29] ; [7 7],[29. 29.] ; [7. 7.],0
s7,1,1.0,0.0,[20 36] ; [5 9],[20. 36.] ; [5. 9.],0
