Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.02063,5.35779,[ 7 21] ; [5 2],[ 9.6 18.4] ; [2.4 4.6],0
s1,1,0.034573,4.466146,[ 1 27] ; [2 5],[ 2.4 25.6] ; [0.6 6.4],0
d3,1,0.087669,2.916667,[10 18] ; [5 2],[12. 16.] ; [3. 4.],0
p1,1,0.110972,2.540323,[ 2 26] ; [2 5],[ 3.2 24.8] ; [0.8 6.2],0
a6,1,0.126787,2.331414,[11 17] ; [5 2],[12.8 15.2] ; [3.2 3.8],0
a7,1,0.17612,1.830065,[12 16] ; [5 2],[13.6 14.4] ; [3.4 3.6],0
s7,1,0.201994,1.627897,[ 3 22] ; [2 4],[ 4.03225806 20.96774194] ; [0.96774194 5.03225806],0
p2,1,0.212628,1.553442,[11 17] ; [1 6],[ 9.6 18.4] ; [2.4 4.6],0
s6,1,0.227195,1.458333,[ 3 25] ; [2 5],[ 4. 24.] ; [1. 6.],0
a2,1,0.227195,1.458333,[ 3 25] ; [2 5],[ 4. 24.] ; [1. 6.],0
d5,1,0.236532,1.401144,[13 15] ; [5 2],[14.4 13.6] ; [3.6 3.4],0
d2,1,0.300623,1.071429,[10 18] ; [4 3],[11.2 16.8] ; [2.8 4.2],0
s3,1,0.324324,0.971429,[ 9 18] ; [1 6],[ 7.94117647 19.05882353] ; [2.05882353 4.94117647],0
p9,1,0.335451,0.92774,[10 17] ; [4 3],[11.11764706 15.88235294] ; [2.88235294 4.11764706],0
r1,1,0.349575,0.875,[ 9 19] ; [1 6],[ 8. 20.] ; [2. 5.],0
a5,1,0.393153,0.729167,[11 17] ; [4 3],[12. 16.] ; [3. 4.],0
a4,1,0.393153,0.729167,[11 17] ; [4 3],[12. 16.] ; [3. 4.],0
v4,1,0.393153,0.729167,[13 15] ; [2 5],[12. 16.] ; [3. 4.],0
n5,1,0.393153,0.729167,[17 11] ; [3 4],[16. 12.] ; [4. 3.],0
a3,1,0.447006,0.578231,[15 12] ; [5 2],[15.88235294 11.11764706] ; [4.11764706 2.88235294],0
b5,1,0.490153,0.47619,[12 16] ; [2 5],[11.2 16.8] ; [2.8 4.2],0
b4,1,0.497378,0.460526,[16 12] ; [3 4],[15.2 12.8] ; [3.8 3.2],0
a1,1,0.526168,0.401786,[ 5 23] ; [2 5],[ 5.6 22.4] ; [1.4 5.6],0
s8,1,0.545972,0.364583,[ 2 26] ; [1 6],[ 2.4 25.6] ; [0.6 6.4],0
s2,1,0.545972,0.364583,[ 2 26] ; [1 6],[ 2.4 25.6] ; [0.6 6.4],0
r2,1,0.554915,0.348586,[16 11] ; [5 2],[16.67647059 10.32352941] ; [4.32352941 2.67647059],0
u3,1,0.591208,0.288462,[4 9] ; [1 1],[4.33333333 8.66666667] ; [0.66666667 1.33333333],0
d4,1,0.611945,0.257353,[15 13] ; [3 4],[14.4 13.6] ; [3.6 3.4],0
p11,1,0.672604,0.178571,[ 6 22] ; [1 6],[ 5.6 22.4] ; [1.4 5.6],0
b1,1,0.721761,0.126812,[18 10] ; [5 2],[18.4  9.6] ; [4.6 2.4],0
s5,1,0.790517,0.070565,[ 3 25] ; [1 6],[ 3.2 24.8] ; [0.8 6.2],0
p4,1,0.790517,0.070565,[ 3 25] ; [1 6],[ 3.2 24.8] ; [0.8 6.2],0
p10,1,0.810339,0.057595,[ 9 18] ; [2 5],[ 8.73529412 18.26470588] ; [2.26470588 4.73529412],0
v2,1,0.816297,0.053968,[ 3 24] ; [1 6],[ 3.17647059 23.82352941] ; [0.82352941 6.17647059],0
p3,1,0.822564,0.050287,[ 5 23] ; [1 6],[ 4.8 23.2] ; [1.2 5.8],0
n4,1,0.865281,0.028783,[15 13] ; [4 3],[15.2 12.8] ; [3.8 3.2],0
n3,1,0.866815,0.028125,[7 9] ; [1 1],[7.11111111 8.88888889] ; [0.88888889 1.11111111],0
b2,1,0.915605,0.01123,[8 9] ; [2 2],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
b3,1,0.915605,0.01123,[8 9] ; [2 2],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
u2,1,0.919154,0.010302,[6 7] ; [1 1],[6.06666667 6.93333333] ; [0.93333333 1.06666667],0
p8,1,0.971902,0.001241,[ 4 23] ; [1 6],[ 3.97058824 23.02941176] ; [1.02941176 5.97058824],0
s4,1,1.0,0.0,[ 4 24] ; [1 6],[ 4. 24.] ; [1. 6.],0
n1,1,1.0,0.0,[8 8] ; [1 1],[8. 8.] ; [1. 1.],0
d1,1,1.0,0.0,[ 8 20] ; [2 5],[ 8. 20.] ; [2. 5.],0
