Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7e-05,15.810669,[98  5] ; [24 10],[91.72262774 11.27737226] ; [30.27737226  3.72262774],1
p3,1,8.8e-05,15.388736,[82 20] ; [16 19],[72.96350365 29.03649635] ; [25.03649635  9.96350365],1
p11,1,0.000211,13.730433,[91 12] ; [21 14],[83.5942029 19.4057971] ; [28.4057971  6.5942029],1
p5,1,0.000606,11.7579,[37 66] ; [ 2 33],[29.10869565 73.89130435] ; [ 9.89130435 25.10869565],1
n5,1,0.002271,9.316184,[91 12] ; [23 12],[85.08695652 17.91304348] ; [28.91304348  6.08695652],0
p4,1,0.0041,8.238854,[91 11] ; [24 11],[85.62043796 16.37956204] ; [29.37956204  5.62043796],0
v3,1,0.004224,8.184936,[51 52] ; [ 7 26],[43.92647059 59.07352941] ; [14.07352941 18.92647059],0
a2,1,0.005325,7.765676,[22 81] ; [16 19],[28.36231884 74.63768116] ; [ 9.63768116 25.36231884],0
p12,1,0.010602,6.530893,[22 80] ; [ 1 34],[17.12408759 84.87591241] ; [ 5.87591241 29.12408759],0
v1,1,0.019711,5.437348,[75 28] ; [18 17],[69.41304348 33.58695652] ; [23.58695652 11.41304348],0
b5,1,0.063424,3.445505,[49 54] ; [23 12],[53.73913043 49.26086957] ; [18.26086957 16.73913043],0
a6,1,0.076927,3.128667,[58 43] ; [26  9],[62.38235294 38.61764706] ; [21.61764706 13.38235294],0
a3,1,0.082615,3.012692,[76 26] ; [31  4],[79.66423358 22.33576642] ; [27.33576642  7.66423358],0
r1,1,0.096417,2.763828,[89 14] ; [26  9],[85.83333333 17.16666667] ; [29.16666667  5.83333333],0
d5,1,0.102065,2.672976,[84 17] ; [33  2],[86.88970588 14.11029412] ; [30.11029412  4.88970588],0
a1,1,0.123907,2.367222,[12 91] ; [ 1 34],[ 9.70289855 93.29710145] ; [ 3.29710145 31.70289855],0
u1,1,0.125211,2.350896,[22 81] ; [12 23],[25.37681159 77.62318841] ; [ 8.62318841 26.37681159],0
d2,1,0.130066,2.291719,[49 53] ; [22 13],[52.86131387 49.13868613] ; [18.13868613 16.86131387],0
s7,1,0.132087,2.267809,[71 27] ; [29  5],[74.24242424 23.75757576] ; [25.75757576  8.24242424],0
a8,1,0.19805,1.656698,[15 82] ; [ 2 29],[12.8828125 84.1171875] ; [ 4.1171875 26.8828125],0
a4,1,0.204801,1.607799,[52 51] ; [22 13],[55.23188406 47.76811594] ; [18.76811594 16.23188406],0
p9,1,0.27487,1.192279,[99  4] ; [32  3],[97.77536232  5.22463768] ; [33.22463768  1.77536232],0
d4,1,0.344749,0.892691,[86 15] ; [32  3],[87.63235294 13.36764706] ; [30.36764706  4.63235294],0
n4,1,0.361878,0.831367,[89 14] ; [28  7],[87.32608696 15.67391304] ; [29.67391304  5.32608696],0
n2,1,0.371332,0.799201,[18  3] ; [8 3],[17.0625  3.9375] ; [8.9375 2.0625],0
p2,1,0.404542,0.694785,[91 12] ; [29  6],[89.56521739 13.43478261] ; [30.43478261  4.56521739],0
a7,1,0.420765,0.648176,[69 34] ; [26  9],[70.9057971 32.0942029] ; [24.0942029 10.9057971],0
v4,1,0.443499,0.587212,[100   3] ; [33  2],[99.26811594  3.73188406] ; [33.73188406  1.26811594],0
p10,1,0.489358,0.477939,[97  6] ; [34  1],[97.77536232  5.22463768] ; [33.22463768  1.77536232],0
n1,1,0.542129,0.371607,[11 10] ; [7 4],[11.8125  9.1875] ; [6.1875 4.8125],0
v2,1,0.548094,0.360743,[60 42] ; [18 16],[58.5 43.5] ; [19.5 14.5],0
d1,1,0.555353,0.347814,[68 35] ; [25 10],[69.41304348 33.58695652] ; [23.58695652 11.41304348],0
d3,1,0.586369,0.29605,[77 25] ; [28  7],[78.17518248 23.82481752] ; [26.82481752  8.17518248],0
a5,1,0.637425,0.222126,[86 17] ; [28  7],[85.08695652 17.91304348] ; [28.91304348  6.08695652],0
s1,1,0.646344,0.210541,[ 4 99] ; [ 2 33],[ 4.47826087 98.52173913] ; [ 1.52173913 33.47826087],0
r3,1,0.772,0.083961,[98  4] ; [34  1],[98.27737226  3.72262774] ; [33.72262774  1.27737226],0
s2,1,0.772787,0.083366,[80 23] ; [28  7],[80.60869565 22.39130435] ; [27.39130435  7.60869565],0
r4,1,0.778923,0.078805,[99  4] ; [34  1],[99.26811594  3.73188406] ; [33.73188406  1.26811594],0
r2,1,0.778923,0.078805,[99  4] ; [34  1],[99.26811594  3.73188406] ; [33.73188406  1.26811594],0
s6,1,0.79773,0.065682,[91 10] ; [31  4],[90.60294118 10.39705882] ; [31.39705882  3.60294118],0
s3,1,0.822121,0.050543,[72 30] ; [24 11],[71.47445255 30.52554745] ; [24.52554745 10.47445255],0
n3,1,0.842356,0.039553,[12  8] ; [7 4],[12.25806452  7.74193548] ; [6.74193548 4.25806452],0
p1,1,0.85819,0.031926,[19 83] ; [ 7 28],[19.35766423 82.64233577] ; [ 6.64233577 28.35766423],0
b4,1,0.861235,0.030556,[66 37] ; [23 12],[66.42753623 36.57246377] ; [22.57246377 12.42753623],0
b2,1,0.867429,0.027864,[29 34] ; [12 13],[29.35227273 33.64772727] ; [11.64772727 13.35227273],0
b3,1,0.867429,0.027864,[29 34] ; [12 13],[29.35227273 33.64772727] ; [11.64772727 13.35227273],0
n6,1,0.903168,0.014801,[93  8] ; [32  3],[92.83088235  8.16911765] ; [32.16911765  2.83088235],0
b1,1,0.935567,0.006536,[42 61] ; [14 21],[41.79710145 61.20289855] ; [14.20289855 20.79710145],0
s4,1,0.992278,9.4e-05,[31 71] ; [10 23],[30.97777778 71.02222222] ; [10.02222222 22.97777778],0
s8,1,0.997597,9e-06,[67 35] ; [23 12],[67.00729927 34.99270073] ; [22.99270073 12.00729927],0
