Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,27.849206,[10 19] ; [74 13],[21.  8.] ; [63. 24.],1
r4,1,0.0,26.733855,[ 6 23] ; [65 22],[17.75 11.25] ; [53.25 33.75],1
n6,1,7.8e-05,15.604745,[ 7 22] ; [57 29],[16.13913043 12.86086957] ; [47.86086957 38.13913043],1
p2,1,0.000113,14.914286,[ 5 24] ; [51 36],[14. 15.] ; [42. 45.],1
r2,1,0.001042,10.752132,[17 11] ; [76 10],[22.84210526  5.15789474] ; [70.15789474 15.84210526],0
u3,1,0.003186,8.697525,[ 1 13] ; [18 16],[5.54166667 8.45833333] ; [13.45833333 20.54166667],0
s6,1,0.007165,7.231187,[ 7 22] ; [45 40],[13.22807018 15.77192982] ; [38.77192982 46.22807018],0
a1,1,0.017379,5.65772,[ 6 23] ; [ 5 82],[ 2.75 26.25] ; [ 8.25 78.75],0
s7,1,0.018716,5.527846,[ 3 23] ; [29 52],[ 7.77570093 18.22429907] ; [24.22429907 56.77570093],0
d3,1,0.019526,5.453828,[11 18] ; [54 32],[16.39130435 12.60869565] ; [48.60869565 37.39130435],0
s8,1,0.020818,5.341976,[ 1 28] ; [19 66],[ 5.0877193 23.9122807] ; [14.9122807 70.0877193],0
n3,1,0.021726,5.267577,[ 5 11] ; [23 12],[8.78431373 7.21568627] ; [19.21568627 15.78431373],0
r1,1,0.024536,5.056361,[12 17] ; [56 30],[17.14782609 11.85217391] ; [50.85217391 35.14782609],0
b5,1,0.027136,4.882155,[13 16] ; [59 28],[18. 11.] ; [54. 33.],0
d5,1,0.037274,4.337835,[16 13] ; [65 21],[20.42608696  8.57391304] ; [60.57391304 25.42608696],0
p8,1,0.039423,4.242552,[ 3 25] ; [26 60],[ 7.12280702 20.87719298] ; [21.87719298 64.12280702],0
p9,1,0.044043,4.054899,[ 4 25] ; [28 56],[ 8.21238938 20.78761062] ; [23.78761062 60.21238938],0
p7,1,0.056609,3.634038,[ 6 23] ; [35 52],[10.25 18.75] ; [30.75 56.25],0
v2,1,0.065383,3.395282,[ 6 23] ; [34 52],[10.08695652 18.91304348] ; [29.91304348 56.08695652],0
a7,1,0.098912,2.723005,[14 15] ; [57 30],[17.75 11.25] ; [53.25 33.75],0
v1,1,0.101936,2.674986,[ 6 23] ; [32 54],[ 9.5826087 19.4173913] ; [28.4173913 57.5826087],0
d1,1,0.10523,2.624434,[ 9 20] ; [42 45],[12.75 16.25] ; [38.25 48.75],0
d4,1,0.106922,2.599141,[17 12] ; [64 22],[20.42608696  8.57391304] ; [60.57391304 25.42608696],0
n4,1,0.114573,2.489976,[21  8] ; [48 38],[17.4 11.6] ; [51.6 34.4],0
n2,1,0.121251,2.401089,[ 6 10] ; [23 15],[8.59259259 7.40740741] ; [20.40740741 17.59259259],0
p3,1,0.134391,2.241033,[ 7 22] ; [34 52],[10.33913043 18.66086957] ; [30.66086957 55.33913043],0
s3,1,0.13703,2.210999,[ 9 19] ; [41 44],[12.38938053 15.61061947] ; [37.61061947 47.38938053],0
p4,1,0.171402,1.870641,[ 8 21] ; [36 50],[11.09565217 17.90434783] ; [32.90434783 53.09565217],0
a2,1,0.19863,1.652422,[ 4 25] ; [22 65],[ 6.5 22.5] ; [19.5 67.5],0
p6,1,0.254478,1.298551,[ 3 25] ; [17 67],[ 5. 23.] ; [15. 69.],0
s2,1,0.284061,1.147558,[ 7 22] ; [30 56],[ 9.33043478 19.66956522] ; [27.66956522 58.33043478],0
p1,1,0.360273,0.836941,[ 4 25] ; [ 7 80],[ 2.75 26.25] ; [ 8.25 78.75],0
s1,1,0.360273,0.836941,[ 4 25] ; [ 7 80],[ 2.75 26.25] ; [ 8.25 78.75],0
b2,1,0.371348,0.79915,[ 8 11] ; [16 36],[ 6.42253521 12.57746479] ; [17.57746479 34.42253521],0
b3,1,0.371348,0.79915,[ 8 11] ; [16 36],[ 6.42253521 12.57746479] ; [17.57746479 34.42253521],0
a3,1,0.410361,0.677755,[15 13] ; [53 32],[16.84955752 11.15044248] ; [51.15044248 33.84955752],0
u2,1,0.435797,0.607324,[ 4 10] ; [13 19],[5.17391304 8.82608696] ; [11.82608696 20.17391304],0
b4,1,0.45128,0.567435,[14 15] ; [49 38],[15.75 13.25] ; [47.25 39.75],0
a4,1,0.494975,0.465694,[10 18] ; [37 49],[11.54385965 16.45614035] ; [35.45614035 50.54385965],0
a5,1,0.510863,0.432298,[16 13] ; [54 33],[17.5 11.5] ; [52.5 34.5],0
b1,1,0.587385,0.294446,[18 11] ; [49 38],[16.75 12.25] ; [50.25 36.75],0
a6,1,0.622454,0.242434,[15 14] ; [49 37],[16.13913043 12.86086957] ; [47.86086957 38.13913043],0
n5,1,0.709818,0.138459,[17 12] ; [47 39],[16.13913043 12.86086957] ; [47.86086957 38.13913043],0
v3,1,0.797256,0.065997,[ 7 21] ; [22 58],[ 7.51851852 20.48148148] ; [21.48148148 58.51851852],0
s5,1,0.809133,0.058344,[ 4 25] ; [13 70],[ 4.40178571 24.59821429] ; [12.59821429 70.40178571],0
n1,1,0.882785,0.021739,[7 9] ; [17 20],[7.24528302 8.75471698] ; [16.75471698 20.24528302],0
s4,1,0.980349,0.000607,[ 5 24] ; [15 71],[ 5.04347826 23.95652174] ; [14.95652174 71.04347826],0
a8,1,0.98932,0.000179,[ 3 26] ; [ 8 70],[ 2.98130841 26.01869159] ; [ 8.01869159 69.98130841],0
d2,1,0.993894,5.9e-05,[13 15] ; [40 46],[13.01754386 14.98245614] ; [39.98245614 46.01754386],0
