Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7.1e-05,15.794913,[15 18] ; [66 14],[23.65486726  9.34513274] ; [57.34513274 22.65486726],1
d3,1,9.7e-05,15.199371,[13 20] ; [62 18],[21.90265487 11.09734513] ; [53.09734513 26.90265487],1
d5,1,0.009631,6.70182,[22 11] ; [70 10],[26.86725664  6.13274336] ; [65.13274336 14.86725664],0
s4,1,0.017647,5.630884,[ 7 26] ; [ 5 76],[ 3.47368421 29.52631579] ; [ 8.52631579 72.47368421],0
a2,1,0.028033,4.826006,[ 4 29] ; [26 55],[ 8.68421053 24.31578947] ; [21.31578947 59.68421053],0
b5,1,0.032727,4.560019,[14 19] ; [52 29],[19.10526316 13.89473684] ; [46.89473684 34.10526316],0
s3,1,0.06212,3.479862,[21 12] ; [35 44],[16.5 16.5] ; [39.5 39.5],0
r1,1,0.066947,3.356333,[21 12] ; [64 16],[24.82300885  8.17699115] ; [60.17699115 19.82300885],0
n2,1,0.108789,2.571732,[11  2] ; [16 11],[8.775 4.225] ; [18.225  8.775],0
b1,1,0.118056,2.442923,[22 11] ; [41 40],[18.23684211 14.76315789] ; [44.76315789 36.23684211],0
d4,1,0.130267,2.289321,[23 10] ; [66 14],[25.99115044  7.00884956] ; [63.00884956 16.99115044],0
p2,1,0.168392,1.897197,[17 14] ; [55 25],[20.10810811 10.89189189] ; [51.89189189 28.10810811],0
b2,1,0.169846,1.884302,[ 9 12] ; [12 34],[ 6.58208955 14.41791045] ; [14.41791045 31.58208955],0
b3,1,0.169846,1.884302,[ 9 12] ; [12 34],[ 6.58208955 14.41791045] ; [14.41791045 31.58208955],0
p7,1,0.182919,1.773747,[13 20] ; [41 36],[16.2 16.8] ; [37.8 39.2],0
n5,1,0.206578,1.59525,[11 22] ; [37 43],[14.01769912 18.98230088] ; [33.98230088 46.01769912],0
d1,1,0.221683,1.493446,[15 18] ; [47 34],[17.94736842 15.05263158] ; [44.05263158 36.94736842],0
a8,1,0.224216,1.477179,[ 2 29] ; [11 62],[ 3.875 27.125] ; [ 9.125 63.875],0
u3,1,0.262193,1.257143,[3 3] ; [12  4],[4.09090909 1.90909091] ; [10.90909091  5.09090909],0
p1,1,0.294561,1.098657,[ 4 29] ; [ 5 75],[ 2.62831858 30.37168142] ; [ 6.37168142 73.62831858],0
s7,1,0.311754,1.02323,[12 18] ; [22 52],[ 9.80769231 20.19230769] ; [24.19230769 49.80769231],0
n4,1,0.315049,1.009389,[17 16] ; [50 31],[19.39473684 13.60526316] ; [47.60526316 33.39473684],0
