Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,187.750659,[181  75] ; [ 28 226],[104.90980392 151.09019608] ; [104.09019608 149.90980392],1
d5,1,0.0,128.698332,[251   6] ; [140 114],[196.64774951  60.35225049] ; [194.35225049  59.64774951],1
d3,1,0.0,119.53729,[231  26] ; [112 140],[173.18467583  83.81532417] ; [169.81532417  82.18467583],1
d4,1,0.0,118.524491,[253   3] ; [152 102],[203.29411765  52.70588235] ; [201.70588235  52.29411765],1
a2,1,0.0,81.091713,[ 92 166] ; [ 10 245],[ 51.29824561 206.70175439] ; [ 50.70175439 204.29824561],1
a4,1,0.0,68.821361,[150 108] ; [ 56 197],[104.00782779 153.99217221] ; [101.99217221 151.00782779],1
u1,1,0.0,56.252721,[ 63 195] ; [  5 250],[ 34.19883041 223.80116959] ; [ 33.80116959 221.19883041],1
a5,1,0.0,50.896337,[209  49] ; [130 124],[170.82421875  87.17578125] ; [168.17578125  85.82421875],1
a3,1,0.0,49.37386,[201  56] ; [122 131],[162.76666667  94.23333333] ; [160.23333333  92.76666667],1
a6,1,2e-06,22.621925,[201  56] ; [149 105],[176.02739726  80.97260274] ; [173.97260274  80.02739726],1
v2,1,0.000148,14.401221,[150  96] ; [107 137],[129.0244898 116.9755102] ; [127.9755102 116.0244898],1
r1,1,0.000184,13.987177,[212  44] ; [175  80],[193.87866928  62.12133072] ; [193.12133072  61.87866928],1
a7,1,0.002347,9.25606,[205  53] ; [171  82],[189.83953033  68.16046967] ; [186.16046967  66.83953033],0
r2,1,0.008007,7.0318,[245  10] ; [228  25],[237.43110236  17.56889764] ; [235.56889764  17.43110236],0
p4,1,0.008789,6.86514,[146 109] ; [114 136],[131.28712871 123.71287129] ; [128.71287129 121.28712871],0
v1,1,0.018401,5.557563,[128 126] ; [ 99 149],[114.85657371 139.14342629] ; [112.14342629 135.85657371],0
s4,1,0.042178,4.128029,[ 29 224] ; [ 45 207],[ 37.07326733 215.92673267] ; [ 36.92673267 215.07326733],0
s7,1,0.047872,3.914475,[ 74 174] ; [ 53 188],[ 64.40899796 183.59100204] ; [ 62.59100204 178.40899796],0
n6,1,0.058354,3.583564,[214  44] ; [192  60],[205.38823529  52.61176471] ; [200.61176471  51.38823529],0
p10,1,0.058881,3.568634,[198  58] ; [172  74],[188.68525896  67.31474104] ; [181.31474104  64.68525896],0
n2,1,0.06266,3.465535,[43 20] ; [52 11],[47.5 15.5] ; [47.5 15.5],0
b2,1,0.06847,3.319324,[50 92] ; [32 96],[43.12592593 98.87407407] ; [38.87407407 89.12592593],0
b3,1,0.06847,3.319324,[50 92] ; [32 96],[43.12592593 98.87407407] ; [38.87407407 89.12592593],0
n4,1,0.117895,2.445059,[189  69] ; [170  84],[180.90234375  77.09765625] ; [178.09765625  75.90234375],0
p9,1,0.129073,2.303621,[204  49] ; [186  62],[196.94610778  56.05389222] ; [193.05389222  54.94610778],0
p2,1,0.166422,1.914883,[210  44] ; [196  56],[203.80237154  50.19762846] ; [202.19762846  49.80237154],0
s2,1,0.181718,1.783515,[ 95 162] ; [ 79 173],[ 87.8546169 169.1453831] ; [ 86.1453831 165.8546169],0
b1,1,0.227972,1.453473,[ 85 173] ; [ 97 158],[ 91.53216374 166.46783626] ; [ 90.46783626 164.53216374],0
r4,1,0.244949,1.351885,[233  25] ; [222  33],[228.83040936  29.16959064] ; [226.16959064  28.83040936],0
v3,1,0.247771,1.335828,[ 84 161] ; [ 73 175],[ 78.02231237 166.97768763] ; [ 78.97768763 169.02231237],0
u3,1,0.275035,1.191459,[33 24] ; [64 66],[29.56684492 27.43315508] ; [67.43315508 62.56684492],0
p7,1,0.3058,1.048728,[150 104] ; [133 111],[144.34136546 109.65863454] ; [138.65863454 105.34136546],0
s5,1,0.306534,1.045549,[ 66 185] ; [ 55 191],[ 61.10865191 189.89134809] ; [ 59.89134809 186.10865191],0
p6,1,0.33048,0.947014,[ 74 176] ; [ 64 185],[ 69.13827655 180.86172345] ; [ 68.86172345 180.13827655],0
u2,1,0.345557,0.889705,[32 24] ; [65 66],[29.04812834 26.95187166] ; [67.95187166 63.04812834],0
s6,1,0.353871,0.859529,[137 117] ; [123 124],[131.81636727 122.18363273] ; [128.18363273 118.81636727],0
p11,1,0.366195,0.816537,[201  57] ; [190  65],[196.64327485  61.35672515] ; [194.35672515  60.64327485],0
b4,1,0.460009,0.545872,[157 101] ; [147 108],[152.88888889 105.11111111] ; [151.11111111 103.88888889],0
p1,1,0.522875,0.408218,[ 19 238] ; [ 15 236],[ 17.2007874 239.7992126] ; [ 16.7992126 234.2007874],0
n5,1,0.530789,0.392881,[176  82] ; [164  86],[172.67716535  85.32283465] ; [167.32283465  82.67716535],0
