Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.429255,[23  9] ; [22 72],[11.42857143 20.57142857] ; [33.57142857 60.42857143],1
n4,1,0.005099,7.844037,[31  2] ; [67 29],[25.06976744  7.93023256] ; [72.93023256 23.06976744],0
p12,1,0.014666,5.956141,[ 7 26] ; [ 6 89],[ 3.3515625 29.6484375] ; [ 9.6484375 85.3515625],0
p10,1,0.023926,5.100002,[30  3] ; [68 27],[25.265625  7.734375] ; [72.734375 22.265625],0
p5,1,0.030367,4.688387,[ 9 24] ; [11 85],[ 5.11627907 27.88372093] ; [14.88372093 81.11627907],0
p3,1,0.059369,3.554923,[25  8] ; [55 41],[20.46511628 12.53488372] ; [59.53488372 36.46511628],0
a3,1,0.064807,3.409886,[27  6] ; [62 34],[22.76744186 10.23255814] ; [66.23255814 29.76744186],0
a5,1,0.08685,2.931818,[26  7] ; [60 36],[22. 11.] ; [64. 32.],0
b5,1,0.091291,2.851457,[14 19] ; [57 39],[18.1627907 14.8372093] ; [52.8372093 43.1627907],0
u1,1,0.100403,2.699125,[ 9 24] ; [14 82],[ 5.88372093 27.11627907] ; [17.11627907 78.88372093],0
n6,1,0.103365,2.65284,[31  2] ; [79 17],[28.13953488  4.86046512] ; [81.86046512 14.13953488],0
b4,1,0.116922,2.458077,[20 13] ; [43 53],[16.11627907 16.88372093] ; [46.88372093 49.11627907],0
n5,1,0.140305,2.174606,[27  6] ; [65 30],[23.71875  9.28125] ; [68.28125 26.71875],0
p9,1,0.158559,1.987913,[30  3] ; [77 19],[27.37209302  5.62790698] ; [79.62790698 16.37209302],0
p2,1,0.173365,1.853603,[27  6] ; [87  9],[29.1627907  3.8372093] ; [84.8372093 11.1627907],0
b1,1,0.175751,1.833193,[11 22] ; [45 51],[14.3255814 18.6744186] ; [41.6744186 54.3255814],0
s5,1,0.254435,1.298786,[14 17] ; [30 59],[11.36666667 19.63333333] ; [32.63333333 56.36666667],0
n1,1,0.315251,1.008548,[3 3] ; [ 9 22],[1.94594595 4.05405405] ; [10.05405405 20.94594595],0
b3,1,0.317916,0.997502,[11 10] ; [21 32],[ 9.08108108 11.91891892] ; [22.91891892 30.08108108],0
b2,1,0.317916,0.997502,[11 10] ; [21 32],[ 9.08108108 11.91891892] ; [22.91891892 30.08108108],0
s7,1,0.3584,0.843491,[19 11] ; [50 43],[16.82926829 13.17073171] ; [52.17073171 40.82926829],0
s3,1,0.405839,0.690958,[17 15] ; [59 37],[19. 13.] ; [57. 39.],0
r4,1,0.42101,0.647495,[30  3] ; [82 14],[28.65116279  4.34883721] ; [83.34883721 12.65116279],0
a1,1,0.425013,0.636414,[ 3 30] ; [ 5 91],[ 2.04651163 30.95348837] ; [ 5.95348837 90.04651163],0
s4,1,0.430653,0.621061,[ 7 26] ; [26 66],[ 8.712 24.288] ; [24.288 67.712],0
