Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,112.388679,[228  36] ; [44 86],[182.25380711  81.74619289] ; [89.74619289 40.25380711],1
d4,1,0.0,110.743902,[259   4] ; [76 54],[224.18575064  38.81424936] ; [110.81424936  19.18575064],1
d2,1,0.0,105.795013,[197  67] ; [ 26 104],[149.4213198 114.5786802] ; [73.5786802 56.4213198],1
d5,1,0.0,101.836031,[258   5] ; [78 52],[224.85496183  38.14503817] ; [111.14503817  18.85496183],1
a5,1,0.0,32.253865,[230  34] ; [81 49],[208.3857868  55.6142132] ; [102.6142132  27.3857868],1
a4,1,0.0,29.582722,[152 112] ; [37 93],[126.63959391 137.36040609] ; [62.36040609 67.63959391],1
a2,1,0.0,28.189395,[ 93 171] ; [ 13 117],[ 71.02538071 192.97461929] ; [34.97461929 95.02538071],1
u1,1,0.0,27.22958,[ 80 184] ; [  9 121],[ 59.63451777 204.36548223] ; [ 29.36548223 100.63451777],1
r2,1,0.000721,11.434136,[256   5] ; [116  12],[249.59383033  11.40616967] ; [122.40616967   5.59383033],1
a3,1,0.001402,10.203241,[219  44] ; [90 40],[206.78625954  56.21374046] ; [102.21374046  27.78625954],0
p4,1,0.004881,7.922958,[189  74] ; [75 55],[176.67175573  86.32824427] ; [87.32824427 42.67175573],0
p3,1,0.006384,7.43856,[166  98] ; [63 67],[153.44162437 110.55837563] ; [75.55837563 54.44162437],0
a7,1,0.006765,7.334254,[195  69] ; [78 51],[183.38931298  80.61068702] ; [89.61068702 39.38931298],0
n4,1,0.007161,7.232213,[225  38] ; [96 33],[215.36479592  47.63520408] ; [105.63520408  23.36479592],0
v4,1,0.010945,6.474214,[258   5] ; [120   9],[253.60714286   9.39285714] ; [124.39285714   4.60714286],0
v3,1,0.015522,5.856273,[130 119] ; [50 78],[118.88594164 130.11405836] ; [61.11405836 66.88594164],0
a6,1,0.034904,4.449849,[182  81] ; [76 54],[172.65648855  90.34351145] ; [85.34351145 44.65648855],0
s2,1,0.039347,4.245826,[196  65] ; [84 45],[187.38461538  73.61538462] ; [92.61538462 36.38461538],0
r4,1,0.043808,4.063935,[253  11] ; [118  12],[248.58883249  15.41116751] ; [122.41116751   7.58883249],0
n3,1,0.048746,3.884091,[35 18] ; [25  4],[38.7804878 14.2195122] ; [21.2195122  7.7804878],0
r1,1,0.057282,3.614382,[229  34] ; [102  26],[222.64194373  40.35805627] ; [108.35805627  19.64194373],0
u4,1,0.075069,3.168562,[ 14 250] ; [  2 128],[ 10.72081218 253.27918782] ; [  5.27918782 124.72081218],0
p8,1,0.088296,2.905164,[158 101] ; [67 62],[150.19329897 108.80670103] ; [74.80670103 54.19329897],0
s5,1,0.112048,2.525102,[118 131] ; [48 76],[110.8150134 138.1849866] ; [55.1849866 68.8150134],0
p6,1,0.117717,2.447434,[128 133] ; [52 76],[120.77120823 140.22879177] ; [59.22879177 68.77120823],0
a1,1,0.128324,2.312668,[ 18 246] ; [  4 126],[ 14.74111675 249.25888325] ; [  7.25888325 122.74111675],0
p12,1,0.146739,2.105832,[ 33 228] ; [ 10 119],[ 28.77692308 232.22307692] ; [ 14.22307692 114.77692308],0
n5,1,0.150616,2.066,[213  48] ; [98 32],[207.59846547  53.40153453] ; [103.40153453  26.59846547],0
s4,1,0.157887,1.994349,[ 56 206] ; [ 20 110],[ 50.79591837 211.20408163] ; [ 25.20408163 104.79591837],0
