Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3.7e-05,17.013056,[61 11] ; [ 9 13],[53.61702128 18.38297872] ; [16.38297872  5.61702128],1
s2,1,0.009272,6.769602,[54 18] ; [10 12],[49.0212766 22.9787234] ; [14.9787234  7.0212766],0
s5,1,0.011215,6.43092,[31 38] ; [ 3 18],[26.06666667 42.93333333] ; [ 7.93333333 13.06666667],0
b2,1,0.068243,3.324791,[13 35] ; [7 6],[15.73770492 32.26229508] ; [4.26229508 8.73770492],0
b3,1,0.068243,3.324791,[13 35] ; [7 6],[15.73770492 32.26229508] ; [4.26229508 8.73770492],0
s8,1,0.07325,3.208638,[48 24] ; [10 12],[44.42553191 27.57446809] ; [13.57446809  8.42553191],0
n5,1,0.08254,3.014165,[56 16] ; [13  9],[52.85106383 19.14893617] ; [16.14893617  5.85106383],0
b1,1,0.086047,2.946822,[31 41] ; [ 5 17],[27.57446809 44.42553191] ; [ 8.42553191 13.57446809],0
r3,1,0.116429,2.464711,[68  3] ; [19  3],[66.41935484  4.58064516] ; [20.58064516  1.41935484],0
r2,1,0.221533,1.49441,[66  4] ; [19  3],[64.67391304  5.32608696] ; [20.32608696  1.67391304],0
s4,1,0.25615,1.289444,[22 50] ; [ 4 18],[19.91489362 52.08510638] ; [ 6.08510638 15.91489362],0
v2,1,0.263456,1.250507,[33 37] ; [ 7 14],[30.76923077 39.23076923] ; [ 9.23076923 11.76923077],0
r1,1,0.297022,1.087515,[54 18] ; [14  8],[52.08510638 19.91489362] ; [15.91489362  6.08510638],0
d4,1,0.317074,1.000979,[55 17] ; [19  3],[56.68085106 15.31914894] ; [17.31914894  4.68085106],0
p2,1,0.321818,0.981545,[62 10] ; [17  5],[60.5106383 11.4893617] ; [18.4893617  3.5106383],0
d1,1,0.362122,0.830521,[25 47] ; [10 12],[26.80851064 45.19148936] ; [ 8.19148936 13.80851064],0
v4,1,0.376657,0.781585,[68  3] ; [20  2],[67.1827957  3.8172043] ; [20.8172043  1.1827957],0
p1,1,0.382395,0.762987,[12 60] ; [ 2 20],[10.72340426 61.27659574] ; [ 3.27659574 18.72340426],0
r4,1,0.41582,0.662098,[61 11] ; [17  5],[59.74468085 12.25531915] ; [18.25531915  3.74468085],0
n6,1,0.43234,0.61653,[58 14] ; [16  6],[56.68085106 15.31914894] ; [17.31914894  4.68085106],0
d2,1,0.43234,0.61653,[14 58] ; [ 6 16],[15.31914894 56.68085106] ; [ 4.68085106 17.31914894],0
a4,1,0.452748,0.563763,[15 57] ; [ 3 19],[13.78723404 58.21276596] ; [ 4.21276596 17.78723404],0
b5,1,0.455039,0.558071,[36 36] ; [13  9],[37.53191489 34.46808511] ; [11.46808511 10.53191489],0
a7,1,0.515398,0.423092,[47 25] ; [16  6],[48.25531915 23.74468085] ; [14.74468085  7.25531915],0
a8,1,0.521447,0.411031,[ 7 60] ; [ 3 16],[ 7.79069767 59.20930233] ; [ 2.20930233 16.79069767],0
v3,1,0.528817,0.396664,[30 40] ; [ 7 13],[28.77777778 41.22222222] ; [ 8.22222222 11.77777778],0
n1,1,0.548186,0.360577,[ 9 11] ; [3 2],[ 9.6 10.4] ; [2.4 2.6],0
p11,1,0.554559,0.349213,[51 21] ; [17  5],[52.08510638 19.91489362] ; [15.91489362  6.08510638],0
v1,1,0.5644,0.332143,[36 36] ; [ 9 12],[34.83870968 37.16129032] ; [10.16129032 10.83870968],0
b4,1,0.65734,0.19677,[42 30] ; [14  8],[42.89361702 29.10638298] ; [13.10638298  8.89361702],0
n3,1,0.688921,0.160256,[10 10] ; [3 2],[10.4  9.6] ; [2.6 2.4],0
p4,1,0.753147,0.098906,[42 30] ; [12 10],[41.36170213 30.63829787] ; [12.63829787  9.36170213],0
u3,1,0.753801,0.098365,[19 10] ; [6 4],[18.58974359 10.41025641] ; [6.41025641 3.58974359],0
n4,1,0.768245,0.086832,[50 22] ; [16  6],[50.55319149 21.44680851] ; [15.44680851  6.55319149],0
a6,1,0.795335,0.067283,[35 37] ; [10 12],[34.46808511 37.53191489] ; [10.53191489 11.46808511],0
u2,1,0.809423,0.058163,[18 10] ; [6 4],[17.68421053 10.31578947] ; [6.31578947 3.68421053],0
p8,1,0.830259,0.045954,[40 30] ; [12 10],[39.56521739 30.43478261] ; [12.43478261  9.56521739],0
a3,1,0.832441,0.044762,[43 29] ; [12  9],[42.58064516 29.41935484] ; [12.41935484  8.58064516],0
u1,1,0.853411,0.034139,[ 4 68] ; [ 1 21],[ 3.82978723 68.17021277] ; [ 1.17021277 20.82978723],0
d3,1,0.86521,0.028814,[44 28] ; [13  9],[43.65957447 28.34042553] ; [13.34042553  8.65957447],0
p9,1,0.8975,0.016595,[55 15] ; [17  5],[54.7826087 15.2173913] ; [17.2173913  4.7826087],0
p10,1,0.8975,0.016595,[55 15] ; [17  5],[54.7826087 15.2173913] ; [17.2173913  4.7826087],0
p6,1,0.918946,0.010356,[30 38] ; [ 9 12],[29.79775281 38.20224719] ; [ 9.20224719 11.79775281],0
d5,1,0.963033,0.002148,[52 20] ; [16  6],[52.08510638 19.91489362] ; [15.91489362  6.08510638],0
p3,1,0.975101,0.000974,[33 39] ; [10 12],[32.93617021 39.06382979] ; [10.06382979 11.93617021],0
p7,1,1.0,0.0,[46 23] ; [14  7],[46. 23.] ; [14.  7.],0
